Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 382 | Contracts-Technology (jp:382,idx:146)
Class Probability,Ex Count at BMU,BMU Map Loc
0.9885057,774.0,(3|4)
0.8269231,86.0,(3|3)
0.7687075,113.0,(3|5)
0.6633166,132.0,(4|5)
0.6545454,36.0,(4|4)
0.6538461,17.0,(2|3)
0.5473684,52.0,(4|3)
0.5133333,77.0,(3|2)
0.5072464,70.0,(5|4)
0.5037194,474.0,(5|5)
0.4507772,87.0,(6|4)
0.4482759,13.0,(7|5)
0.3814433,37.0,(6|5)
0.3811475,93.0,(5|3)
0.3630363,110.0,(7|4)
0.3344371,101.0,(6|3)
0.3333333,2.0,(2|4)
0.2740741,111.0,(7|3)
0.2674419,23.0,(3|1)
0.2538462,66.0,(4|1)
0.2500000,2.0,(23|7)
0.2452830,26.0,(4|2)
0.2307692,6.0,(2|2)
0.2304609,115.0,(5|1)
0.2296748,113.0,(5|2)
0.1800000,9.0,(8|4)
0.1598361,39.0,(6|2)
0.1523179,23.0,(16|1)
0.1520618,59.0,(6|1)
0.1481481,8.0,(5|41)
0.1250000,2.0,(26|47)
0.1224490,6.0,(2|5)
0.1176471,10.0,(7|2)
0.1143617,43.0,(10|0)
0.1103448,16.0,(4|0)
0.09302326,4.0,(35|11)
0.09259259,5.0,(8|46)
0.09090909,1.0,(3|47)
0.09090909,1.0,(26|49)
0.08620690,5.0,(10|12)
0.08163265,16.0,(30|22)
0.08023483,41.0,(8|48)
0.08000000,4.0,(4|48)
0.08000000,2.0,(19|1)
0.07764391,58.0,(8|3)
0.07692308,2.0,(31|34)
0.07142857,3.0,(3|0)
0.07027027,13.0,(9|49)
0.06331877,29.0,(28|19)
0.06250000,1.0,(29|22)
0.06153846,4.0,(16|43)
0.06060606,20.0,(8|47)
0.06000000,3.0,(34|11)
0.05990783,13.0,(10|1)
0.05882353,2.0,(7|1)
0.04938272,4.0,(16|2)
0.04854369,10.0,(11|12)
0.04819277,8.0,(8|49)
0.04807692,5.0,(6|45)
0.04761905,2.0,(13|45)
0.04729730,7.0,(9|3)
0.04615385,3.0,(6|47)
0.04545455,2.0,(15|3)
0.04477612,3.0,(6|46)
0.04444445,8.0,(35|10)
0.04347826,5.0,(9|48)
0.04347826,2.0,(18|2)
0.04225352,6.0,(15|41)
0.04166667,1.0,(16|11)
0.04000000,5.0,(7|48)
0.04000000,4.0,(17|1)
0.04000000,1.0,(22|44)
0.03940887,8.0,(6|0)
0.03881701,21.0,(29|21)
0.03804348,7.0,(33|13)
0.03750000,18.0,(32|13)
0.03703704,6.0,(29|33)
0.03649635,5.0,(48|45)
0.03571429,2.0,(19|46)
0.03478261,4.0,(34|13)
0.03448276,1.0,(14|44)
0.03405573,11.0,(32|12)
0.03389831,4.0,(24|19)
0.03333334,1.0,(46|32)
0.03278688,6.0,(5|47)
0.03252032,4.0,(7|49)
0.03225806,2.0,(17|48)
0.03200000,8.0,(2|6)
0.03164557,10.0,(31|9)
0.03058824,13.0,(35|9)
0.02958580,5.0,(6|41)
0.02912621,3.0,(20|17)
0.02912621,12.0,(30|13)
0.02879581,11.0,(27|21)
0.02857143,4.0,(5|0)
0.02816901,2.0,(19|45)
0.02702703,1.0,(20|12)
0.02666667,2.0,(19|13)
0.02631579,1.0,(20|18)
0.02631579,1.0,(38|28)
0.02583026,7.0,(9|0)
0.02580645,4.0,(21|18)
0.02564103,4.0,(24|21)
0.02459016,3.0,(4|39)
0.02439024,1.0,(4|41)
0.02427184,5.0,(8|35)
0.02422145,7.0,(32|11)
0.02293578,5.0,(30|8)
0.02222222,2.0,(10|49)
0.02173913,1.0,(25|5)
0.02127660,1.0,(26|21)
0.02112676,3.0,(3|36)
0.02083333,3.0,(4|46)
0.02068966,3.0,(10|2)
0.02049180,5.0,(40|46)
0.02040816,2.0,(4|45)
0.02040816,1.0,(14|25)
0.02020202,2.0,(14|18)
0.02010050,4.0,(16|42)
0.02000000,1.0,(1|38)
0.01993356,6.0,(6|13)
0.01980198,4.0,(9|21)
0.01980198,2.0,(31|0)
0.01980198,2.0,(33|7)
0.01960784,3.0,(27|10)
0.01953125,5.0,(32|25)
0.01941748,2.0,(15|43)
0.01932367,4.0,(4|49)
0.01923077,2.0,(44|37)
0.01904762,2.0,(6|35)
0.01893939,5.0,(11|11)
0.01886792,1.0,(22|47)
0.01863354,3.0,(23|18)
0.01863354,3.0,(48|30)
0.01863354,3.0,(49|30)
0.01851852,2.0,(30|49)
0.01843318,4.0,(4|40)
0.01834862,2.0,(13|41)
0.01818182,1.0,(45|41)
0.01807229,3.0,(19|44)
0.01754386,5.0,(26|24)
0.01724138,4.0,(28|22)
0.01724138,2.0,(31|18)
0.01704546,3.0,(11|2)
0.01675978,3.0,(13|15)
0.01666667,1.0,(38|36)
0.01652892,2.0,(9|47)
0.01639344,2.0,(11|3)
0.01639344,3.0,(16|14)
0.01632653,4.0,(15|0)
0.01612903,1.0,(10|11)
0.01610018,9.0,(29|20)
0.01600000,4.0,(41|36)
0.01562500,1.0,(18|48)
0.01550388,2.0,(12|28)
0.01550388,2.0,(21|46)
0.01538462,3.0,(10|41)
0.01538462,1.0,(19|14)
0.01538462,3.0,(27|24)
0.01538462,1.0,(31|47)
0.01492537,1.0,(2|44)
0.01492537,1.0,(15|49)
0.01485149,3.0,(26|20)
0.01449275,1.0,(39|43)
0.01442308,3.0,(31|22)
0.01435407,6.0,(24|23)
0.01428571,2.0,(0|29)
0.01428571,2.0,(12|21)
0.01428571,1.0,(14|49)
0.01428571,2.0,(49|29)
0.01421801,3.0,(14|24)
0.01418440,2.0,(23|28)
0.01388889,3.0,(17|2)
0.01388889,1.0,(22|5)
0.01385681,6.0,(40|45)
0.01379310,2.0,(14|4)
0.01379310,4.0,(32|10)
0.01379310,2.0,(44|6)
0.01369863,2.0,(10|47)
0.01355932,4.0,(32|16)
0.01307190,2.0,(11|41)
0.01298701,2.0,(11|40)
0.01298701,1.0,(27|23)
0.01298701,1.0,(37|47)
0.01298701,1.0,(47|42)
0.01290323,2.0,(49|41)
0.01282051,2.0,(11|18)
0.01265823,1.0,(12|45)
0.01265823,1.0,(17|3)
0.01260504,6.0,(9|14)
0.01250000,1.0,(24|29)
0.01242236,2.0,(10|3)
0.01234568,1.0,(36|36)
0.01231527,10.0,(32|17)
0.01230769,4.0,(30|14)
0.01197605,2.0,(21|15)
0.01190476,1.0,(21|6)
0.01190476,2.0,(33|14)
0.01183432,2.0,(35|25)
0.01179941,4.0,(31|8)
0.01162791,1.0,(13|46)
0.01145038,3.0,(37|24)
0.01111111,1.0,(17|17)
0.01104972,2.0,(22|2)
0.01098901,1.0,(9|15)
0.01098901,1.0,(29|1)
0.01063830,3.0,(8|40)
0.01063830,2.0,(21|48)
0.01063830,1.0,(22|18)
0.01063830,2.0,(34|26)
0.01052632,1.0,(1|29)
0.01052632,2.0,(5|45)
0.01052632,1.0,(13|0)
0.01052632,1.0,(13|43)
0.01052632,1.0,(35|33)
0.01047120,4.0,(7|41)
0.01047120,2.0,(25|28)
0.01047120,6.0,(34|7)
0.01028278,4.0,(28|48)
0.01027397,3.0,(6|34)
0.01020408,4.0,(31|13)
0.01015228,2.0,(47|35)
0.01010101,3.0,(27|14)
0.009746589,5.0,(29|23)
0.009615385,1.0,(0|7)
0.009615385,1.0,(3|43)
0.009615385,2.0,(7|0)
0.009463723,3.0,(28|14)
0.009389671,2.0,(8|20)
0.009345794,1.0,(4|42)
0.009345794,1.0,(8|23)
0.009345794,1.0,(24|24)
0.009259259,1.0,(9|13)
0.009259259,1.0,(23|0)
0.009174312,3.0,(25|20)
0.009009009,1.0,(6|44)
0.008968610,2.0,(35|17)
0.008928572,1.0,(10|21)
0.008928572,2.0,(10|45)
0.008928572,1.0,(20|47)
0.008928572,1.0,(23|30)
0.008849557,1.0,(13|42)
0.008849557,2.0,(15|44)
0.008849557,1.0,(25|7)
0.008771930,1.0,(9|45)
0.008771930,1.0,(17|9)
0.008771930,1.0,(17|11)
0.008695652,1.0,(7|11)
0.008695652,2.0,(7|47)
0.008695652,1.0,(21|12)
0.008695652,2.0,(22|1)
0.008658009,2.0,(25|24)
0.008620690,1.0,(38|34)
0.008503402,5.0,(26|48)
0.008445946,5.0,(26|46)
0.008403362,1.0,(19|7)
0.008403362,2.0,(28|11)
0.008368201,2.0,(28|21)
0.008333334,1.0,(28|18)
0.008264462,1.0,(26|6)
0.008264462,2.0,(47|43)
0.008196721,1.0,(15|1)
0.008130081,1.0,(17|45)
0.007952286,4.0,(4|47)
0.007936508,1.0,(12|39)
0.007874016,2.0,(34|24)
0.007843138,2.0,(7|13)
0.007722008,2.0,(32|15)
0.007692308,3.0,(33|39)
0.007633588,2.0,(9|43)
0.007633588,1.0,(10|39)
0.007633588,1.0,(17|44)
0.007575758,1.0,(13|38)
0.007575758,1.0,(16|13)
0.007518797,1.0,(18|45)
0.007462686,1.0,(7|44)
0.007462686,1.0,(24|8)
0.007462686,1.0,(26|19)
0.007352941,2.0,(36|49)
0.007352941,1.0,(39|36)
0.007326007,2.0,(7|30)
0.007194245,3.0,(44|43)
0.007142857,1.0,(24|31)
0.007092198,1.0,(23|33)
0.006993007,1.0,(5|42)
0.006993007,2.0,(12|48)
0.006920415,2.0,(11|42)
0.006896552,1.0,(10|48)
0.006849315,1.0,(23|22)
0.006756757,1.0,(14|43)
0.006734007,2.0,(45|14)
0.006666667,1.0,(12|16)
0.006622517,2.0,(8|7)
0.006622517,2.0,(33|27)
0.006622517,1.0,(33|32)
0.006535948,2.0,(7|35)
0.006451613,1.0,(12|5)
0.006451613,1.0,(13|40)
0.006451613,1.0,(38|48)
0.006289308,2.0,(18|1)
0.006289308,1.0,(23|3)
0.006289308,1.0,(37|34)
0.006250000,1.0,(0|32)
0.006211180,1.0,(13|44)
0.006211180,1.0,(32|9)
0.006134969,1.0,(19|2)
0.006097561,2.0,(30|15)
0.006097561,1.0,(33|6)
0.006097561,1.0,(33|8)
0.006060606,1.0,(16|28)
0.005882353,1.0,(7|40)
0.005882353,1.0,(32|4)
0.005847953,1.0,(7|32)
0.005813953,1.0,(42|47)
0.005780347,1.0,(6|42)
0.005780347,1.0,(27|19)
0.005780347,1.0,(44|22)
0.005649718,2.0,(11|1)
0.005649718,1.0,(14|48)
0.005649718,1.0,(44|41)
0.005617978,1.0,(32|0)
0.005524862,2.0,(9|37)
0.005464481,1.0,(47|45)
0.005319149,1.0,(31|29)
0.005154639,1.0,(28|20)
0.005102041,1.0,(4|17)
0.005102041,1.0,(37|27)
0.005076142,1.0,(9|35)
0.005050505,1.0,(29|26)
0.005000000,1.0,(13|24)
0.004950495,1.0,(3|44)
0.004950495,1.0,(20|13)
0.004950495,1.0,(35|24)
0.004878049,1.0,(5|36)
0.004878049,2.0,(12|46)
0.004854369,1.0,(23|26)
0.004830918,1.0,(14|45)
0.004830918,1.0,(21|43)
0.004761905,1.0,(8|41)
0.004672897,1.0,(46|44)
0.004658385,3.0,(8|45)
0.004618938,2.0,(31|44)
0.004587156,1.0,(43|49)
0.004587156,1.0,(44|2)
0.004566210,1.0,(11|15)
0.004566210,1.0,(34|41)
0.004310345,1.0,(6|48)
0.004219409,1.0,(21|27)
0.004184100,1.0,(2|43)
0.004184100,1.0,(10|42)
0.004166667,2.0,(14|2)
0.004166667,1.0,(27|13)
0.004166667,1.0,(29|46)
0.004132231,1.0,(19|4)
0.004065040,1.0,(28|3)
0.003952569,1.0,(36|22)
0.003906250,1.0,(47|40)
0.003752345,2.0,(6|36)
0.003731343,1.0,(25|23)
0.003731343,1.0,(29|25)
0.003717472,1.0,(6|40)
0.003717472,1.0,(21|4)
0.003717472,1.0,(22|21)
0.003676471,1.0,(24|1)
0.003669725,2.0,(28|23)
0.003636364,1.0,(32|45)
0.003546099,1.0,(35|8)
0.003496503,1.0,(28|15)
0.003424658,1.0,(10|16)
0.003389830,1.0,(28|16)
0.003311258,1.0,(31|11)
0.003225806,1.0,(24|22)
0.003205128,1.0,(5|32)
0.003021148,1.0,(2|11)
0.003003003,1.0,(30|16)
0.002941177,1.0,(28|17)
0.002923977,1.0,(25|16)
0.002832861,1.0,(24|27)
0.002770083,1.0,(29|15)
0.002732240,1.0,(5|44)
0.002702703,1.0,(40|43)
0.002570694,1.0,(11|5)
0.002525253,1.0,(34|42)
0.002469136,1.0,(30|4)
0.002439024,1.0,(4|31)
0.002433090,1.0,(29|44)
0.002237136,1.0,(30|5)
0.001745201,1.0,(0|35)
0.001733102,1.0,(43|42)
0.001620746,1.0,(32|8)
0.001579779,1.0,(5|35)
0.001492537,1.0,(14|41)
0.001474926,1.0,(8|0)
0.001470588,1.0,(1|1)
0.001455604,1.0,(32|39)
0.001426534,1.0,(27|18)
0.001315790,1.0,(45|44)
0.001175088,1.0,(24|9)
0.001135074,1.0,(37|46)
0.001013171,1.0,(23|27)
0.001004016,1.0,(40|37)
0.0009478673,1.0,(41|46)
0.0009182736,1.0,(3|41)
0.0009082652,1.0,(12|0)
