Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 384 | Contracts-Gen/Commercial (jp:384,idx:148)
Class Probability,Ex Count at BMU,BMU Map Loc
0.9662028,486.0,(4|47)
0.7759563,142.0,(5|47)
0.5753425,42.0,(5|48)
0.5347222,77.0,(4|46)
0.4987835,410.0,(5|49)
0.4400000,22.0,(4|48)
0.4299517,89.0,(4|49)
0.4000000,56.0,(5|0)
0.4000000,26.0,(6|47)
0.3916667,94.0,(6|49)
0.3703704,10.0,(3|48)
0.3663793,85.0,(6|48)
0.3655172,53.0,(4|0)
0.2727273,3.0,(3|47)
0.2686567,18.0,(6|46)
0.2413793,49.0,(6|0)
0.2400000,36.0,(3|2)
0.2321429,13.0,(3|49)
0.2160000,27.0,(7|48)
0.1976744,17.0,(3|1)
0.1923848,96.0,(5|1)
0.1904762,8.0,(3|0)
0.1904762,8.0,(5|46)
0.1869565,43.0,(7|47)
0.1818182,2.0,(26|49)
0.1509434,16.0,(4|2)
0.1500000,39.0,(4|1)
0.1340206,52.0,(6|1)
0.1300813,16.0,(7|49)
0.1147541,28.0,(6|2)
0.1111111,1.0,(27|46)
0.1052632,2.0,(17|32)
0.09933775,15.0,(16|1)
0.09615385,20.0,(7|0)
0.09523810,4.0,(5|40)
0.09090909,24.0,(11|11)
0.08823530,3.0,(7|1)
0.08567604,64.0,(8|3)
0.08510638,8.0,(22|18)
0.08078603,37.0,(28|19)
0.07380074,20.0,(9|0)
0.07317073,36.0,(5|2)
0.07027027,13.0,(9|49)
0.06451613,4.0,(10|11)
0.05882353,1.0,(36|9)
0.05882353,1.0,(46|43)
0.05769231,9.0,(49|33)
0.05555556,5.0,(10|49)
0.05555556,1.0,(35|13)
0.05434782,5.0,(45|49)
0.05235602,20.0,(27|21)
0.05194805,4.0,(27|23)
0.05109489,7.0,(44|44)
0.05000000,1.0,(38|47)
0.04958678,6.0,(9|47)
0.04918033,3.0,(38|23)
0.04892967,16.0,(25|20)
0.04705882,4.0,(7|2)
0.04591837,9.0,(30|22)
0.04368932,9.0,(11|12)
0.04358974,17.0,(33|39)
0.04347826,1.0,(20|46)
0.04210526,4.0,(4|3)
0.04137931,6.0,(10|2)
0.04054054,6.0,(9|3)
0.04000000,2.0,(8|4)
0.03989362,15.0,(10|0)
0.03906250,10.0,(32|25)
0.03773585,4.0,(35|38)
0.03718200,19.0,(8|48)
0.03703704,2.0,(8|46)
0.03636364,2.0,(4|4)
0.03614458,6.0,(19|44)
0.03603604,4.0,(43|47)
0.03571429,2.0,(35|12)
0.03389831,2.0,(7|46)
0.03225806,7.0,(10|1)
0.03209877,13.0,(7|3)
0.03191489,6.0,(21|48)
0.03141361,12.0,(7|41)
0.03118908,16.0,(29|23)
0.03076923,2.0,(16|43)
0.03076923,6.0,(33|40)
0.03053435,4.0,(35|37)
0.03030303,3.0,(37|37)
0.03012048,5.0,(8|49)
0.02980132,9.0,(6|3)
0.02976190,5.0,(33|28)
0.02941176,1.0,(18|49)
0.02884615,3.0,(3|43)
0.02824859,5.0,(14|48)
0.02816901,2.0,(14|22)
0.02727273,9.0,(8|47)
0.02717391,5.0,(33|13)
0.02631579,1.0,(20|18)
0.02631579,1.0,(44|7)
0.02608696,3.0,(9|48)
0.02608696,3.0,(35|41)
0.02597403,2.0,(32|24)
0.02580645,4.0,(21|18)
0.02459016,3.0,(29|7)
0.02422145,7.0,(32|11)
0.02366864,4.0,(6|41)
0.02325581,13.0,(29|20)
0.02312139,4.0,(23|10)
0.02290076,3.0,(17|44)
0.02272727,1.0,(15|3)
0.02272727,2.0,(15|21)
0.02247191,6.0,(8|30)
0.02247191,2.0,(48|31)
0.02247191,2.0,(49|42)
0.02222222,4.0,(35|10)
0.02167183,7.0,(32|12)
0.02127660,1.0,(26|21)
0.02127660,4.0,(34|26)
0.02117647,9.0,(35|9)
0.02105263,2.0,(13|0)
0.02105263,2.0,(13|43)
0.02083333,10.0,(32|13)
