Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 389 | ERISA-Health (jp:389,idx:150)
Class Probability,Ex Count at BMU,BMU Map Loc
0.5097276,131.0,(23|48)
0.4536586,186.0,(22|6)
0.4166667,45.0,(22|48)
0.3205128,25.0,(23|49)
0.1904762,16.0,(21|6)
0.1153846,3.0,(31|34)
0.07352941,5.0,(24|3)
0.07082153,25.0,(21|3)
0.06250000,13.0,(22|4)
0.05882353,1.0,(21|42)
0.05882353,1.0,(22|42)
0.05472637,11.0,(20|4)
0.05309734,6.0,(22|49)
0.04761905,13.0,(22|3)
0.04545455,1.0,(19|0)
0.04545455,11.0,(19|4)
0.04411765,6.0,(9|11)
0.04347826,2.0,(18|2)
0.04294479,7.0,(23|1)
0.03812317,13.0,(21|5)
0.03750000,3.0,(20|6)
0.03448276,3.0,(30|26)
0.03243243,12.0,(20|3)
0.02941176,1.0,(27|3)
0.02857143,3.0,(6|35)
0.02849741,11.0,(25|26)
0.02777778,2.0,(22|5)
0.02631579,3.0,(25|4)
0.02564103,3.0,(21|49)
0.02380952,1.0,(5|40)
0.02325581,6.0,(19|3)
0.02298851,2.0,(21|0)
0.02222222,2.0,(24|20)
0.02209945,4.0,(22|2)
0.02173913,5.0,(22|1)
0.02083333,1.0,(18|3)
0.01980198,2.0,(18|9)
0.01858736,5.0,(21|4)
0.01796407,3.0,(40|47)
0.01724138,1.0,(10|12)
0.01666667,1.0,(9|10)
0.01587302,3.0,(20|0)
0.01587302,1.0,(23|4)
0.01418440,2.0,(48|34)
0.01379310,2.0,(44|6)
0.01351351,2.0,(9|3)
0.01333333,1.0,(25|21)
0.01265823,1.0,(37|2)
0.01257862,2.0,(23|3)
0.01250000,1.0,(18|7)
0.01250000,3.0,(26|3)
0.01162791,2.0,(21|1)
0.01123596,1.0,(24|5)
0.01123596,2.0,(32|0)
0.01098901,1.0,(40|49)
0.01063830,1.0,(22|18)
0.01020408,1.0,(18|5)
0.01005025,2.0,(16|42)
0.009708738,2.0,(23|26)
0.009345794,2.0,(25|2)
0.008333334,2.0,(43|38)
0.008264462,1.0,(9|47)
0.008264462,1.0,(17|8)
0.008264462,2.0,(47|43)
0.008130081,1.0,(18|10)
0.008064516,1.0,(5|16)
0.008000000,1.0,(7|48)
0.007936508,1.0,(9|24)
0.007812500,1.0,(12|41)
0.007722008,2.0,(8|8)
0.007142857,1.0,(49|0)
0.007042253,1.0,(15|41)
0.007042253,1.0,(23|6)
0.006944444,1.0,(15|32)
0.006896552,1.0,(10|2)
0.006849315,2.0,(12|36)
0.006849315,1.0,(20|10)
0.006410256,1.0,(18|19)
0.006410256,1.0,(49|33)
0.006289308,2.0,(18|1)
0.006211180,1.0,(8|2)
0.006060606,1.0,(12|17)
0.005882353,1.0,(21|2)
0.005747126,1.0,(26|39)
0.005698006,2.0,(8|31)
0.005698006,2.0,(35|1)
0.005681818,1.0,(11|2)
0.005681818,1.0,(17|13)
0.005617978,2.0,(27|28)
0.005514706,3.0,(25|22)
0.005464481,1.0,(5|47)
0.005263158,1.0,(24|2)
0.005235602,2.0,(27|21)
0.005154639,1.0,(28|20)
0.005000000,1.0,(13|24)
0.004950495,1.0,(20|32)
0.004739337,1.0,(14|24)
0.004608295,1.0,(4|40)
0.004566210,1.0,(14|38)
0.004329004,1.0,(25|24)
0.004329004,2.0,(25|48)
0.004201681,2.0,(9|14)
0.004184100,1.0,(32|49)
0.003669725,2.0,(28|23)
0.003636364,1.0,(32|45)
0.003448276,1.0,(12|4)
0.003401360,1.0,(13|6)
0.003344482,1.0,(10|43)
0.002732240,1.0,(5|44)
0.002652520,1.0,(49|44)
0.002309469,1.0,(40|45)
0.002272727,1.0,(35|0)
0.002083333,1.0,(25|3)
0.002074689,1.0,(24|4)
0.001949318,1.0,(29|23)
0.001788909,1.0,(29|20)
0.001579779,1.0,(5|35)
0.001564945,1.0,(24|48)
0.001494768,1.0,(26|0)
0.001312336,1.0,(23|2)
