Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 404 | Tax Law-M&A (jp:404,idx:165)
Class Probability,Ex Count at BMU,BMU Map Loc
0.5490798,358.0,(24|25)
0.4000000,2.0,(12|38)
0.2553191,36.0,(23|25)
0.1962617,21.0,(24|24)
0.1190476,5.0,(13|45)
0.1165414,31.0,(23|24)
0.1142857,12.0,(25|25)
0.06896552,2.0,(38|12)
0.06896552,2.0,(39|11)
0.06818182,3.0,(15|3)
0.06716418,18.0,(25|23)
0.06666667,2.0,(46|32)
0.06060606,2.0,(4|28)
0.05806452,9.0,(18|18)
0.05617978,5.0,(16|21)
0.05263158,2.0,(38|28)
0.05128205,2.0,(39|23)
0.04761905,1.0,(22|39)
0.04705882,24.0,(22|25)
0.04516129,7.0,(39|28)
0.04477612,3.0,(2|44)
0.04472844,14.0,(22|30)
0.04290429,13.0,(10|44)
0.04219409,10.0,(21|27)
0.04081633,2.0,(14|25)
0.04044118,11.0,(24|1)
0.03921569,2.0,(28|32)
0.03825137,21.0,(19|26)
0.03809524,4.0,(19|33)
0.03703704,1.0,(16|22)
0.03676471,20.0,(25|22)
0.03636364,6.0,(18|26)
0.03636364,10.0,(20|27)
0.03603604,4.0,(6|44)
0.03603604,4.0,(20|21)
0.03578947,17.0,(21|26)
0.03488372,3.0,(13|46)
0.03448276,1.0,(14|44)
0.03338171,23.0,(20|24)
0.03333334,7.0,(21|21)
0.03325416,14.0,(17|24)
0.03305785,4.0,(6|12)
0.03296703,9.0,(5|11)
0.03252032,20.0,(22|24)
0.03225806,1.0,(6|11)
0.03225806,1.0,(7|10)
0.03125000,2.0,(26|36)
0.03017241,7.0,(28|22)
0.02985075,2.0,(6|46)
0.02857143,4.0,(0|29)
0.02857143,1.0,(26|37)
0.02857143,1.0,(30|36)
0.02857143,4.0,(49|29)
0.02830189,3.0,(21|20)
0.02816901,2.0,(14|22)
0.02777778,3.0,(28|33)
0.02777778,1.0,(39|44)
0.02752294,3.0,(22|31)
0.02752294,9.0,(46|18)
0.02727273,3.0,(11|47)
0.02666667,2.0,(17|19)
0.02659575,10.0,(17|25)
