Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 408 | Personal Injury-Medicare (jp:408,idx:167)
Class Probability,Ex Count at BMU,BMU Map Loc
0.9984615,649.0,(36|6)
0.8963730,173.0,(36|7)
0.8510638,80.0,(37|6)
0.7560976,31.0,(35|6)
0.7555556,34.0,(36|5)
0.7500000,3.0,(36|8)
0.6402116,121.0,(37|5)
0.5386862,369.0,(38|6)
0.4722222,34.0,(37|7)
0.4685714,82.0,(38|7)
0.3870968,48.0,(37|8)
0.3555556,16.0,(38|5)
0.3456790,28.0,(39|6)
0.2312925,34.0,(35|5)
0.2073171,17.0,(38|4)
0.1402439,23.0,(39|5)
0.1354167,13.0,(39|7)
0.1337580,21.0,(38|8)
0.08333334,1.0,(36|10)
0.07291666,7.0,(39|0)
0.07142857,4.0,(14|34)
0.06896552,2.0,(41|6)
0.06113537,14.0,(40|1)
0.06024097,15.0,(1|7)
0.05882353,1.0,(6|29)
0.05882353,11.0,(36|4)
0.05633803,4.0,(31|46)
0.05479452,12.0,(14|38)
0.04878049,2.0,(36|46)
0.04687500,9.0,(37|4)
0.04411765,3.0,(13|26)
0.04347826,1.0,(8|34)
0.04347826,1.0,(18|33)
0.04201681,5.0,(21|9)
0.03846154,4.0,(0|7)
0.03846154,4.0,(45|5)
0.03703704,3.0,(39|1)
0.03680982,6.0,(42|1)
0.03571429,2.0,(43|1)
0.03448276,4.0,(38|0)
0.03448276,3.0,(47|0)
0.03389831,4.0,(41|1)
0.03370786,9.0,(35|4)
0.03333334,3.0,(47|46)
0.03225806,1.0,(28|29)
0.03225806,2.0,(47|48)
0.03184713,5.0,(43|4)
0.03174603,2.0,(48|6)
0.03030303,2.0,(21|8)
0.02912621,3.0,(42|2)
0.02836879,4.0,(43|3)
0.02727273,3.0,(37|9)
0.02649007,4.0,(48|46)
0.02564103,2.0,(35|3)
0.02531646,2.0,(40|0)
0.02469136,2.0,(0|49)
0.02459016,3.0,(42|44)
0.02380952,2.0,(12|37)
0.02380952,1.0,(15|38)
0.02380952,1.0,(28|49)
0.02380952,1.0,(29|0)
0.02332362,8.0,(32|21)
0.02325581,2.0,(26|2)
0.02325581,5.0,(41|7)
0.02325581,2.0,(45|0)
0.02259887,12.0,(28|0)
0.02247191,2.0,(24|5)
0.02189781,3.0,(13|37)
0.02173913,1.0,(34|2)
0.02173913,3.0,(34|3)
0.02127660,3.0,(18|11)
0.02127660,3.0,(18|14)
0.02127660,1.0,(20|8)
0.02112676,3.0,(49|2)
0.02083333,2.0,(42|4)
0.02013423,3.0,(43|0)
0.01923077,1.0,(17|12)
0.01869159,4.0,(18|12)
0.01851852,2.0,(9|13)
0.01834862,4.0,(44|2)
0.01834862,2.0,(44|4)
0.01809955,4.0,(43|44)
0.01785714,2.0,(45|47)
0.01769911,2.0,(48|5)
0.01754386,1.0,(43|5)
0.01639344,2.0,(1|3)
0.01639344,3.0,(49|49)
0.01626016,2.0,(49|5)
0.01587302,1.0,(23|9)
0.01570681,3.0,(1|2)
0.01492537,2.0,(43|2)
0.01470588,1.0,(24|3)
0.01449275,1.0,(13|23)
0.01428571,1.0,(36|11)
0.01428571,1.0,(44|5)
0.01418440,2.0,(38|9)
0.01388889,1.0,(22|5)
0.01379310,2.0,(10|2)
0.01376147,3.0,(43|49)
0.01369863,2.0,(41|2)
0.01333333,1.0,(19|13)
0.01298701,1.0,(14|35)
0.01260504,3.0,(40|2)
0.01255230,3.0,(48|2)
0.01250000,1.0,(1|48)
0.01234568,2.0,(40|8)
0.01229508,3.0,(40|46)
0.01149425,1.0,(16|35)
0.01149425,2.0,(46|5)
0.01149425,2.0,(47|6)
0.01142857,2.0,(41|43)
0.01034483,3.0,(12|4)
0.009615385,2.0,(31|22)
0.009345794,1.0,(8|23)
0.009174312,1.0,(34|45)
0.008720931,3.0,(41|8)
0.008547009,1.0,(2|49)
0.008547009,1.0,(10|34)
0.008438818,2.0,(40|7)
0.008230452,2.0,(2|46)
0.008196721,2.0,(20|9)
0.007874016,1.0,(47|47)
0.007633588,1.0,(15|30)
0.007575758,1.0,(13|8)
0.007575758,1.0,(13|38)
0.007575758,1.0,(36|2)
0.007425743,3.0,(41|49)
0.007272727,2.0,(32|45)
0.007246377,1.0,(46|0)
0.006993007,1.0,(38|49)
0.006896552,1.0,(44|6)
0.006849315,1.0,(20|10)
0.006666667,2.0,(14|39)
0.006622517,1.0,(16|8)
0.006622517,1.0,(26|23)
0.006493506,1.0,(49|3)
0.006060606,1.0,(16|28)
0.005988024,1.0,(40|47)
0.005813953,1.0,(35|43)
0.005681818,1.0,(17|13)
0.005464481,1.0,(18|40)
0.005434783,1.0,(1|6)
0.005291005,1.0,(46|4)
0.005263158,1.0,(5|45)
0.005128205,1.0,(15|39)
0.005102041,1.0,(30|22)
0.005025126,1.0,(49|4)
0.004784689,1.0,(8|10)
0.004716981,1.0,(13|22)
0.004672897,1.0,(9|8)
0.004672897,1.0,(11|35)
0.004608295,1.0,(32|22)
0.004366812,1.0,(11|14)
0.004347826,1.0,(11|25)
0.004329004,1.0,(42|40)
0.004246285,2.0,(40|6)
0.004140787,2.0,(39|8)
0.004132231,1.0,(42|3)
0.003921569,1.0,(7|13)
0.003745318,2.0,(42|6)
0.003676471,1.0,(36|49)
0.003663004,1.0,(7|30)
0.003636364,1.0,(15|12)
0.003558719,1.0,(23|8)
0.003311258,1.0,(8|7)
0.003194888,1.0,(26|1)
0.002932551,1.0,(27|47)
0.002921130,3.0,(32|23)
0.002808989,1.0,(44|45)
0.002652520,1.0,(49|44)
0.002525253,1.0,(9|29)
0.002525253,1.0,(34|42)
0.002427184,1.0,(39|45)
0.002392344,1.0,(38|38)
0.002336449,1.0,(9|30)
0.002242153,1.0,(41|48)
0.001895735,2.0,(41|46)
0.001814882,1.0,(8|1)
0.001766784,1.0,(32|46)
0.001342282,1.0,(28|2)
