Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 411 | Emp-Comp-Privacy (jp:411,idx:170)
Class Probability,Ex Count at BMU,BMU Map Loc
0.5000000,1.0,(3|6)
0.1369863,10.0,(7|7)
0.08333334,3.0,(12|6)
0.07615894,23.0,(8|7)
0.05555556,1.0,(11|10)
0.05333333,4.0,(27|49)
0.04615385,3.0,(14|11)
0.04347826,2.0,(18|2)
0.03797468,3.0,(17|3)
0.03571429,2.0,(43|1)
0.03496503,5.0,(10|10)
0.03361345,4.0,(21|9)
0.03333334,4.0,(18|6)
0.03252032,4.0,(44|48)
0.02941176,2.0,(19|41)
0.02500000,2.0,(18|7)
0.02479339,3.0,(17|8)
0.02439024,2.0,(21|7)
0.02380952,1.0,(5|46)
0.02354145,23.0,(28|46)
0.01851852,1.0,(11|4)
0.01796407,3.0,(40|47)
0.01754386,1.0,(15|11)
0.01739130,2.0,(23|15)
0.01709402,4.0,(9|34)
0.01700680,5.0,(13|6)
0.01515152,2.0,(13|9)
0.01438849,4.0,(17|10)
0.01418440,2.0,(44|47)
0.01190476,2.0,(14|6)
0.01169591,2.0,(15|6)
0.01058201,2.0,(44|1)
0.01052632,2.0,(14|10)
0.01030928,1.0,(6|5)
0.009900990,1.0,(18|9)
0.009803922,1.0,(16|9)
0.009345794,2.0,(13|7)
0.009345794,2.0,(25|2)
0.008771930,1.0,(17|9)
0.008771930,1.0,(17|11)
0.008368201,2.0,(48|2)
0.008333334,2.0,(29|46)
0.007824726,5.0,(24|48)
0.007712082,3.0,(11|5)
0.007575758,1.0,(11|9)
0.007575758,1.0,(13|8)
0.007042253,1.0,(23|6)
0.006928407,3.0,(40|45)
0.006896552,1.0,(10|2)
0.006622517,1.0,(16|1)
0.006622517,1.0,(16|8)
0.006600660,2.0,(7|4)
0.006410256,1.0,(7|6)
0.006134969,1.0,(15|8)
0.006134969,1.0,(19|2)
0.005154639,1.0,(8|39)
0.004629630,1.0,(17|2)
0.004255319,1.0,(30|25)
0.004166667,2.0,(25|3)
0.003921569,2.0,(14|8)
0.003861004,1.0,(32|15)
0.003311258,1.0,(33|27)
0.002857143,1.0,(16|10)
0.002677376,2.0,(8|3)
0.002659574,1.0,(10|0)
0.002583979,1.0,(31|14)
0.002257336,1.0,(33|9)
0.002183406,1.0,(28|19)
0.002004008,1.0,(5|1)
0.001926782,1.0,(23|5)
0.001876173,1.0,(6|36)
0.001788909,1.0,(36|3)
0.001642036,1.0,(14|5)
