Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 412 | Employment Agreements (jp:412,idx:171)
Class Probability,Ex Count at BMU,BMU Map Loc
0.8826291,564.0,(24|48)
0.4723032,162.0,(11|6)
0.2250000,18.0,(10|6)
0.2068966,24.0,(17|4)
0.1935484,18.0,(18|4)
0.1428571,7.0,(24|49)
0.1404959,17.0,(17|8)
0.1386139,14.0,(18|9)
0.1111111,1.0,(37|45)
0.1041667,5.0,(18|8)
0.09803922,10.0,(16|9)
0.09649123,11.0,(17|9)
0.09090909,3.0,(35|46)
0.08333334,3.0,(12|6)
0.08333334,1.0,(12|11)
0.07692308,2.0,(31|34)
0.06666667,8.0,(18|6)
0.06382979,3.0,(11|7)
0.06097561,5.0,(10|4)
0.05714286,2.0,(30|36)
0.05454545,9.0,(13|5)
0.05333333,4.0,(27|49)
0.05000000,4.0,(18|7)
0.04477612,3.0,(20|43)
0.04347826,1.0,(20|46)
0.04166667,4.0,(16|36)
0.04137931,6.0,(44|6)
0.04000000,1.0,(47|44)
0.03816794,5.0,(16|6)
0.03797468,3.0,(17|3)
0.03669725,4.0,(17|6)
0.03571429,3.0,(21|6)
0.03448276,1.0,(7|5)
0.03370786,3.0,(6|6)
0.03194888,10.0,(26|1)
0.03174603,2.0,(23|9)
0.03125000,2.0,(14|3)
0.03030303,4.0,(13|8)
0.02941176,2.0,(9|16)
0.02941176,1.0,(25|1)
0.02857143,1.0,(19|5)
0.02857143,3.0,(19|33)
0.02816901,4.0,(23|6)
0.02500000,3.0,(17|7)
0.02469136,2.0,(10|5)
0.02439024,2.0,(21|7)
0.02395210,4.0,(40|47)
0.02352941,2.0,(30|45)
0.02325581,2.0,(26|2)
0.02247191,2.0,(24|5)
0.02238806,3.0,(39|49)
0.02205882,3.0,(9|11)
0.02112676,3.0,(24|6)
0.02083333,1.0,(18|3)
0.02068966,3.0,(10|2)
0.02061856,4.0,(13|10)
0.02061856,2.0,(40|36)
0.02040816,2.0,(15|7)
0.02040816,2.0,(18|5)
0.01960784,2.0,(40|48)
0.01935484,3.0,(12|5)
0.01923077,3.0,(7|6)
0.01898734,3.0,(15|5)
0.01869159,4.0,(13|7)
0.01851852,4.0,(17|2)
0.01785714,2.0,(20|47)
0.01785714,1.0,(43|1)
0.01754386,3.0,(9|46)
0.01754386,3.0,(15|6)
0.01724138,5.0,(12|4)
0.01709402,2.0,(2|45)
0.01639344,2.0,(12|31)
0.01612903,1.0,(19|12)
0.01587302,2.0,(12|39)
0.01587302,1.0,(23|4)
0.01530612,3.0,(12|3)
0.01515152,1.0,(21|8)
0.01435407,3.0,(11|48)
0.01428571,2.0,(22|0)
0.01408451,1.0,(19|45)
0.01388889,1.0,(42|46)
0.01376147,3.0,(43|49)
0.01369863,1.0,(7|7)
0.01351351,1.0,(16|45)
0.01282051,2.0,(10|22)
0.01239669,3.0,(19|4)
0.01234568,2.0,(37|48)
0.01204819,2.0,(19|44)
0.01149425,1.0,(21|0)
0.01136364,1.0,(15|21)
0.01111111,1.0,(17|17)
0.01098901,1.0,(40|49)
0.01075269,1.0,(42|0)
0.01069519,2.0,(36|4)
0.01060071,3.0,(38|1)
0.01052632,2.0,(5|45)
0.01052632,2.0,(14|10)
0.01030928,1.0,(6|5)
0.01015228,2.0,(47|35)
0.01010101,1.0,(37|37)
0.009900990,1.0,(33|7)
0.009523810,1.0,(20|7)
0.009433962,1.0,(24|26)
0.009345794,2.0,(12|10)
0.009345794,2.0,(25|2)
0.009174312,1.0,(44|4)
0.009090909,4.0,(35|0)
0.008771930,1.0,(17|11)
0.008695652,1.0,(7|12)
0.008695652,2.0,(22|1)
0.008620690,2.0,(0|48)
0.008403362,1.0,(45|38)
0.008333334,2.0,(26|3)
0.008196721,2.0,(20|9)
0.007812500,1.0,(14|7)
0.007772021,3.0,(25|26)
0.007575758,1.0,(11|9)
0.007518797,1.0,(18|45)
0.007246377,1.0,(13|4)
0.007246377,1.0,(34|3)
0.007246377,1.0,(46|0)
0.007194245,1.0,(49|46)
0.006993007,1.0,(10|10)
0.006849315,2.0,(12|36)
0.006802721,2.0,(13|6)
0.006666667,1.0,(3|2)
0.006622517,1.0,(16|8)
0.006493506,3.0,(25|48)
0.006369427,1.0,(43|4)
0.006329114,1.0,(10|35)
0.006250000,1.0,(3|27)
0.006211180,1.0,(10|3)
0.005952381,1.0,(9|2)
0.005830904,2.0,(32|21)
0.005649718,3.0,(28|0)
0.005464481,1.0,(18|40)
0.005405406,1.0,(9|49)
0.005319149,1.0,(21|48)
0.005291005,1.0,(44|1)
0.005263158,1.0,(24|2)
0.005154639,1.0,(39|48)
0.005141388,2.0,(11|5)
0.004950495,1.0,(9|21)
0.004854369,1.0,(12|19)
0.004830918,1.0,(21|43)
0.004716981,1.0,(13|22)
0.004672897,1.0,(9|8)
0.004672897,1.0,(11|35)
0.004672897,1.0,(18|12)
0.004608295,1.0,(10|1)
0.004524887,1.0,(44|46)
0.004444445,1.0,(42|42)
0.004329004,1.0,(42|40)
0.004273504,1.0,(9|34)
0.004246285,2.0,(40|6)
0.004219409,1.0,(40|7)
0.004201681,1.0,(18|39)
0.004184100,1.0,(32|49)
0.004016064,1.0,(1|7)
0.003898636,2.0,(29|23)
0.003891051,1.0,(23|48)
0.003875969,1.0,(19|3)
0.003853565,2.0,(23|5)
0.003787879,1.0,(11|11)
0.003690037,1.0,(9|0)
0.003669725,2.0,(28|23)
0.003472222,1.0,(47|1)
0.003460208,1.0,(12|7)
0.003424658,1.0,(10|16)
0.003144654,1.0,(18|1)
0.003039514,1.0,(15|10)
0.003030303,1.0,(8|47)
0.003003003,1.0,(29|24)
0.002989537,2.0,(26|0)
0.002967359,1.0,(12|1)
