Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 414 | Emp-Lit-Competition/Trade Secrets (jp:414,idx:173)
Class Probability,Ex Count at BMU,BMU Map Loc
0.7528090,67.0,(6|6)
0.4882813,125.0,(8|6)
0.4166667,65.0,(7|6)
0.1315790,5.0,(8|5)
0.1111111,1.0,(37|45)
0.05479452,4.0,(7|7)
0.04545455,1.0,(24|7)
0.04347826,2.0,(11|8)
0.04166667,2.0,(18|3)
0.04000000,1.0,(6|30)
0.03508772,4.0,(17|9)
0.03448276,1.0,(7|5)
0.03361345,4.0,(21|9)
0.03333334,1.0,(19|11)
0.03225806,2.0,(10|11)
0.02912621,3.0,(16|3)
0.02777778,1.0,(12|6)
0.02631579,5.0,(14|10)
0.02395210,4.0,(40|47)
0.02380952,7.0,(13|6)
0.02173913,1.0,(0|39)
0.02083333,2.0,(16|36)
0.02061856,4.0,(13|10)
0.02040816,2.0,(15|7)
0.02000000,1.0,(45|42)
0.01960784,2.0,(16|9)
0.01923077,3.0,(10|22)
0.01898734,3.0,(15|5)
0.01785714,1.0,(43|1)
0.01754386,1.0,(15|11)
0.01754386,2.0,(17|11)
0.01680672,2.0,(19|7)
0.01666667,2.0,(28|18)
0.01562500,2.0,(14|7)
0.01492537,1.0,(20|43)
0.01492537,2.0,(39|49)
0.01408451,2.0,(24|6)
0.01401869,3.0,(12|10)
0.01401869,3.0,(13|7)
0.01388889,1.0,(42|46)
0.01265823,1.0,(17|3)
0.01250000,1.0,(10|6)
0.01250000,1.0,(18|7)
0.01250000,1.0,(20|6)
0.01242236,2.0,(10|3)
0.01239669,3.0,(19|4)
0.01226994,2.0,(15|8)
0.01212121,2.0,(13|5)
0.01204819,3.0,(1|7)
0.01204819,1.0,(49|38)
0.01075269,1.0,(42|0)
0.01041667,1.0,(39|0)
0.01020408,1.0,(30|21)
0.009615385,2.0,(31|22)
0.009584664,3.0,(26|1)
0.009523810,1.0,(20|7)
0.009174312,1.0,(17|6)
0.008620690,1.0,(17|4)
0.008620690,1.0,(19|8)
0.008547009,1.0,(2|49)
0.008474576,1.0,(42|5)
0.008403362,2.0,(18|39)
0.008333334,1.0,(43|45)
0.008264462,1.0,(17|8)
0.008196721,1.0,(11|3)
0.007824726,5.0,(24|48)
0.007812500,1.0,(12|8)
0.007575758,1.0,(11|9)
0.007246377,1.0,(34|3)
0.007246377,1.0,(46|0)
0.007092198,1.0,(18|11)
0.007067138,2.0,(38|1)
0.007042253,1.0,(23|6)
0.006993007,1.0,(38|49)
0.006896552,2.0,(12|4)
0.006896552,1.0,(14|4)
0.006578947,1.0,(10|37)
0.006451613,1.0,(12|5)
0.006369427,2.0,(29|13)
0.006329114,1.0,(10|35)
0.006134969,1.0,(41|37)
0.006134969,1.0,(42|36)
0.006134969,1.0,(43|35)
0.005952381,1.0,(33|14)
0.005865103,2.0,(27|47)
0.005681818,1.0,(8|42)
0.005405406,1.0,(37|1)
0.005354752,4.0,(8|3)
0.005291005,1.0,(44|1)
0.005235602,1.0,(25|28)
0.005154639,1.0,(39|48)
0.005050505,1.0,(29|26)
0.004784689,1.0,(11|48)
0.004672897,1.0,(18|12)
0.004329004,2.0,(25|48)
0.004329004,1.0,(42|40)
0.004098360,1.0,(20|9)
0.003787879,1.0,(11|11)
0.003597122,1.0,(17|10)
0.003546099,1.0,(35|8)
0.003460208,1.0,(12|7)
0.003039514,1.0,(15|10)
0.003003003,1.0,(29|24)
0.002739726,1.0,(9|42)
0.002659574,1.0,(10|0)
0.002617801,1.0,(7|41)
0.002590674,1.0,(25|26)
0.002364066,1.0,(29|14)
0.002270148,2.0,(37|46)
0.002242153,1.0,(41|48)
0.002183406,1.0,(28|19)
0.002040816,1.0,(38|45)
0.001876173,1.0,(6|36)
0.001834862,1.0,(28|23)
0.001700680,1.0,(26|48)
0.0009478673,1.0,(41|46)
