Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 418 | Employment HR (jp:418,idx:175)
Class Probability,Ex Count at BMU,BMU Map Loc
0.9437230,436.0,(25|48)
0.7115384,111.0,(25|49)
0.4987147,194.0,(11|5)
0.3518519,19.0,(11|4)
0.2666667,20.0,(27|49)
0.2516129,39.0,(12|5)
0.1470588,15.0,(16|9)
0.09195402,8.0,(17|5)
0.09174312,10.0,(17|6)
0.09090909,1.0,(26|49)
0.08510638,4.0,(11|7)
0.08333334,2.0,(27|1)
0.07407407,6.0,(10|5)
0.05555556,1.0,(11|10)
0.05263158,2.0,(22|9)
0.05223881,7.0,(43|2)
0.05102041,5.0,(18|5)
0.05000000,4.0,(18|7)
0.04166667,5.0,(17|7)
0.03960396,4.0,(18|9)
0.03797468,3.0,(17|3)
0.03448276,4.0,(17|4)
0.03370786,3.0,(15|9)
0.03333334,4.0,(18|6)
0.03333334,1.0,(19|9)
0.03271028,7.0,(13|7)
0.03225806,3.0,(18|4)
0.03174603,4.0,(12|39)
0.03125000,3.0,(16|36)
0.03076923,2.0,(14|11)
0.03061225,9.0,(13|6)
0.02941176,2.0,(9|16)
0.02857143,1.0,(19|5)
0.02777778,2.0,(42|46)
0.02631579,3.0,(17|9)
0.02469136,2.0,(43|7)
0.02453988,4.0,(15|8)
0.02424242,4.0,(13|5)
0.02343750,3.0,(12|8)
0.02272727,1.0,(15|3)
0.02247191,2.0,(24|5)
0.02222222,2.0,(24|20)
0.02197802,2.0,(40|49)
0.02083333,1.0,(18|3)
0.02083333,5.0,(26|3)
0.02068966,3.0,(10|2)
0.02040816,2.0,(15|7)
0.02040816,1.0,(24|49)
0.02027027,3.0,(9|3)
0.01904762,2.0,(6|35)
0.01886792,2.0,(4|2)
0.01851852,2.0,(22|48)
0.01796407,3.0,(40|47)
0.01754386,1.0,(3|46)
0.01724138,1.0,(8|22)
0.01724138,2.0,(19|8)
0.01724138,3.0,(46|5)
0.01724138,3.0,(47|6)
0.01694915,1.0,(16|7)
0.01694915,2.0,(42|5)
0.01680672,2.0,(19|7)
0.01680672,2.0,(21|9)
0.01652892,2.0,(17|8)
0.01639344,1.0,(10|7)
0.01626016,2.0,(49|5)
0.01612903,1.0,(10|11)
0.01587302,1.0,(13|3)
0.01587302,1.0,(48|6)
0.01515152,1.0,(46|1)
0.01485149,3.0,(43|6)
0.01470588,2.0,(9|11)
0.01438849,2.0,(49|46)
0.01418440,4.0,(35|8)
0.01382488,3.0,(32|22)
0.01324503,2.0,(16|8)
0.01265823,2.0,(15|5)
0.01265823,1.0,(40|0)
0.01250000,1.0,(10|6)
0.01234568,1.0,(16|2)
0.01229508,3.0,(20|9)
0.01219512,1.0,(10|4)
0.01219512,1.0,(21|7)
0.01204819,1.0,(16|0)
0.01204819,1.0,(49|38)
0.01197605,2.0,(11|13)
0.01176471,1.0,(7|2)
0.01162791,1.0,(14|9)
0.01162791,1.0,(26|2)
0.01111111,1.0,(15|16)
0.01092896,2.0,(49|49)
0.01063830,2.0,(21|48)
0.009708738,1.0,(16|5)
0.009661836,2.0,(4|49)
0.009523810,1.0,(13|19)
0.009523810,1.0,(20|7)
0.009523810,1.0,(25|25)
0.009433962,2.0,(23|21)
0.009259259,2.0,(20|14)
0.009174312,1.0,(34|45)
0.009174312,1.0,(44|4)
0.008928572,1.0,(49|6)
0.008196721,1.0,(15|1)
0.008196721,1.0,(16|32)
0.007824726,5.0,(24|48)
0.007751938,1.0,(27|6)
0.007575758,1.0,(11|9)
0.007575758,1.0,(13|8)
0.007575758,1.0,(13|9)
0.007518797,1.0,(9|1)
0.007462686,1.0,(24|8)
0.007067138,2.0,(38|1)
0.007042253,1.0,(23|6)
0.006993007,1.0,(34|48)
0.006920415,2.0,(12|7)
0.006896552,1.0,(0|38)
0.006896552,1.0,(44|6)
0.006802721,1.0,(3|5)
0.006666667,1.0,(12|16)
0.006622517,1.0,(16|1)
0.006535948,1.0,(18|0)
0.006451613,1.0,(21|18)
0.006410256,1.0,(11|18)
0.006369427,1.0,(27|4)
0.006172840,1.0,(37|48)
0.006116208,2.0,(23|47)
0.005952381,1.0,(40|9)
0.005865103,2.0,(27|47)
0.005830904,2.0,(11|6)
