Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 422 | Litigation-Jurisdiction (jp:422,idx:178)
Class Probability,Ex Count at BMU,BMU Map Loc
0.4005236,153.0,(30|46)
0.2592593,7.0,(30|47)
0.1250000,7.0,(43|1)
0.1126761,8.0,(31|46)
0.07058824,6.0,(30|45)
0.05369128,8.0,(43|0)
0.04761905,2.0,(28|49)
0.04761905,2.0,(29|0)
0.04395605,4.0,(34|0)
0.04347826,1.0,(38|2)
0.03731343,5.0,(43|2)
0.03640777,15.0,(39|45)
0.03448276,2.0,(36|44)
0.03361345,4.0,(21|9)
0.03225806,2.0,(19|12)
0.03030303,7.0,(42|40)
0.02985075,4.0,(39|49)
0.02857143,1.0,(30|36)
0.02816901,4.0,(24|6)
0.02608696,3.0,(7|11)
0.02439024,2.0,(21|7)
0.02290076,3.0,(35|37)
0.02000000,3.0,(12|40)
0.01960784,2.0,(48|1)
0.01754386,1.0,(3|46)
0.01626016,2.0,(18|10)
0.01616628,7.0,(40|45)
0.01360544,2.0,(46|42)
0.01327434,3.0,(15|44)
0.01307190,2.0,(11|41)
0.01298701,2.0,(11|40)
0.01273885,2.0,(11|34)
0.01265823,1.0,(37|2)
0.01234568,1.0,(39|6)
0.01149425,1.0,(34|1)
0.01142857,2.0,(41|45)
0.01052632,2.0,(36|47)
0.009803922,1.0,(40|48)
0.009174312,2.0,(43|49)
0.009132420,2.0,(11|15)
0.009009009,1.0,(43|47)
0.008368201,2.0,(32|49)
0.008196721,1.0,(42|44)
0.008064516,1.0,(1|47)
0.008032128,2.0,(1|7)
0.007575758,1.0,(36|2)
0.007117438,2.0,(23|8)
0.006993007,1.0,(38|49)
0.006896552,1.0,(44|6)
0.006369427,1.0,(43|4)
0.006329114,1.0,(10|35)
0.005747126,1.0,(46|5)
0.005747126,1.0,(47|6)
0.005681818,1.0,(17|13)
0.005649718,1.0,(22|43)
0.005586592,1.0,(34|46)
0.005555556,1.0,(35|10)
0.005444646,3.0,(8|1)
0.005347594,1.0,(36|4)
0.005291005,1.0,(37|5)
0.005291005,1.0,(46|4)
0.005263158,1.0,(22|8)
0.005128205,1.0,(15|39)
0.004705882,2.0,(35|9)
0.004474273,2.0,(30|5)
0.004385965,1.0,(0|3)
0.004166667,1.0,(26|3)
0.004166667,1.0,(29|46)
0.004098360,1.0,(40|46)
0.004081632,2.0,(38|45)
0.004000000,1.0,(41|36)
0.003861004,1.0,(0|36)
0.003577817,2.0,(36|3)
0.003472222,1.0,(47|1)
0.003333333,1.0,(14|39)
0.003174603,1.0,(16|12)
0.003134796,1.0,(37|38)
0.003095975,1.0,(32|12)
0.002932551,1.0,(29|12)
0.002475247,1.0,(41|49)
0.002270148,2.0,(37|46)
0.002070393,1.0,(39|8)
0.001766784,1.0,(32|46)
0.001564945,1.0,(24|48)
