Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 436 | Tax Prep-Pass-Through-Forms (jp:436,idx:187)
Class Probability,Ex Count at BMU,BMU Map Loc
1.000000,19.0,(2|25)
1.000000,2739.0,(2|26)
0.9880952,83.0,(2|27)
0.9838710,61.0,(1|26)
0.9633027,105.0,(3|26)
0.9437230,218.0,(49|25)
0.9166667,121.0,(3|25)
0.9166667,77.0,(49|26)
0.8768116,121.0,(1|25)
0.8571429,66.0,(0|25)
0.8412699,53.0,(1|27)
0.8181818,9.0,(5|25)
0.7931035,92.0,(49|27)
0.7870370,85.0,(1|24)
0.7798742,124.0,(4|26)
0.7750000,124.0,(3|27)
0.7421384,236.0,(48|24)
0.7187500,115.0,(0|28)
0.7064220,77.0,(48|25)
0.6984925,139.0,(0|26)
0.6885246,42.0,(49|24)
0.6758621,98.0,(3|24)
0.6693549,166.0,(47|24)
0.6492147,124.0,(0|27)
0.6141732,78.0,(2|24)
0.6097561,25.0,(49|28)
0.5811966,68.0,(47|25)
0.5714286,48.0,(2|23)
0.5701358,126.0,(0|24)
0.5591398,104.0,(48|27)
0.5416667,13.0,(4|25)
0.5416667,39.0,(48|23)
0.5319149,25.0,(5|26)
0.5175439,59.0,(4|23)
0.5075075,169.0,(4|27)
0.5051546,49.0,(4|24)
0.5038760,65.0,(48|26)
0.4978903,118.0,(3|23)
0.4705882,224.0,(46|24)
0.4680851,44.0,(47|23)
0.4669811,99.0,(48|28)
0.4537037,49.0,(49|23)
0.4464945,121.0,(48|22)
0.4378698,74.0,(1|23)
0.4188034,147.0,(40|18)
0.4188034,49.0,(47|26)
0.4159292,47.0,(0|23)
0.4123077,134.0,(40|31)
0.3964758,90.0,(41|19)
0.3836478,61.0,(0|22)
0.3757962,59.0,(49|22)
0.3729730,138.0,(3|10)
0.3684210,49.0,(3|22)
0.3643411,47.0,(0|21)
0.3627119,107.0,(48|21)
0.3580247,29.0,(48|29)
