Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 437 | Tax Prep-Pass-Through-S-Corp (jp:437,idx:188)
Class Probability,Ex Count at BMU,BMU Map Loc
0.9993606,1563.0,(46|30)
0.9629630,52.0,(47|30)
0.8759124,120.0,(46|29)
0.8091603,106.0,(46|31)
0.7862069,114.0,(45|30)
0.7692308,80.0,(47|29)
0.6315789,12.0,(47|31)
0.5925926,48.0,(48|29)
0.5900621,95.0,(45|28)
0.5777778,130.0,(45|29)
0.5344828,62.0,(44|31)
0.5233645,56.0,(47|28)
0.5090909,28.0,(45|31)
0.4955752,168.0,(44|30)
0.4811321,102.0,(48|28)
0.4433962,47.0,(44|28)
0.4235294,72.0,(44|29)
0.3811659,85.0,(44|27)
0.3414634,42.0,(44|26)
0.3355263,51.0,(46|27)
0.3333333,102.0,(37|18)
0.3279570,61.0,(48|27)
0.3176471,54.0,(47|27)
0.3140496,38.0,(45|27)
0.2604167,25.0,(46|28)
0.2514620,86.0,(47|7)
0.2393162,28.0,(45|32)
0.2325581,30.0,(48|26)
0.2321429,39.0,(43|28)
0.2195122,9.0,(49|28)
0.2130177,36.0,(43|29)
0.2101449,29.0,(3|20)
0.2062500,33.0,(43|27)
0.2032967,37.0,(37|19)
0.1965812,23.0,(47|26)
0.1940299,39.0,(45|26)
0.1896552,44.0,(46|26)
0.1848740,22.0,(44|32)
0.1770335,37.0,(48|19)
0.1474359,23.0,(43|26)
0.1444445,26.0,(43|30)
0.1408451,20.0,(43|31)
0.1333333,2.0,(22|41)
0.1206897,14.0,(49|27)
0.1084746,32.0,(42|20)
0.1049383,17.0,(42|28)
0.1029412,7.0,(4|20)
0.1024845,33.0,(48|18)
0.1019284,37.0,(42|29)
0.09821428,11.0,(3|21)
0.09729730,18.0,(2|22)
0.09090909,1.0,(5|25)
0.08843537,13.0,(38|18)
0.08571429,6.0,(4|6)
0.08520179,19.0,(46|19)
0.08510638,20.0,(45|19)
0.07586207,22.0,(0|20)
0.07575758,10.0,(2|12)
0.07547170,8.0,(47|8)
0.07471264,13.0,(38|19)
0.07368421,21.0,(44|21)
0.07352941,5.0,(22|33)
0.07317073,9.0,(2|20)
0.07317073,6.0,(31|41)
0.07216495,7.0,(44|25)
0.07142857,1.0,(6|23)
0.06976745,9.0,(0|21)
0.06896552,24.0,(44|18)
0.06666667,14.0,(49|15)
0.06474820,18.0,(44|20)
0.06250000,2.0,(16|31)
0.06185567,18.0,(47|17)
0.06172840,10.0,(41|14)
0.06166220,23.0,(49|16)
0.05622490,14.0,(45|18)
0.05590062,9.0,(1|20)
0.05494506,5.0,(42|27)
0.05376344,5.0,(45|25)
0.05357143,21.0,(44|17)
0.05319149,10.0,(2|14)
0.05303030,14.0,(49|20)
0.05263158,1.0,(48|7)
0.05128205,6.0,(41|31)
0.05050505,5.0,(19|21)
0.05035971,7.0,(46|25)
0.05012531,20.0,(42|18)
0.04975124,10.0,(2|17)
0.04861111,14.0,(47|19)
0.04854369,5.0,(26|29)
0.04832714,13.0,(42|19)
0.04790419,8.0,(47|10)
