Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 441 | Trademarks-Prosecution (jp:441,idx:192)
Class Probability,Ex Count at BMU,BMU Map Loc
0.8892046,313.0,(32|5)
0.4978166,228.0,(32|6)
0.3978495,74.0,(31|5)
0.3719512,61.0,(33|6)
0.3708609,56.0,(31|6)
0.2826087,65.0,(31|7)
0.2783505,54.0,(30|7)
0.2716049,22.0,(31|4)
0.2588235,44.0,(32|4)
0.2335766,32.0,(32|7)
0.1188119,12.0,(33|7)
0.1146789,25.0,(30|8)
0.1120944,38.0,(31|8)
0.1009174,22.0,(30|6)
0.09810127,31.0,(31|9)
0.08126411,36.0,(33|9)
0.07142857,12.0,(33|14)
0.06953643,21.0,(31|11)
0.06896552,20.0,(32|10)
0.06666667,5.0,(19|13)
0.06636155,29.0,(30|12)
0.06574395,19.0,(32|11)
0.06542056,7.0,(32|14)
0.06191950,20.0,(32|12)
0.06153846,4.0,(19|14)
0.05732484,18.0,(29|13)
0.05590062,9.0,(32|9)
0.04964539,7.0,(29|6)
0.04938272,4.0,(31|10)
0.04790419,8.0,(21|15)
0.04731861,15.0,(28|14)
0.04581673,23.0,(31|12)
0.04273504,5.0,(29|10)
0.04067796,12.0,(32|16)
0.03954802,7.0,(28|6)
0.03541667,17.0,(32|13)
0.03246753,5.0,(23|13)
0.03225806,3.0,(14|37)
0.03157895,6.0,(22|8)
0.03137255,8.0,(31|15)
0.03125000,1.0,(30|9)
0.03125000,1.0,(34|9)
0.03061225,12.0,(31|13)
0.03030303,2.0,(31|16)
0.02957486,16.0,(29|21)
0.02941176,1.0,(29|3)
0.02912621,12.0,(30|13)
0.02906977,5.0,(28|5)
0.02884615,3.0,(24|14)
0.02857143,2.0,(26|22)
0.02824859,5.0,(22|43)
0.02797203,4.0,(27|5)
0.02631579,1.0,(22|9)
0.02608696,3.0,(23|15)
0.02608696,3.0,(26|9)
0.02586207,3.0,(27|8)
0.02531646,4.0,(23|14)
0.02484472,4.0,(8|2)
0.02439024,3.0,(28|9)
0.02352941,2.0,(7|2)
0.02314815,5.0,(20|14)
0.02197802,2.0,(33|15)
0.02127660,2.0,(22|18)
0.02127660,4.0,(34|26)
0.02040816,5.0,(22|14)
0.02032520,5.0,(28|3)
0.02027027,3.0,(9|3)
0.01941748,2.0,(25|11)
0.01847575,8.0,(40|45)
0.01834862,2.0,(11|36)
0.01785714,4.0,(27|12)
0.01740295,13.0,(8|3)
0.01680672,4.0,(28|11)
0.01639344,2.0,(29|7)
0.01639344,1.0,(29|9)
0.01565995,7.0,(30|5)
0.01550388,2.0,(27|6)
0.01544402,4.0,(32|15)
0.01538462,1.0,(16|43)
0.01538462,5.0,(30|14)
0.01515152,1.0,(21|8)
0.01481481,2.0,(21|11)
0.01431127,8.0,(29|20)
0.01421801,3.0,(24|15)
0.01418440,6.0,(29|14)
0.01408451,2.0,(29|8)
0.01360544,2.0,(3|5)
0.01351351,2.0,(33|11)
0.01298701,2.0,(11|40)
0.01286174,4.0,(27|9)
0.01273885,2.0,(27|4)
0.01265823,1.0,(9|23)
0.01250000,2.0,(31|3)
0.01204819,1.0,(26|8)
0.01204819,1.0,(29|19)
0.01169591,2.0,(27|7)
0.01156069,2.0,(27|19)
0.01136364,1.0,(15|21)
0.01108033,4.0,(29|15)
0.01086957,2.0,(33|13)
0.01069519,2.0,(36|4)
0.01067616,3.0,(23|8)
0.01030928,4.0,(6|1)
0.01030928,2.0,(39|48)
0.01020408,1.0,(30|21)
0.01020408,2.0,(30|22)
0.01010101,2.0,(20|16)
0.01005025,2.0,(4|5)
0.009900990,2.0,(26|20)
0.009900990,2.0,(43|6)
0.009708738,2.0,(8|35)
0.009708738,1.0,(20|17)
0.009523810,1.0,(25|14)
0.009433962,1.0,(35|38)
0.009216590,2.0,(4|40)
0.009174312,3.0,(25|20)
0.009074410,5.0,(27|17)
0.009009009,1.0,(6|44)
0.008968610,2.0,(35|17)
0.008928572,1.0,(20|47)
0.008849557,1.0,(13|42)
0.008849557,2.0,(15|44)
0.008733625,2.0,(22|17)
0.008695652,1.0,(21|12)
0.008695652,1.0,(34|13)
0.008620690,1.0,(3|42)
0.008620690,2.0,(6|48)
