Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 443 | Trademarks-International (jp:443,idx:194)
Class Probability,Ex Count at BMU,BMU Map Loc
0.2860360,127.0,(34|8)
0.1578947,6.0,(22|9)
0.1250000,2.0,(30|20)
0.1250000,1.0,(32|2)
0.09090909,2.0,(24|7)
0.08641975,7.0,(31|4)
0.08544303,27.0,(31|9)
0.08280255,13.0,(27|4)
0.07267144,71.0,(28|46)
0.06989247,13.0,(31|5)
0.06956521,16.0,(31|7)
0.06666667,2.0,(46|32)
0.06557377,8.0,(29|7)
0.06250000,2.0,(30|9)
0.06060606,2.0,(33|3)
0.06040268,27.0,(30|5)
0.05405406,2.0,(20|12)
0.04878049,8.0,(33|8)
0.04719764,16.0,(31|8)
0.04347826,1.0,(20|46)
0.04247104,11.0,(32|15)
0.03750000,6.0,(31|3)
0.03703704,3.0,(31|10)
0.03669725,8.0,(30|6)
0.03611738,16.0,(33|9)
0.03592815,6.0,(25|15)
0.03478261,4.0,(34|13)
0.03460208,10.0,(32|11)
0.03105590,5.0,(32|9)
0.03076923,2.0,(19|14)
0.02816901,4.0,(23|12)
0.02752294,6.0,(30|8)
0.02649007,8.0,(31|11)
0.02577320,5.0,(30|7)
0.02517162,11.0,(30|12)
0.02439024,3.0,(28|9)
0.02439024,1.0,(45|1)
0.02413793,7.0,(32|10)
0.02352941,4.0,(32|4)
0.02191235,11.0,(31|12)
0.02173913,1.0,(25|5)
0.02127660,3.0,(29|6)
0.02040816,2.0,(30|21)
0.02000000,1.0,(45|42)
0.01960784,1.0,(28|8)
0.01941748,2.0,(16|49)
0.01923077,2.0,(24|14)
0.01857585,6.0,(32|12)
0.01808785,7.0,(31|14)
0.01666667,2.0,(28|47)
0.01595745,3.0,(34|26)
0.01477833,3.0,(6|0)
0.01355932,4.0,(32|16)
0.01351351,1.0,(34|12)
0.01342282,2.0,(11|16)
0.01339286,3.0,(30|10)
0.01275510,5.0,(31|13)
0.01273885,2.0,(21|13)
0.01265823,1.0,(9|26)
0.01265823,2.0,(23|14)
0.01250000,5.0,(32|3)
0.01239669,3.0,(34|14)
0.01226994,2.0,(5|37)
0.01221641,7.0,(34|7)
0.01219512,2.0,(14|16)
0.01219512,3.0,(28|3)
0.01219512,4.0,(30|15)
0.01213592,5.0,(30|13)
0.01190476,2.0,(33|14)
0.01181102,3.0,(33|12)
0.01176471,1.0,(7|2)
0.01169591,2.0,(27|7)
0.01129944,2.0,(28|6)
0.01098901,1.0,(33|15)
0.01086957,2.0,(33|13)
0.01041667,5.0,(32|13)
0.01030928,2.0,(28|20)
0.009900990,1.0,(33|7)
0.009661836,2.0,(14|45)
0.009569378,2.0,(26|7)
0.009554140,3.0,(29|13)
0.009523810,1.0,(25|14)
0.009345794,1.0,(32|14)
0.008928572,1.0,(20|47)
0.008733625,2.0,(22|17)
0.008695652,1.0,(26|9)
0.008620690,1.0,(27|8)
0.008264462,1.0,(26|6)
0.008163265,2.0,(15|0)
0.007874016,1.0,(29|5)
0.007874016,1.0,(29|11)
0.007142857,1.0,(28|13)
0.007092198,1.0,(18|14)
0.007092198,2.0,(24|16)
0.007042253,1.0,(29|8)
0.006993007,1.0,(7|25)
0.006896552,2.0,(12|4)
0.006756757,1.0,(9|3)
0.006693440,5.0,(8|3)
0.006535948,1.0,(27|10)
0.006389776,2.0,(22|15)
0.006289308,2.0,(18|1)
0.006211180,1.0,(48|30)
0.006211180,1.0,(49|30)
0.006153846,2.0,(30|14)
0.006134969,1.0,(42|36)
0.006134969,1.0,(43|35)
0.006024096,1.0,(19|44)
0.005988024,1.0,(14|46)
0.005813953,1.0,(24|13)
0.005813953,1.0,(28|5)
0.005780347,1.0,(27|19)
0.005263158,1.0,(22|8)
0.005263158,1.0,(27|11)
0.005102041,1.0,(12|3)
0.005025126,1.0,(4|5)
0.004950495,1.0,(20|13)
0.004739337,1.0,(24|15)
0.004366812,2.0,(28|19)
0.004310345,1.0,(28|22)
0.004201681,1.0,(28|11)
0.004081632,1.0,(22|14)
0.003669725,2.0,(28|23)
0.003577817,2.0,(29|20)
0.003460208,1.0,(11|42)
0.003367003,1.0,(27|14)
0.003367003,1.0,(45|14)
0.003322259,1.0,(6|13)
0.003311258,1.0,(8|7)
0.003241491,2.0,(32|8)
0.003154574,1.0,(28|14)
0.003003003,1.0,(30|16)
0.002994012,1.0,(27|16)
0.002840909,1.0,(32|5)
0.002832861,1.0,(24|27)
0.002770083,1.0,(29|15)
0.002364066,1.0,(29|14)
0.002352941,1.0,(35|9)
0.002309469,1.0,(40|45)
0.002032520,1.0,(5|2)
0.001848429,1.0,(29|21)
0.001792115,1.0,(30|19)
0.001587302,1.0,(16|26)
0.001254705,1.0,(34|10)
