Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 444 | Municipal Regulation (jp:444,idx:195)
Class Probability,Ex Count at BMU,BMU Map Loc
0.9534314,389.0,(33|43)
0.9056604,48.0,(33|44)
0.5161290,32.0,(32|43)
0.5060241,462.0,(34|44)
0.4615385,6.0,(33|45)
0.4128440,45.0,(34|45)
0.3428572,24.0,(34|43)
0.3157895,6.0,(32|44)
0.1666667,1.0,(2|7)
0.1538462,2.0,(49|45)
0.1250000,1.0,(23|7)
0.05882353,1.0,(6|29)
0.05263158,1.0,(32|35)
0.05263158,2.0,(42|43)
0.04761905,2.0,(28|49)
0.04761905,2.0,(29|0)
0.04545455,1.0,(32|41)
0.04347826,1.0,(18|33)
0.04166667,1.0,(27|1)
0.03773585,4.0,(35|38)
0.03278688,2.0,(43|43)
0.02941176,3.0,(33|36)
0.02777778,1.0,(39|44)
0.02469136,2.0,(43|7)
0.02459016,6.0,(20|9)
0.02439024,1.0,(35|42)
0.02439024,1.0,(36|46)
0.02439024,1.0,(45|1)
0.02352941,2.0,(30|45)
0.02259887,4.0,(28|24)
0.02238806,3.0,(39|49)
0.02072539,8.0,(38|37)
0.01960784,2.0,(40|48)
0.01834862,2.0,(11|36)
0.01785714,1.0,(3|49)
0.01749271,6.0,(32|21)
0.01724138,4.0,(32|29)
0.01709402,2.0,(10|34)
0.01630435,3.0,(1|6)
0.01587302,2.0,(9|24)
0.01530612,3.0,(30|22)
0.01470588,2.0,(39|36)
0.01459854,2.0,(37|40)
0.01449275,2.0,(34|3)
0.01385681,6.0,(40|45)
0.01369863,1.0,(7|7)
0.01315789,1.0,(29|2)
0.01290323,2.0,(13|40)
0.01234568,1.0,(39|1)
0.01234568,1.0,(39|6)
0.01219512,1.0,(10|40)
0.01204819,1.0,(44|42)
0.01190476,1.0,(12|37)
0.01176471,1.0,(45|43)
0.01162791,1.0,(45|0)
0.01098901,1.0,(33|33)
0.01063830,1.0,(9|25)
0.01063830,1.0,(47|4)
0.01041667,1.0,(33|34)
0.01041667,1.0,(39|0)
0.01041667,1.0,(42|4)
0.01030928,1.0,(6|5)
0.01016949,3.0,(32|16)
0.009900990,2.0,(43|6)
0.009756098,2.0,(9|7)
0.009615385,1.0,(33|22)
0.009592326,4.0,(44|43)
0.009345794,2.0,(11|35)
0.009259259,1.0,(19|39)
0.009259259,1.0,(35|45)
0.009174312,1.0,(13|41)
0.009174312,1.0,(16|38)
0.008797654,3.0,(36|45)
0.008474576,2.0,(37|21)
0.008474576,1.0,(42|5)
0.008403362,1.0,(39|38)
0.008264462,1.0,(0|44)
0.008196721,2.0,(40|46)
0.008130081,1.0,(28|12)
0.008021390,3.0,(39|9)
0.007633588,1.0,(36|42)
0.007518797,1.0,(38|10)
0.007299270,1.0,(44|44)
0.006993007,1.0,(43|40)
0.006849315,1.0,(7|36)
0.006849315,1.0,(10|47)
0.006666667,1.0,(12|40)
0.006600660,2.0,(7|4)
0.006369427,1.0,(11|34)
0.006369427,1.0,(43|4)
0.006289308,1.0,(40|39)
0.006211180,1.0,(10|3)
0.006024096,2.0,(34|25)
0.005882353,1.0,(38|42)
0.005847953,1.0,(9|46)
0.005714286,1.0,(41|43)
0.005649718,2.0,(11|1)
0.005464481,1.0,(47|45)
0.005434783,1.0,(36|40)
0.005405406,1.0,(31|1)
0.005319149,1.0,(27|26)
0.005291005,1.0,(46|4)
0.005208333,1.0,(31|32)
0.005154639,1.0,(13|10)
0.005128205,1.0,(10|41)
0.005102041,1.0,(37|27)
0.005076142,2.0,(30|2)
0.004926108,1.0,(11|29)
0.004901961,1.0,(13|35)
0.004854369,1.0,(11|12)
0.004807692,1.0,(31|21)
0.004807692,1.0,(31|22)
0.004784689,2.0,(38|38)
0.004716981,1.0,(7|26)
0.004694836,1.0,(36|39)
0.004672897,1.0,(13|7)
0.004672897,1.0,(46|44)
0.004651163,1.0,(35|19)
0.004651163,1.0,(39|42)
0.004608295,1.0,(32|22)
0.004587156,1.0,(43|49)
0.004587156,1.0,(44|2)
0.004566210,1.0,(24|28)
0.004474273,2.0,(30|5)
0.004329004,2.0,(25|48)
0.004273504,1.0,(36|28)
0.004184100,1.0,(5|34)
0.003968254,1.0,(15|34)
0.003906250,1.0,(33|38)
0.003745318,1.0,(35|4)
0.003703704,1.0,(27|2)
0.003597122,1.0,(17|10)
0.003401360,1.0,(13|6)
0.003333333,1.0,(3|35)
0.003194888,1.0,(26|1)
0.003164557,1.0,(31|9)
0.002915452,1.0,(11|6)
0.002739726,1.0,(9|4)
0.002123142,1.0,(40|6)
0.002100840,1.0,(44|40)
0.002024292,1.0,(33|20)
0.001876173,1.0,(6|36)
0.001788909,1.0,(37|41)
0.001683502,1.0,(33|1)
0.001587302,1.0,(16|26)
0.001342282,1.0,(28|2)
