Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 462 | Corporate Audit/Investigations (jp:462,idx:197)
Class Probability,Ex Count at BMU,BMU Map Loc
0.4398148,95.0,(13|2)
0.09523810,6.0,(13|3)
0.04477612,3.0,(15|49)
0.03846154,1.0,(2|3)
0.02352941,2.0,(8|15)
0.01941748,2.0,(16|49)
0.01923077,2.0,(6|45)
0.01843318,4.0,(10|1)
0.01769911,4.0,(15|44)
0.01587302,1.0,(17|46)
0.01507538,3.0,(4|5)
0.01476015,4.0,(9|0)
0.01428571,1.0,(14|49)
0.01408451,1.0,(19|45)
0.01315789,2.0,(12|12)
0.01224490,3.0,(15|0)
0.01204819,1.0,(16|0)
0.01169591,2.0,(9|46)
0.01129944,2.0,(14|48)
0.01063830,4.0,(10|0)
0.009523810,1.0,(13|19)
0.009433962,1.0,(4|2)
0.008695652,1.0,(9|48)
0.008196721,1.0,(15|1)
0.007692308,2.0,(4|1)
0.007518797,1.0,(9|1)
0.007462686,1.0,(24|8)
0.006849315,1.0,(10|47)
0.006756757,1.0,(9|3)
0.006410256,1.0,(24|21)
0.006211180,1.0,(10|3)
0.006097561,1.0,(14|16)
0.006024096,1.0,(19|44)
0.005952381,1.0,(14|6)
0.005617978,1.0,(32|0)
0.005405406,1.0,(7|18)
0.005405406,1.0,(9|49)
0.005208333,1.0,(31|32)
0.004950495,2.0,(41|49)
0.004854369,1.0,(11|12)
0.004629630,1.0,(17|2)
0.004587156,1.0,(44|2)
0.004201681,2.0,(9|14)
0.004065040,2.0,(5|2)
0.004008016,2.0,(5|1)
0.004000000,1.0,(41|36)
0.003952569,1.0,(33|49)
0.003649635,1.0,(7|15)
0.003311258,1.0,(6|3)
0.003311258,1.0,(33|27)
0.003236246,1.0,(38|40)
0.003225806,1.0,(24|22)
0.002617801,1.0,(7|41)
0.002369668,1.0,(36|1)
0.002309469,1.0,(40|45)
0.002083333,1.0,(14|2)
0.002083333,1.0,(32|13)
0.001788909,1.0,(29|20)
0.001689189,1.0,(26|46)
