Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 465 | Corporate Legal Dept Policy (jp:465,idx:200)
Class Probability,Ex Count at BMU,BMU Map Loc
0.2051282,8.0,(13|1)
0.1572700,53.0,(12|1)
0.04687500,6.0,(14|0)
0.01941748,2.0,(16|3)
0.01886792,2.0,(4|2)
0.01626016,8.0,(5|2)
0.01595745,6.0,(10|0)
0.01476015,4.0,(9|0)
0.01382488,3.0,(10|1)
0.01379310,2.0,(10|2)
0.01351351,2.0,(9|3)
0.01229508,3.0,(5|3)
0.01153846,3.0,(4|1)
0.01020408,1.0,(30|21)
0.009900990,1.0,(33|7)
0.008695652,1.0,(9|48)
0.008196721,1.0,(15|1)
0.007575758,1.0,(16|13)
0.007518797,1.0,(9|1)
0.006896552,1.0,(10|48)
0.006849315,1.0,(7|36)
0.006849315,1.0,(10|47)
0.006666667,1.0,(3|2)
0.006211180,1.0,(10|3)
0.005714286,1.0,(41|43)
0.005649718,1.0,(14|48)
0.005434783,1.0,(33|13)
0.005405406,1.0,(9|49)
0.005405406,1.0,(12|44)
0.005181347,1.0,(14|1)
0.005102041,1.0,(12|3)
0.004926108,1.0,(6|0)
0.004854369,1.0,(11|12)
0.004310345,1.0,(6|48)
0.004310345,1.0,(28|22)
0.004000000,1.0,(2|6)
0.003787879,1.0,(11|11)
0.003663004,1.0,(7|30)
0.003424658,1.0,(10|16)
0.002949852,1.0,(31|8)
0.002577320,1.0,(6|1)
0.002469136,1.0,(7|3)
0.002242153,1.0,(41|48)
0.001956947,1.0,(8|48)
0.001338688,1.0,(8|3)
