Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 466 | Corporate Risk Mgt (jp:466,idx:201)
Class Probability,Ex Count at BMU,BMU Map Loc
0.1214689,43.0,(11|1)
0.02583026,7.0,(9|0)
0.02304148,5.0,(10|1)
0.02000000,1.0,(4|48)
0.01694915,3.0,(14|48)
0.01428571,1.0,(34|43)
0.01408451,1.0,(19|45)
0.01265823,1.0,(37|2)
0.01257862,2.0,(5|33)
0.01204819,1.0,(29|19)
0.01190476,1.0,(13|48)
0.01111111,2.0,(46|48)
0.01098901,1.0,(29|1)
0.01086957,1.0,(45|49)
0.01081081,2.0,(9|49)
0.009433962,1.0,(4|2)
0.009259259,2.0,(13|2)
0.008620690,2.0,(6|48)
0.007731959,3.0,(6|1)
0.007633588,1.0,(17|44)
0.006211180,1.0,(10|3)
0.006024096,1.0,(19|44)
0.005354752,4.0,(8|3)
0.005319149,2.0,(10|0)
0.004854369,2.0,(30|13)
0.004807692,1.0,(7|0)
0.004098360,1.0,(6|2)
0.004081632,1.0,(12|2)
0.004081632,1.0,(27|22)
0.003921569,1.0,(7|13)
0.003787879,1.0,(11|11)
0.003663004,1.0,(22|3)
0.003649635,1.0,(33|37)
0.003460208,1.0,(12|7)
0.003355705,1.0,(22|45)
0.003311258,1.0,(8|7)
0.003030303,1.0,(8|47)
0.002932551,1.0,(48|40)
0.002770083,1.0,(29|15)
0.002564103,1.0,(33|39)
0.002469136,1.0,(7|3)
0.002336449,1.0,(9|30)
0.002183406,1.0,(28|19)
0.002083333,1.0,(14|2)
0.002032520,1.0,(5|2)
0.002004008,1.0,(5|1)
0.001980198,1.0,(33|25)
0.001956947,1.0,(8|48)
0.001848429,1.0,(29|21)
0.001745201,1.0,(34|7)
0.001326260,1.0,(24|0)
