Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 467 | Corporate LLC/Partnerships (jp:467,idx:202)
Class Probability,Ex Count at BMU,BMU Map Loc
0.4788733,102.0,(11|0)
0.1849315,27.0,(11|49)
0.1333333,12.0,(10|49)
0.06666667,2.0,(16|30)
0.06117021,23.0,(10|0)
0.05882353,1.0,(46|43)
0.04477612,3.0,(2|44)
0.04081633,2.0,(34|21)
0.03243243,6.0,(9|49)
0.03174603,2.0,(13|3)
0.03125000,2.0,(14|3)
0.03030303,1.0,(4|28)
0.02985075,2.0,(31|2)
0.02970297,6.0,(3|44)
0.02941176,1.0,(31|20)
0.02879581,11.0,(7|41)
0.02868852,7.0,(6|2)
0.02758621,4.0,(10|48)
0.02597403,2.0,(12|47)
0.02564103,7.0,(7|30)
0.02564103,5.0,(27|24)
0.02439024,2.0,(10|40)
0.02380952,2.0,(13|48)
0.02358491,5.0,(23|21)
0.02314815,5.0,(4|36)
0.02259887,4.0,(28|24)
0.02068966,3.0,(10|2)
0.02040816,1.0,(2|5)
0.02000000,1.0,(4|48)
0.02000000,1.0,(6|33)
0.01980198,6.0,(10|44)
0.01923077,1.0,(17|12)
0.01886792,2.0,(24|26)
0.01851852,2.0,(42|45)
0.01724138,1.0,(21|19)
0.01666667,1.0,(38|36)
0.01652892,2.0,(9|47)
0.01632653,4.0,(15|0)
0.01626016,4.0,(28|3)
0.01612903,1.0,(24|38)
0.01538462,3.0,(10|41)
0.01538462,1.0,(22|27)
0.01538462,2.0,(30|23)
0.01530612,3.0,(37|27)
0.01503759,2.0,(9|1)
0.01481481,2.0,(47|32)
0.01438849,2.0,(3|39)
0.01369863,2.0,(10|47)
0.01369863,2.0,(23|22)
0.01307190,2.0,(11|41)
0.01298701,1.0,(27|23)
0.01282051,1.0,(31|25)
0.01282051,5.0,(33|39)
0.01250000,1.0,(13|32)
0.01204819,2.0,(8|49)
0.01171875,3.0,(47|40)
0.01162791,1.0,(3|1)
0.01139601,4.0,(8|31)
0.01136364,1.0,(2|1)
0.01136364,2.0,(8|42)
0.01125704,6.0,(6|36)
0.01063830,1.0,(9|38)
0.01025641,2.0,(33|40)
0.01020408,1.0,(30|21)
0.009803922,3.0,(7|35)
0.009708738,2.0,(8|35)
0.009708738,1.0,(32|1)
0.009615385,1.0,(21|36)
0.009615385,1.0,(31|43)
0.009478673,6.0,(5|35)
0.009345794,1.0,(29|34)
0.009259259,1.0,(19|39)
0.009090909,1.0,(11|47)
0.009009009,1.0,(10|46)
0.008752735,4.0,(23|23)
0.008620690,1.0,(9|39)
0.008583691,2.0,(2|32)
0.008474576,1.0,(9|41)
0.008474576,1.0,(24|19)
0.008403362,1.0,(45|38)
0.008333334,1.0,(43|45)
0.008264462,1.0,(1|45)
0.008219178,3.0,(9|42)
0.008196721,1.0,(15|1)
0.008130081,4.0,(5|2)
0.008000000,1.0,(7|48)
0.007936508,1.0,(12|39)
0.007874016,2.0,(34|24)
0.007692308,1.0,(37|25)
0.007339450,4.0,(28|23)
0.007299270,1.0,(37|40)
0.007246377,1.0,(10|38)
0.007246377,1.0,(46|0)
0.007142857,1.0,(5|0)
0.007142857,1.0,(27|27)
0.007092198,2.0,(8|40)
0.007058823,3.0,(35|9)
0.007042253,1.0,(3|36)
0.006993007,2.0,(12|48)
0.006944444,1.0,(1|31)
0.006756757,1.0,(9|3)
0.006711409,1.0,(11|16)
0.006622517,1.0,(16|1)
0.006622517,2.0,(33|27)
0.006250000,1.0,(0|32)
0.006211180,1.0,(10|3)
0.006134969,1.0,(5|37)
0.006024096,1.0,(1|32)
0.006024096,2.0,(34|25)
0.005952381,1.0,(33|14)
0.005952381,1.0,(33|28)
0.005917160,1.0,(35|25)
0.005899705,2.0,(31|8)
0.005870841,3.0,(8|48)
0.005780347,1.0,(6|42)
0.005780347,1.0,(27|19)
0.005649718,1.0,(14|48)
0.005602241,2.0,(7|39)
0.005545286,3.0,(29|21)
0.005540166,2.0,(29|15)
0.005464481,1.0,(18|40)
0.005405406,1.0,(12|44)
0.005366726,3.0,(29|20)
0.005319149,2.0,(17|25)
0.005319149,1.0,(31|29)
0.005263158,1.0,(5|45)
0.005167959,2.0,(31|14)
0.005102041,1.0,(12|3)
0.005102041,1.0,(30|22)
0.005076142,1.0,(9|35)
0.004926108,1.0,(0|2)
0.004926108,1.0,(6|0)
0.004878049,1.0,(5|36)
0.004854369,1.0,(11|12)
0.004807692,2.0,(27|25)
0.004807692,1.0,(31|21)
0.004761905,1.0,(8|41)
0.004739337,1.0,(14|24)
0.004694836,1.0,(36|39)
0.004672897,1.0,(13|7)
0.004672897,1.0,(36|27)
0.004651163,1.0,(41|7)
0.004608295,1.0,(2|39)
0.004587156,1.0,(30|8)
0.004464286,1.0,(10|45)
0.004424779,1.0,(15|44)
0.004405286,1.0,(28|26)
0.004347826,1.0,(2|42)
0.004347826,1.0,(7|47)
0.004347826,1.0,(11|25)
0.004347826,1.0,(22|1)
0.004329004,1.0,(25|24)
0.004310345,1.0,(6|48)
0.004255319,1.0,(30|25)
0.004184100,1.0,(2|43)
0.004184100,1.0,(5|34)
0.004184100,1.0,(10|42)
0.004166667,2.0,(32|13)
0.004132231,1.0,(5|31)
0.003952569,1.0,(36|22)
0.003921569,1.0,(30|0)
