Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 4 | Class Action (jpg:4,idx:3)
Catgory Probability,Ex Count at BMU,BMU Map Loc
1.000000,5.0,(18|44)
0.9893239,2.0,(19|42)
0.9813084,4.0,(19|41)
0.9772727,4.0,(18|42)
0.9740260,6.0,(17|44)
0.9548872,2.0,(19|43)
0.9523810,5.0,(16|43)
0.9519520,1.0,(20|42)
0.9390244,5.0,(18|41)
0.9345238,4.0,(16|42)
0.9148936,5.0,(18|43)
0.9130435,6.0,(17|43)
0.9113150,4.0,(17|45)
0.8896321,6.0,(20|44)
0.8888889,3.0,(7|49)
0.8711656,6.0,(17|42)
0.8703495,4.0,(20|41)
0.8695652,2.0,(20|43)
0.8579235,4.0,(19|45)
0.8421053,3.0,(19|46)
0.8013245,5.0,(18|45)
0.7777778,2.0,(18|40)
0.7633588,6.0,(16|44)
0.6363636,3.0,(9|49)
0.6333333,4.0,(19|44)
0.5714286,2.0,(16|41)
0.5555556,2.0,(15|42)
0.5000000,1.0,(18|46)
0.5000000,2.0,(20|45)
0.4827586,6.0,(8|49)
0.4583333,3.0,(16|45)
0.4534884,6.0,(8|0)
0.3578947,6.0,(17|11)
0.3400000,4.0,(19|7)
0.3333333,3.0,(17|46)
0.3214286,4.0,(49|30)
0.3018868,2.0,(21|41)
0.2857143,3.0,(15|45)
0.2693878,7.0,(17|41)
0.2512315,6.0,(19|12)
0.2512315,6.0,(20|12)
0.2500000,1.0,(0|24)
0.2388889,5.0,(20|7)
0.2380952,3.0,(0|6)
0.2000000,7.0,(17|12)
0.1875000,2.0,(19|9)
0.1845238,3.0,(13|4)
0.1818182,3.0,(16|12)
0.1818182,3.0,(21|9)
0.1724138,3.0,(19|15)
0.1600000,3.0,(49|6)
0.1538462,6.0,(0|4)
0.1538462,4.0,(7|0)
0.1538462,2.0,(13|10)
0.1397849,2.0,(10|5)
0.1372549,4.0,(19|10)
0.1372549,4.0,(20|10)
0.1285714,2.0,(22|48)
0.1279070,4.0,(15|14)
0.1250000,2.0,(3|8)
0.1250000,2.0,(5|8)
0.1238938,4.0,(8|48)
0.1217949,5.0,(49|5)
0.1214953,3.0,(23|25)
0.1182519,4.0,(21|6)
0.1181818,5.0,(0|7)
0.1153846,3.0,(10|3)
0.1111111,2.0,(26|25)
0.1095890,3.0,(2|5)
0.1091703,3.0,(14|4)
0.1077844,4.0,(20|6)
0.1005155,4.0,(9|5)
0.1000000,2.0,(15|43)
0.09615385,4.0,(23|14)
0.09589041,3.0,(12|0)
0.09549549,6.0,(46|5)
0.09549549,6.0,(47|4)
0.09549549,6.0,(47|5)
0.09183674,3.0,(49|28)
0.09090909,1.0,(22|23)
0.09090909,1.0,(23|23)
0.09090909,1.0,(24|47)
0.07988165,2.0,(13|3)
0.07853403,4.0,(4|13)
0.07792208,2.0,(6|48)
0.07667731,3.0,(48|6)
0.07462686,3.0,(5|2)
0.07446808,4.0,(49|26)
0.07407407,1.0,(19|47)
0.07333333,4.0,(19|8)
0.07142857,2.0,(23|0)
0.07096774,4.0,(13|5)
0.07058824,3.0,(8|2)
0.06849315,1.0,(7|4)
0.06818182,3.0,(7|5)
0.06802721,2.0,(48|28)
0.06796116,3.0,(4|4)
0.06666667,1.0,(4|42)
0.06666667,4.0,(16|13)
0.06557377,3.0,(13|42)
0.06504065,4.0,(7|3)
0.06481481,3.0,(5|46)
0.06410257,3.0,(8|1)
0.06349207,3.0,(3|0)
0.06349207,3.0,(3|13)
0.06349207,3.0,(3|48)
0.06329114,2.0,(14|3)
0.06250000,1.0,(15|27)
0.06250000,1.0,(26|48)
0.06250000,1.0,(48|46)
0.06201550,4.0,(26|4)
0.05970149,7.0,(22|13)
0.05813954,2.0,(21|10)
0.05747126,4.0,(17|2)
0.05660377,2.0,(24|48)
0.05660377,2.0,(25|48)
0.05633803,2.0,(1|25)
0.05594406,2.0,(5|3)
0.05464481,5.0,(15|4)
0.05309734,2.0,(48|30)
0.05286344,3.0,(4|8)
0.05263158,1.0,(22|15)
0.05128205,1.0,(19|17)
0.05095541,4.0,(6|2)
0.04972376,3.0,(49|27)
0.04794521,3.0,(19|16)
0.04761905,3.0,(21|11)
0.04761905,1.0,(21|42)
0.04651163,3.0,(19|5)
0.04651163,2.0,(46|6)
0.04605263,3.0,(32|43)
0.04545455,2.0,(9|2)
0.04477612,2.0,(18|16)
0.04430380,4.0,(20|47)
0.04415584,3.0,(3|42)
0.04411765,2.0,(17|14)
0.04411765,3.0,(21|7)
0.04347826,1.0,(11|4)
0.04347826,1.0,(15|41)
0.04285714,3.0,(9|0)
0.04273504,5.0,(21|13)
0.04216867,4.0,(26|47)
0.04166667,1.0,(15|0)
0.04166667,1.0,(21|44)
0.04132231,2.0,(10|2)
0.04081633,1.0,(16|14)
0.03921569,2.0,(18|49)
0.03906250,3.0,(1|6)
0.03883495,2.0,(19|4)
0.03846154,1.0,(13|45)
0.03846154,1.0,(17|18)
0.03846154,2.0,(28|0)
0.03829787,4.0,(24|3)
0.03816794,2.0,(11|48)
0.03738318,1.0,(28|1)
0.03703704,3.0,(11|47)
0.03651685,4.0,(22|32)
0.03581267,4.0,(25|46)
0.03571429,3.0,(24|37)
0.03550296,3.0,(15|5)
0.03496503,4.0,(15|6)
0.03488372,1.0,(47|7)
0.03448276,2.0,(3|3)
0.03424658,3.0,(33|42)
0.03343465,2.0,(23|12)
0.03333334,2.0,(9|47)
0.03333334,1.0,(18|5)
0.03311258,3.0,(23|48)
0.03305785,3.0,(0|3)
0.03267974,3.0,(2|3)
0.03267974,3.0,(3|1)
0.03252032,2.0,(33|11)
0.03243243,2.0,(26|45)
0.03225806,2.0,(4|45)
0.03225806,2.0,(6|7)
0.03225806,2.0,(24|46)
0.03191489,1.0,(8|40)
0.03174603,2.0,(10|4)
0.03149606,2.0,(48|26)
0.03125000,2.0,(9|1)
0.03125000,1.0,(12|48)
0.03125000,2.0,(28|46)
0.03125000,2.0,(49|4)
0.03035714,5.0,(0|26)
0.03030303,1.0,(15|2)
0.03030303,2.0,(31|11)
0.02970297,1.0,(18|11)
0.02941176,1.0,(11|1)
0.02941176,2.0,(23|44)
0.02917772,5.0,(22|3)
0.02909091,3.0,(13|41)
0.02873563,4.0,(1|27)
0.02832244,5.0,(26|43)
0.02816901,2.0,(8|5)
0.02816901,2.0,(25|47)
0.02810304,5.0,(20|8)
0.02764977,2.0,(22|16)
0.02739726,5.0,(15|26)
0.02727273,3.0,(13|49)
0.02678571,2.0,(16|15)
0.02666667,3.0,(3|19)
0.02666667,2.0,(14|43)
0.02666667,2.0,(14|44)
0.02631579,4.0,(21|47)
0.02616279,4.0,(22|0)
0.02597403,2.0,(10|0)
0.02591093,3.0,(25|45)
0.02553191,2.0,(22|26)
0.02542373,2.0,(24|1)
0.02538071,4.0,(7|43)
0.02531646,2.0,(26|28)
0.02521008,3.0,(15|32)
0.02500000,2.0,(17|6)
0.02500000,3.0,(23|47)
0.02469136,2.0,(22|5)
0.02463054,3.0,(6|4)
0.02463054,3.0,(48|7)
0.02453988,2.0,(21|17)
0.02413793,3.0,(9|4)
0.02409638,2.0,(3|5)
0.02380952,1.0,(8|42)
0.02298851,2.0,(10|1)
