Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 6 | Employment Non-Litigation (jpg:6,idx:5)
Catgory Probability,Ex Count at BMU,BMU Map Loc
1.000000,2.0,(5|49)
0.9413989,3.0,(12|43)
0.9250937,2.0,(12|42)
0.9203252,3.0,(11|44)
0.9201995,5.0,(6|47)
0.9057816,3.0,(15|44)
0.9007300,1.0,(23|36)
0.9007300,1.0,(23|38)
0.8853334,4.0,(14|44)
0.8659899,1.0,(23|37)
0.8585858,3.0,(5|45)
0.8563536,2.0,(11|45)
0.8553299,4.0,(7|43)
0.8521739,6.0,(10|46)
0.8500000,3.0,(25|38)
0.8421053,4.0,(13|43)
0.8067227,6.0,(6|45)
0.8031915,5.0,(10|45)
0.7968750,4.0,(7|44)
0.7943262,4.0,(12|45)
0.7875000,4.0,(9|45)
0.7863014,3.0,(9|42)
0.7857143,2.0,(32|37)
0.7707006,2.0,(24|38)
0.7662337,5.0,(6|48)
0.7647059,7.0,(10|47)
0.7600000,5.0,(14|43)
0.7595308,7.0,(14|42)
0.7575758,2.0,(10|44)
0.7529412,6.0,(8|45)
0.7515152,5.0,(13|44)
0.7481481,5.0,(14|45)
0.7455621,3.0,(8|43)
0.7435898,6.0,(8|44)
0.7391304,3.0,(7|42)
0.7380952,6.0,(6|46)
0.7375000,5.0,(7|46)
0.7358491,3.0,(11|43)
0.7166666,6.0,(9|47)
0.7111111,6.0,(7|47)
0.7014925,4.0,(10|43)
0.7011494,4.0,(9|44)
0.6885246,4.0,(13|42)
0.6880000,3.0,(12|44)
0.6868687,7.0,(9|46)
0.6756757,7.0,(6|1)
0.6756757,3.0,(11|42)
0.6666667,3.0,(5|44)
0.6666667,4.0,(9|43)
0.6666667,4.0,(11|46)
0.6666667,2.0,(15|43)
0.6581818,5.0,(13|41)
0.6551724,7.0,(8|47)
0.6352357,5.0,(9|3)
0.6272727,4.0,(7|48)
0.6091954,7.0,(8|46)
0.5961539,6.0,(6|0)
0.5413793,3.0,(25|36)
0.5384616,4.0,(7|0)
0.5263158,2.0,(12|41)
0.5238096,3.0,(15|45)
0.5188679,3.0,(8|3)
0.5089286,2.0,(24|37)
0.5084746,6.0,(7|45)
0.5074627,6.0,(5|0)
0.5000000,2.0,(10|3)
0.5000000,1.0,(13|2)
0.4936709,4.0,(10|42)
0.4931507,7.0,(2|4)
0.4852071,2.0,(9|41)
0.4842105,6.0,(9|48)
0.4528736,6.0,(25|37)
0.4444444,2.0,(14|48)
0.4441624,2.0,(11|2)
0.4326923,5.0,(12|46)
0.4285714,5.0,(49|30)
0.4123711,2.0,(12|1)
0.4062500,3.0,(9|1)
0.4038461,3.0,(13|1)
0.4038461,2.0,(13|45)
0.4020618,5.0,(6|49)
0.4008811,3.0,(14|1)
0.4000000,4.0,(9|0)
0.3908046,5.0,(10|1)
0.3863636,2.0,(9|2)
0.3853503,6.0,(6|2)
0.3853211,3.0,(13|48)
0.3823529,2.0,(11|3)
0.3809524,2.0,(8|42)
0.3805310,6.0,(8|48)
0.3727273,5.0,(13|49)
0.3653846,4.0,(6|44)
0.3636364,1.0,(22|37)
0.3617021,4.0,(4|49)
0.3469388,4.0,(10|48)
0.3428572,4.0,(11|49)
0.3333333,2.0,(7|2)
0.3333333,1.0,(14|46)
0.3283582,5.0,(5|2)
0.3163265,3.0,(1|4)
0.3117647,4.0,(8|2)
0.3103448,4.0,(8|49)
0.3076923,2.0,(4|0)
0.2800000,2.0,(5|47)
0.2773109,5.0,(3|4)
0.2773109,5.0,(5|1)
0.2686567,2.0,(14|2)
0.2685185,5.0,(5|46)
0.2666667,2.0,(14|41)
0.2626263,7.0,(4|2)
0.2551020,6.0,(49|28)
0.2468750,3.0,(13|46)
0.2456140,4.0,(13|0)
0.2388060,3.0,(12|49)
0.2285714,5.0,(10|49)
0.2272727,2.0,(9|49)
