Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 7 | Environmental (jpg:7,idx:6)
Catgory Probability,Ex Count at BMU,BMU Map Loc
1.000000,1.0,(28|21)
0.9629630,3.0,(24|19)
0.9545454,2.0,(21|19)
0.9541284,2.0,(22|19)
0.9477612,4.0,(25|20)
0.9459459,4.0,(23|21)
0.9423559,3.0,(23|18)
0.9360341,2.0,(25|18)
0.9354839,3.0,(27|21)
0.9341772,2.0,(20|17)
0.9337016,2.0,(26|19)
0.9210526,4.0,(25|21)
0.9141631,2.0,(26|18)
0.9111748,4.0,(24|22)
0.9090909,2.0,(22|22)
0.9007264,3.0,(25|22)
0.8996764,4.0,(22|18)
0.8888889,1.0,(20|21)
0.8882576,1.0,(19|18)
0.8846154,3.0,(24|20)
0.8844221,4.0,(23|22)
0.8750000,3.0,(25|19)
0.8734177,4.0,(24|21)
0.8660714,2.0,(21|18)
0.8653846,2.0,(24|18)
0.8571429,2.0,(22|21)
0.8548387,1.0,(20|18)
0.8275862,4.0,(26|20)
0.8097448,1.0,(20|19)
0.7815443,1.0,(20|20)
0.7695652,4.0,(23|20)
0.7662337,3.0,(23|19)
0.7361963,4.0,(21|17)
0.7170264,4.0,(21|16)
0.6929134,4.0,(48|26)
0.6808510,4.0,(22|14)
0.6692308,1.0,(19|19)
0.6642336,3.0,(27|20)
0.6543779,2.0,(22|16)
0.5962264,2.0,(21|20)
0.5681818,2.0,(22|17)
0.4938272,2.0,(25|23)
0.4352941,1.0,(21|15)
0.3344595,4.0,(19|22)
0.3333333,1.0,(20|22)
0.3149606,3.0,(19|21)
0.2916667,4.0,(22|20)
0.2882206,4.0,(21|22)
0.2857143,1.0,(24|0)
0.2812500,1.0,(19|20)
0.2812500,2.0,(24|23)
0.2727273,3.0,(26|24)
0.2575758,3.0,(21|21)
0.2567568,4.0,(49|25)
0.2551020,4.0,(21|23)
0.2413793,2.0,(17|10)
0.2272727,3.0,(2|15)
0.2272727,3.0,(3|14)
0.2222222,2.0,(15|42)
0.2127660,3.0,(21|24)
0.1956522,4.0,(20|23)
0.1562500,3.0,(18|9)
0.1544118,4.0,(21|7)
0.1428571,2.0,(0|15)
0.1428571,2.0,(0|16)
0.1385542,4.0,(26|47)
0.1296296,2.0,(3|7)
0.1136364,4.0,(22|23)
0.1136364,4.0,(23|23)
0.1063830,3.0,(6|5)
0.1052632,2.0,(9|17)
0.1020408,2.0,(17|9)
0.09523810,3.0,(0|6)
0.09433962,2.0,(24|48)
0.09433962,2.0,(25|48)
0.09195402,3.0,(29|23)
0.09090909,1.0,(0|33)
0.08665106,4.0,(20|8)
0.08653846,3.0,(23|14)
0.08421053,2.0,(1|17)
0.08421053,2.0,(2|16)
0.08333334,1.0,(20|16)
0.08090615,4.0,(26|22)
0.08000000,4.0,(3|19)
0.07831325,2.0,(30|8)
0.07812500,2.0,(8|25)
0.07692308,3.0,(0|14)
0.07692308,1.0,(10|3)
0.07563026,3.0,(9|25)
0.07352941,2.0,(30|26)
0.07284768,4.0,(18|6)
0.07142857,1.0,(4|29)
0.07142857,1.0,(47|27)
0.07100592,3.0,(4|19)
0.06862745,3.0,(21|49)
0.06832298,3.0,(19|23)
0.06666667,1.0,(27|23)
0.06382979,4.0,(28|23)
0.06382979,4.0,(49|26)
0.06197183,3.0,(0|30)
0.06122449,1.0,(18|20)
0.06122449,2.0,(48|28)
0.06060606,3.0,(6|26)
0.06048387,3.0,(19|27)
0.06000000,2.0,(25|24)
0.05813954,3.0,(22|0)
0.05765766,4.0,(46|5)
0.05765766,4.0,(47|4)
0.05765766,4.0,(47|5)
0.05714286,1.0,(16|6)
0.05555556,2.0,(14|14)
0.05555556,1.0,(16|10)
0.05555556,1.0,(32|0)
0.05479452,2.0,(16|5)
0.05333333,4.0,(11|11)
0.05208333,3.0,(28|46)
0.05151515,1.0,(17|27)
0.05128205,2.0,(19|17)
0.05084746,1.0,(3|6)
0.05084746,1.0,(4|6)
0.05029586,3.0,(13|3)
0.05000000,4.0,(20|7)
0.04926108,4.0,(2|20)
0.04838710,1.0,(15|10)
0.04761905,1.0,(8|42)
0.04761905,2.0,(13|4)
0.04761905,1.0,(21|42)
0.04761905,2.0,(23|24)
0.04716981,2.0,(20|9)
0.04687500,2.0,(12|48)
0.04657534,4.0,(17|12)
0.04482759,4.0,(18|22)
0.04411765,2.0,(2|8)
0.04385965,2.0,(22|24)
0.04166667,1.0,(18|28)
0.04147466,3.0,(22|27)
0.04134763,2.0,(18|27)
0.04081633,2.0,(47|28)
0.04000000,1.0,(10|19)
0.03968254,2.0,(1|8)
0.03968254,2.0,(2|7)
0.03846154,1.0,(35|5)
0.03773585,1.0,(10|20)
0.03738318,1.0,(3|49)
0.03731343,2.0,(5|20)
0.03726708,1.0,(1|33)
0.03703704,2.0,(5|5)
0.03703704,2.0,(6|6)
0.03636364,2.0,(0|29)
0.03636364,1.0,(5|17)
0.03629032,4.0,(15|23)
0.03603604,3.0,(9|32)
0.03581267,2.0,(13|9)
0.03571429,2.0,(23|0)
0.03508772,1.0,(15|17)
0.03508772,3.0,(17|21)
0.03482587,2.0,(17|22)
0.03430079,2.0,(28|22)
0.03409091,3.0,(29|24)
0.03389831,2.0,(5|25)
0.03341902,4.0,(21|6)
0.03333334,1.0,(2|26)
0.03305785,2.0,(28|25)
0.03265306,3.0,(17|41)
0.03252032,2.0,(1|16)
0.03225806,1.0,(9|23)
0.03225806,2.0,(24|46)
0.03208556,1.0,(7|15)
0.03183024,3.0,(22|3)
0.03174603,2.0,(1|12)
0.03174603,2.0,(2|11)
0.03174603,2.0,(2|13)
0.03174603,2.0,(3|12)
0.03174603,2.0,(3|13)
0.03146853,3.0,(48|5)
0.03137255,2.0,(6|13)
