Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 14 | International Law (jpg:14,idx:13)
Catgory Probability,Ex Count at BMU,BMU Map Loc
1.000000,1.0,(30|43)
0.9812332,2.0,(31|45)
0.9490085,1.0,(31|44)
0.9399399,2.0,(30|46)
0.9353448,1.0,(30|44)
0.9230769,2.0,(27|47)
0.8705882,3.0,(30|1)
0.8613139,1.0,(30|45)
0.8591549,2.0,(30|2)
0.8333333,1.0,(28|45)
0.8054475,3.0,(31|49)
0.7945206,3.0,(29|0)
0.7933334,2.0,(29|46)
0.7931035,2.0,(31|46)
0.7777778,3.0,(31|1)
0.7771084,2.0,(29|45)
0.7717751,1.0,(29|47)
0.7446808,2.0,(31|2)
0.7380952,1.0,(29|44)
0.7368421,2.0,(32|1)
0.7227723,3.0,(30|49)
0.7157534,2.0,(28|47)
0.7045454,2.0,(31|48)
0.7000000,2.0,(28|48)
0.6832918,2.0,(32|3)
0.6666667,2.0,(23|2)
0.6372549,3.0,(30|0)
0.6000000,3.0,(31|0)
0.5655471,1.0,(31|47)
0.5555556,2.0,(30|48)
0.5208333,2.0,(28|46)
0.4770642,2.0,(31|3)
0.4520548,2.0,(29|48)
0.4105263,2.0,(28|49)
0.4050000,1.0,(30|47)
0.3684210,2.0,(29|1)
0.3592233,2.0,(32|2)
0.3333333,1.0,(32|46)
0.3243243,3.0,(32|49)
0.2988506,3.0,(29|49)
0.2777778,1.0,(32|0)
0.2625000,3.0,(0|28)
0.2500000,1.0,(18|38)
0.2500000,1.0,(27|48)
0.2142857,2.0,(23|0)
0.2105263,1.0,(32|4)
0.2105263,1.0,(33|3)
0.2086957,2.0,(27|49)
0.1923077,2.0,(28|0)
0.1569767,3.0,(22|0)
0.1538462,1.0,(23|32)
0.1521739,2.0,(25|11)
0.1428571,1.0,(24|0)
0.1406250,3.0,(1|6)
0.1385542,4.0,(26|47)
0.1379310,2.0,(12|13)
0.1304348,2.0,(0|8)
0.1304348,2.0,(48|8)
0.1300813,2.0,(7|3)
0.1250000,3.0,(22|1)
0.1235955,2.0,(26|49)
0.1028037,2.0,(28|1)
0.1000000,2.0,(11|13)
0.09523810,1.0,(14|38)
0.08791209,3.0,(13|11)
0.08333334,3.0,(22|20)
0.08000000,1.0,(26|1)
0.07960199,3.0,(24|2)
0.07526882,2.0,(48|34)
0.06666667,2.0,(13|36)
0.06060606,2.0,(16|12)
0.06060606,2.0,(21|9)
0.06060606,1.0,(26|46)
0.05882353,1.0,(12|36)
0.05769231,1.0,(7|23)
0.05714286,1.0,(29|2)
0.05357143,1.0,(4|47)
0.05357143,1.0,(4|48)
0.05263158,2.0,(11|34)
0.04878049,1.0,(12|16)
0.04838710,1.0,(1|15)
0.04825737,2.0,(14|40)
0.04761905,2.0,(0|27)
0.04761905,1.0,(21|42)
0.04651163,1.0,(27|46)
0.04545455,2.0,(0|7)
0.04545455,1.0,(10|13)
0.04509284,3.0,(22|3)
0.04255319,2.0,(4|49)
0.04187192,3.0,(19|12)
0.04187192,3.0,(20|12)
0.04142012,3.0,(9|41)
0.04109589,2.0,(16|5)
0.03921569,2.0,(10|35)
0.03773585,1.0,(11|14)
0.03773585,1.0,(17|39)
0.03726708,3.0,(25|0)
0.03703704,2.0,(12|38)
0.03636364,1.0,(0|29)
0.03550296,2.0,(8|43)
0.03508772,1.0,(15|17)
0.03448276,2.0,(24|11)
0.03333334,1.0,(2|26)
0.03225806,1.0,(4|45)
0.03200000,2.0,(8|14)
0.03125000,1.0,(19|20)
0.02985075,2.0,(25|3)
0.02777778,1.0,(14|14)
0.02770083,2.0,(1|11)
0.02631579,1.0,(2|1)
0.02597403,2.0,(16|37)
0.02564103,1.0,(17|34)
0.02551020,2.0,(4|7)
0.02534562,2.0,(22|27)
0.02528736,2.0,(17|38)
0.02515723,1.0,(7|39)
0.02487562,2.0,(17|22)
0.02439024,1.0,(13|34)
0.02439024,2.0,(15|7)
0.02439024,1.0,(19|14)
0.02427184,2.0,(1|10)
0.02427184,2.0,(2|10)
0.02380952,1.0,(0|6)
0.02380952,2.0,(6|46)
0.02380952,1.0,(15|15)
0.02358491,3.0,(16|38)
0.02332362,3.0,(14|36)
0.02325581,1.0,(47|7)
0.02255639,1.0,(10|11)
0.02247191,2.0,(30|7)
0.02234637,3.0,(0|48)
0.02197802,1.0,(13|38)
0.02173913,2.0,(8|32)
0.02173913,1.0,(12|3)
0.02150538,2.0,(22|36)
0.02127660,1.0,(32|10)
0.02127660,1.0,(49|26)
0.02125693,2.0,(15|40)
0.02083333,1.0,(46|43)
0.02061856,2.0,(4|39)
0.02056555,1.0,(21|6)
0.02040816,1.0,(15|21)
0.02008032,1.0,(14|7)
0.02000000,1.0,(1|30)
0.02000000,1.0,(41|39)
0.01960784,2.0,(40|42)
0.01941748,1.0,(4|4)
0.01923077,1.0,(6|44)
0.01917808,3.0,(17|12)
0.01886792,1.0,(34|45)
0.01834862,2.0,(6|32)
0.01829268,2.0,(22|9)
0.01818182,2.0,(2|37)
0.01809955,3.0,(14|31)
0.01801802,1.0,(35|2)
0.01762114,2.0,(15|34)
0.01694915,2.0,(7|45)
0.01680672,2.0,(3|4)
0.01680672,2.0,(5|1)
0.01680672,1.0,(15|32)
0.01666667,2.0,(14|30)
0.01626016,1.0,(45|40)
0.01612903,2.0,(13|32)
0.01587302,1.0,(3|13)
0.01570681,2.0,(4|13)
0.01562500,1.0,(9|1)
0.01544402,2.0,(5|4)
0.01538462,1.0,(1|18)
0.01526718,1.0,(15|20)
0.01476015,1.0,(11|32)
0.01470588,1.0,(2|8)
0.01470588,3.0,(18|39)
0.01466993,1.0,(11|35)
0.01449275,1.0,(7|41)
0.01441441,3.0,(46|5)
0.01441441,3.0,(47|4)
0.01441441,3.0,(47|5)
0.01428571,1.0,(12|14)
0.01408451,2.0,(0|30)
0.01408451,1.0,(20|3)
0.01405152,1.0,(20|8)
0.01398601,2.0,(48|5)
0.01395349,2.0,(25|2)
0.01388889,1.0,(9|11)
0.01369863,1.0,(16|39)
0.01360544,1.0,(48|28)
0.01358234,1.0,(17|40)
0.01351351,2.0,(19|22)
0.01333333,1.0,(14|44)
0.01333333,1.0,(21|5)
0.01333333,1.0,(22|6)
0.01324503,2.0,(23|48)
0.01315789,2.0,(14|19)
0.01315789,1.0,(16|24)
0.01315789,1.0,(21|4)
0.01307190,1.0,(10|37)
0.01298701,1.0,(14|12)
0.01298701,2.0,(16|28)
0.01244813,2.0,(15|22)
0.01234568,1.0,(4|37)
0.01224490,1.0,(17|41)
0.01183432,1.0,(2|2)
0.01162791,2.0,(6|41)
0.01162791,1.0,(10|30)
0.01149425,1.0,(29|23)
0.01136364,1.0,(8|7)
0.01123596,1.0,(27|4)
0.01111111,2.0,(20|7)
0.01104972,1.0,(10|27)
0.01098901,1.0,(29|3)
0.01086957,2.0,(42|40)
0.01063830,1.0,(13|21)
0.01063830,1.0,(16|19)
0.01038961,1.0,(3|42)
0.01033592,2.0,(26|4)
0.01030928,2.0,(23|4)
0.01000000,1.0,(17|24)
0.009940358,2.0,(21|34)
0.009925558,1.0,(9|3)
0.009803922,1.0,(11|1)
0.009478673,2.0,(27|1)
0.009259259,1.0,(5|46)
0.009259259,1.0,(20|32)
0.009090909,1.0,(5|17)
0.009009009,1.0,(46|42)
0.008928572,1.0,(22|12)
0.008888889,2.0,(15|36)
0.008714597,1.0,(26|43)
0.008645534,2.0,(11|8)
0.008547009,1.0,(37|49)
0.008474576,1.0,(14|20)
0.008403362,1.0,(16|36)
0.008298756,2.0,(21|33)
0.008264462,2.0,(13|30)
0.008196721,1.0,(15|4)
0.008130081,1.0,(8|36)
0.007936508,1.0,(11|18)
0.007812500,1.0,(36|6)
0.007751938,1.0,(6|8)
0.007751938,1.0,(16|40)
0.007751938,1.0,(22|42)
0.007731959,1.0,(9|5)
0.007692308,1.0,(2|28)
0.007692308,1.0,(13|14)
0.007692308,1.0,(19|19)
0.007575758,1.0,(22|23)
0.007575758,1.0,(23|23)
0.007537689,2.0,(10|29)
0.007352941,1.0,(10|10)
0.007299270,1.0,(13|29)
0.007246377,2.0,(12|6)
0.007194245,2.0,(21|16)
0.006920415,2.0,(7|18)
0.006849315,2.0,(15|26)
0.006849315,1.0,(40|48)
0.006622517,1.0,(18|6)
0.006535948,1.0,(18|23)
0.006493506,1.0,(5|31)
0.006451613,1.0,(13|5)
0.006451613,3.0,(14|5)
0.006423983,2.0,(8|35)
0.006369427,1.0,(6|2)
0.006329114,2.0,(20|47)
0.006315790,2.0,(11|37)
0.006263048,2.0,(5|43)
0.006211180,1.0,(19|23)
0.006182380,2.0,(15|19)
0.006172840,1.0,(25|13)
0.006116208,2.0,(17|45)
0.006079027,1.0,(26|8)
0.006072875,2.0,(15|33)
0.006012024,2.0,(14|32)
0.005952381,1.0,(16|42)
0.005847953,1.0,(5|36)
0.005617978,1.0,(5|22)
0.005555556,1.0,(8|23)
0.005540166,1.0,(17|29)
0.005517242,1.0,(27|0)
0.005434783,1.0,(5|6)
0.005405406,1.0,(6|1)
0.005376344,2.0,(18|34)
0.005366726,2.0,(14|35)
0.005361930,1.0,(21|46)
0.005221932,2.0,(24|6)
0.005145798,1.0,(30|5)
0.005076142,2.0,(7|43)
0.005000000,2.0,(23|47)
0.004926108,1.0,(10|7)
0.004854369,1.0,(13|28)
0.004694836,1.0,(12|29)
0.004694836,1.0,(15|29)
0.004651163,1.0,(19|5)
0.004640371,1.0,(20|19)
0.004634994,1.0,(6|3)
0.004594181,2.0,(18|27)
0.004566210,1.0,(13|31)
0.004566210,1.0,(48|38)
0.004566210,1.0,(48|39)
0.004484305,1.0,(1|20)
0.004484305,1.0,(22|10)
0.004484305,1.0,(24|9)
0.004464286,1.0,(21|18)
0.004464286,1.0,(24|37)
0.004444445,2.0,(29|39)
0.004424779,1.0,(7|17)
0.004347826,1.0,(7|7)
0.004310345,1.0,(49|36)
0.004264392,1.0,(22|13)
0.004255319,1.0,(3|11)
0.004255319,1.0,(22|26)
0.004255319,1.0,(24|3)
0.004192872,2.0,(48|44)
0.004184100,2.0,(15|46)
0.004048583,1.0,(10|34)
0.004040404,2.0,(5|45)
0.004032258,1.0,(15|23)
0.003976143,2.0,(25|32)
0.003968254,1.0,(29|40)
0.003952569,1.0,(25|12)
0.003929273,2.0,(10|21)
0.003921569,1.0,(18|30)
0.003906250,1.0,(6|36)
0.003906250,1.0,(26|37)
0.003802281,1.0,(5|10)
0.003802281,1.0,(5|11)
0.003759399,1.0,(9|7)
0.003759399,1.0,(14|28)
0.003724395,1.0,(46|38)
0.003703704,1.0,(17|32)
