Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 17 | Litigation (jpg:17,idx:16)
Catgory Probability,Ex Count at BMU,BMU Map Loc
1.000000,2.0,(17|13)
1.000000,2.0,(22|49)
1.000000,1.0,(23|1)
0.9090909,3.0,(24|47)
0.9059633,4.0,(22|43)
0.8837209,2.0,(23|43)
0.8823529,3.0,(24|45)
0.8681319,3.0,(25|43)
0.8679245,2.0,(24|44)
0.8529412,4.0,(23|44)
0.8433180,1.0,(21|43)
0.7993421,2.0,(21|47)
0.7931035,3.0,(26|44)
0.7800000,5.0,(23|47)
0.7769231,6.0,(23|45)
0.7631579,4.0,(22|46)
0.7513227,4.0,(22|47)
0.7500000,4.0,(22|45)
0.7407407,5.0,(26|43)
0.7279412,3.0,(22|44)
0.7187500,6.0,(21|45)
0.6890756,5.0,(21|48)
0.6795866,5.0,(22|42)
0.6666667,2.0,(18|12)
0.6666667,2.0,(19|13)
0.6666667,4.0,(21|49)
0.6363636,1.0,(25|44)
0.6234177,3.0,(20|47)
0.6219839,4.0,(21|46)
0.6092715,6.0,(23|48)
0.5857143,6.0,(22|48)
0.5641026,3.0,(20|48)
0.5441296,1.0,(25|45)
0.5000000,2.0,(26|42)
0.5000000,1.0,(27|45)
0.4285714,2.0,(20|45)
0.3846154,4.0,(23|46)
0.3541667,3.0,(21|44)
0.3488372,6.0,(16|9)
0.3415978,2.0,(25|46)
0.3349754,5.0,(48|7)
0.3098592,2.0,(25|47)
0.2765957,4.0,(22|14)
0.2727273,2.0,(20|4)
0.2716049,5.0,(20|49)
0.2647059,4.0,(17|14)
0.2592593,2.0,(19|47)
0.2580645,1.0,(24|46)
0.2533333,4.0,(21|5)
0.2533333,4.0,(22|6)
0.2446809,4.0,(49|26)
0.2400000,5.0,(20|2)
0.2380952,4.0,(0|6)
0.2325581,1.0,(27|46)
0.2322404,6.0,(15|4)
0.2222222,2.0,(16|10)
0.2222222,1.0,(27|43)
0.2000000,3.0,(21|12)
0.1931818,3.0,(7|5)
0.1888112,6.0,(48|5)
0.1862745,5.0,(19|10)
0.1862745,5.0,(20|10)
0.1857143,3.0,(16|6)
0.1854839,4.0,(1|3)
0.1854839,4.0,(49|3)
0.1818182,3.0,(26|46)
0.1803279,5.0,(18|14)
0.1739130,2.0,(18|8)
0.1732284,4.0,(48|4)
0.1729730,1.0,(26|45)
0.1712329,4.0,(16|5)
0.1691176,4.0,(21|7)
0.1679389,5.0,(1|47)
0.1666667,2.0,(2|6)
0.1666667,1.0,(20|16)
0.1641791,6.0,(0|5)
0.1538462,2.0,(4|0)
0.1538462,2.0,(23|32)
0.1474359,5.0,(49|5)
0.1440678,4.0,(47|6)
0.1428571,2.0,(10|16)
0.1408451,6.0,(8|5)
0.1395349,3.0,(46|6)
0.1389961,4.0,(5|4)
0.1384615,1.0,(27|44)
0.1363636,2.0,(19|6)
0.1360544,5.0,(48|28)
0.1360000,4.0,(4|43)
0.1360000,4.0,(4|44)
0.1333333,1.0,(17|46)
0.1250000,4.0,(22|1)
0.1219512,3.0,(19|2)
0.1203704,4.0,(11|47)
0.1165049,4.0,(4|4)
0.1162791,4.0,(8|0)
0.1161616,7.0,(19|11)
0.1161616,7.0,(20|11)
0.1153846,2.0,(23|14)
0.1124260,3.0,(13|3)
0.1095890,4.0,(2|5)
0.1086262,4.0,(48|6)
0.1067961,4.0,(19|4)
0.1058824,4.0,(21|15)
0.1052632,2.0,(17|11)
0.1052632,4.0,(28|49)
