Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 20 | Corporate Finance (jpg:20,idx:19)
Catgory Probability,Ex Count at BMU,BMU Map Loc
1.000000,2.0,(20|28)
1.000000,1.0,(20|34)
0.8875904,3.0,(20|29)
0.8741450,3.0,(19|29)
0.8319415,3.0,(17|28)
0.8117647,2.0,(18|30)
0.7839335,3.0,(17|29)
0.7714808,3.0,(16|29)
0.7302325,3.0,(18|29)
0.7217069,3.0,(16|28)
0.6376812,2.0,(30|35)
0.6328125,3.0,(15|28)
0.6250000,2.0,(21|29)
0.5714286,3.0,(16|27)
0.5714286,2.0,(38|33)
0.5666667,3.0,(16|30)
0.5000000,3.0,(3|10)
0.5000000,1.0,(17|20)
0.4838710,2.0,(17|30)
0.4800000,3.0,(3|9)
0.4800000,3.0,(5|9)
0.4438202,3.0,(15|30)
0.4408602,2.0,(22|36)
0.4333333,1.0,(16|21)
0.4319249,3.0,(15|29)
0.4137931,2.0,(19|30)
0.4038461,3.0,(14|29)
0.4036697,3.0,(21|26)
0.4035088,2.0,(20|30)
0.3928571,2.0,(38|39)
0.3814433,3.0,(39|40)
0.3409091,3.0,(9|30)
0.3333333,2.0,(18|28)
0.3157895,2.0,(19|28)
0.2884615,3.0,(2|28)
0.2857143,2.0,(12|12)
0.2822581,3.0,(16|17)
0.2781955,3.0,(14|28)
0.2727273,2.0,(22|34)
0.2500000,3.0,(38|46)
0.2432432,3.0,(12|31)
0.2400000,3.0,(3|27)
0.2400000,1.0,(9|22)
0.2264151,3.0,(14|15)
0.2222222,2.0,(30|48)
0.2210145,3.0,(16|20)
0.2187500,2.0,(10|12)
0.2173913,2.0,(18|19)
0.2142857,2.0,(18|24)
0.2142857,2.0,(49|10)
0.2110553,3.0,(10|29)
0.2105263,3.0,(43|44)
0.2000000,3.0,(14|33)
0.1969697,3.0,(30|9)
0.1944444,3.0,(14|30)
0.1941748,2.0,(41|42)
0.1923077,2.0,(17|18)
0.1893491,3.0,(2|2)
0.1857143,3.0,(2|17)
0.1818182,2.0,(10|13)
0.1803279,1.0,(16|22)
0.1782609,3.0,(7|7)
0.1762114,3.0,(4|8)
0.1744186,3.0,(10|30)
0.1739766,1.0,(30|36)
0.1739130,3.0,(0|8)
0.1739130,3.0,(48|8)
0.1724138,2.0,(16|33)
0.1714286,3.0,(6|16)
0.1694915,2.0,(7|16)
0.1679389,2.0,(15|20)
0.1605839,3.0,(13|29)
0.1600000,2.0,(41|39)
0.1578947,1.0,(14|17)
0.1564626,3.0,(15|21)
0.1562500,3.0,(16|16)
0.1538462,3.0,(0|9)
0.1538462,3.0,(13|11)
0.1533546,2.0,(14|27)
0.1525424,3.0,(13|33)
0.1509434,2.0,(0|18)
0.1489362,3.0,(1|28)
0.1487603,3.0,(13|30)
0.1473684,2.0,(9|17)
0.1470588,3.0,(4|9)
0.1470588,2.0,(18|33)
0.1466667,3.0,(11|11)
0.1461988,3.0,(8|29)
0.1456311,3.0,(1|10)
0.1456311,3.0,(2|10)
0.1435407,3.0,(6|10)
0.1428571,3.0,(1|8)
0.1428571,3.0,(2|7)
