Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 26 | Accounting All (jpg:26,idx:24)
Catgory Probability,Ex Count at BMU,BMU Map Loc
1.000000,1.0,(46|4)
0.9887180,1.0,(33|33)
0.9873528,1.0,(34|32)
0.9740260,1.0,(34|33)
0.9581240,1.0,(34|31)
0.9552495,3.0,(39|0)
0.9513944,2.0,(40|5)
0.9300292,2.0,(29|21)
0.9294118,5.0,(41|0)
0.9262673,3.0,(40|0)
0.9130435,5.0,(42|4)
0.9008811,2.0,(30|21)
0.9000000,3.0,(30|22)
0.8953942,3.0,(47|49)
0.8953488,1.0,(35|32)
0.8832685,1.0,(33|30)
0.8744588,2.0,(41|5)
0.8731343,3.0,(29|19)
0.8633880,3.0,(48|0)
0.8619403,4.0,(42|5)
0.8574713,4.0,(38|5)
0.8571429,1.0,(49|2)
0.8529412,4.0,(39|3)
0.8509804,2.0,(29|20)
0.8461539,3.0,(45|6)
0.8352941,1.0,(48|3)
0.8333333,1.0,(28|20)
0.8333333,4.0,(40|1)
0.8333333,3.0,(48|2)
0.8269231,4.0,(41|1)
0.8000000,4.0,(47|0)
0.7956989,8.0,(41|49)
0.7934783,3.0,(31|23)
0.7931035,2.0,(39|49)
0.7735602,2.0,(45|47)
0.7697368,3.0,(40|4)
0.7642276,3.0,(28|19)
0.7429467,4.0,(48|1)
0.7374302,1.0,(33|31)
0.7326733,2.0,(42|6)
0.7267081,4.0,(30|20)
0.7183099,4.0,(47|3)
0.7164634,4.0,(41|4)
0.7125000,1.0,(35|31)
0.7066666,1.0,(33|32)
0.6923077,4.0,(28|18)
0.6923077,4.0,(29|17)
0.6902357,4.0,(29|22)
0.6902357,4.0,(31|22)
0.6842105,2.0,(43|5)
0.6774194,4.0,(39|1)
0.6692308,4.0,(47|2)
0.6591550,2.0,(34|30)
0.6572438,3.0,(38|0)
0.6491228,8.0,(43|4)
0.6482412,6.0,(39|2)
0.6478873,1.0,(34|29)
0.6340694,4.0,(46|49)
0.5970149,2.0,(39|5)
0.5846154,6.0,(42|49)
0.5621890,5.0,(47|1)
0.5595568,3.0,(29|18)
0.5594542,5.0,(41|48)
0.5541126,2.0,(38|2)
0.5531915,3.0,(45|48)
0.5357143,2.0,(45|3)
0.5319149,1.0,(30|23)
0.5250000,4.0,(40|2)
0.5146199,3.0,(30|19)
0.5034246,2.0,(40|48)
0.5000000,1.0,(44|2)
0.4918033,1.0,(47|48)
0.4853801,1.0,(35|30)
0.4786325,7.0,(43|3)
0.4577465,3.0,(32|21)
0.4444444,1.0,(32|30)
0.4444444,3.0,(41|3)
0.4385965,5.0,(44|3)
0.4237288,3.0,(43|49)
0.4157895,4.0,(38|3)
0.4157895,2.0,(41|6)
0.4144737,3.0,(43|6)
0.4072848,3.0,(43|47)
0.3952096,2.0,(46|0)
0.3802817,2.0,(42|46)
0.3793103,2.0,(39|4)
0.3715278,7.0,(42|3)
0.3712871,2.0,(31|20)
0.3333333,1.0,(35|29)
0.3030303,3.0,(45|1)
0.3012048,2.0,(40|6)
0.2941177,8.0,(45|7)
0.2924528,3.0,(45|0)
0.2884615,1.0,(38|1)
0.2880000,4.0,(46|2)
0.2763819,4.0,(46|3)
0.2752809,4.0,(46|1)
0.2694611,2.0,(46|48)
0.2694611,2.0,(49|1)
0.2661290,1.0,(33|29)
0.2652174,2.0,(45|49)
0.2637363,4.0,(40|3)
0.2604167,2.0,(41|2)
0.2553191,2.0,(43|48)
0.2547170,7.0,(42|1)
0.2500000,1.0,(38|4)
0.2484663,6.0,(44|1)
0.2279412,2.0,(31|21)
0.2222222,1.0,(41|47)
0.2150538,2.0,(38|6)
0.2093023,3.0,(42|0)
0.1944444,1.0,(44|6)
0.1920904,5.0,(40|49)
0.1825397,3.0,(32|20)
0.1808511,1.0,(32|31)
0.1770833,2.0,(42|48)
0.1739130,1.0,(44|0)
0.1711027,2.0,(44|48)
0.1666667,1.0,(37|4)
0.1637011,1.0,(41|18)
0.1632653,1.0,(42|2)
0.1574803,4.0,(44|5)
0.1562500,1.0,(48|49)
0.1486486,2.0,(45|8)
0.1448276,1.0,(45|26)
0.1442308,4.0,(45|2)
0.1428571,1.0,(38|33)
0.1394422,3.0,(30|18)
0.1392405,1.0,(32|32)
0.1372549,1.0,(41|17)
0.1366667,2.0,(42|7)
0.1363636,1.0,(32|33)
0.1356467,2.0,(47|21)
0.1354167,2.0,(46|26)
0.1351351,1.0,(43|45)
0.1343284,3.0,(44|4)
0.1342282,6.0,(45|13)
