Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 32 | Contracts & Franchise Law (jpg:32,idx:29)
Catgory Probability,Ex Count at BMU,BMU Map Loc
1.000000,5.0,(15|38)
0.9848485,3.0,(18|36)
0.9835443,2.0,(19|37)
0.9683124,2.0,(19|36)
0.9419355,3.0,(17|36)
0.9400000,3.0,(17|37)
0.9354497,3.0,(18|37)
0.9331423,3.0,(19|34)
0.9315069,3.0,(19|35)
0.9081632,4.0,(18|35)
0.8949580,4.0,(16|36)
0.8553299,4.0,(16|35)
0.8521506,4.0,(18|34)
0.8475610,4.0,(17|35)
0.8444445,5.0,(15|36)
0.8181818,5.0,(16|37)
0.8068966,5.0,(17|38)
0.7777778,2.0,(12|37)
0.7476415,5.0,(16|38)
0.7272727,4.0,(14|37)
0.7200000,4.0,(13|37)
0.6938776,5.0,(14|36)
0.6681416,4.0,(15|35)
0.5454546,5.0,(13|39)
0.5402504,4.0,(14|35)
0.5384616,4.0,(15|39)
0.5178571,4.0,(16|34)
0.5000000,1.0,(20|46)
0.4888889,3.0,(13|36)
0.4827586,3.0,(16|33)
0.4794520,5.0,(16|39)
0.4687500,4.0,(14|39)
0.4575163,5.0,(13|35)
0.4545455,3.0,(2|15)
0.4545455,3.0,(3|14)
0.4444444,3.0,(27|43)
0.4390244,4.0,(13|34)
0.4390244,3.0,(19|33)
0.4197531,4.0,(12|35)
0.4166667,1.0,(12|39)
0.3913043,4.0,(25|11)
0.3823529,4.0,(18|33)
0.3589744,3.0,(17|34)
0.3508772,4.0,(32|4)
0.3508772,4.0,(33|3)
0.3505155,4.0,(14|34)
0.3333333,1.0,(4|5)
0.3183024,5.0,(24|11)
0.3030303,3.0,(13|16)
0.2941177,2.0,(12|36)
0.2797203,5.0,(24|25)
0.2587719,1.0,(30|36)
0.2380952,1.0,(18|32)
0.2285714,2.0,(11|38)
0.2258064,3.0,(6|7)
0.2250000,4.0,(7|6)
0.2197802,3.0,(45|28)
0.2171582,5.0,(14|40)
0.2156863,4.0,(10|37)
0.2148760,4.0,(26|2)
0.2127660,3.0,(21|24)
0.2114538,4.0,(15|34)
0.2033898,4.0,(13|17)
0.2017544,4.0,(4|38)
0.2000000,1.0,(3|2)
0.2000000,4.0,(13|18)
0.2000000,2.0,(30|3)
0.2000000,2.0,(31|4)
0.1972477,4.0,(0|38)
0.1972477,4.0,(0|39)
0.1962617,4.0,(28|1)
0.1904762,1.0,(14|38)
0.1882591,4.0,(10|34)
0.1869919,4.0,(45|40)
0.1860465,3.0,(8|26)
0.1818182,1.0,(25|44)
0.1728395,4.0,(4|37)
0.1666667,2.0,(13|40)
0.1666667,1.0,(14|26)
0.1666667,1.0,(15|25)
0.1666667,3.0,(28|45)
0.1640212,4.0,(12|38)
0.1634241,4.0,(20|26)
0.1612903,3.0,(1|15)
0.1612903,2.0,(17|30)
0.1607143,5.0,(0|27)
0.1600000,3.0,(5|47)
0.1578947,1.0,(8|15)
0.1551724,4.0,(5|7)
0.1527778,2.0,(16|45)
0.1511628,4.0,(16|40)
0.1481481,5.0,(5|46)
0.1467662,4.0,(15|37)
0.1463415,4.0,(1|16)
0.1428571,2.0,(0|15)
0.1428571,2.0,(0|16)
0.1428571,2.0,(21|42)
0.1414141,2.0,(25|9)
0.1391304,3.0,(27|49)
0.1372549,4.0,(22|11)
0.1358025,4.0,(25|13)
0.1355140,5.0,(23|25)
0.1351351,3.0,(29|38)
0.1333333,2.0,(14|41)
0.1328413,5.0,(11|32)
0.1287879,4.0,(2|18)
0.1284404,4.0,(31|3)
0.1272727,2.0,(10|41)
0.1250000,3.0,(32|47)
0.1250000,2.0,(49|34)
0.1240310,4.0,(6|8)
0.1235955,4.0,(15|30)
0.1216216,3.0,(32|49)
0.1200000,2.0,(25|1)
0.1200000,4.0,(49|6)
0.1195652,4.0,(2|12)
0.1194030,3.0,(12|19)
0.1188455,4.0,(17|40)
0.1185185,3.0,(7|47)
0.1176471,2.0,(30|39)
0.1153846,4.0,(28|0)
0.1151685,4.0,(25|10)
0.1142857,4.0,(12|14)
0.1125828,4.0,(49|8)
0.1117021,4.0,(15|31)
0.1111111,2.0,(32|0)
0.1085973,3.0,(14|31)
0.1083916,4.0,(4|10)
0.1072386,4.0,(21|46)
0.1052632,2.0,(2|1)
0.1052632,1.0,(3|29)
0.1052632,2.0,(9|40)
0.1052632,1.0,(20|5)
0.1052632,3.0,(28|49)
0.1052632,1.0,(29|1)
0.1052632,2.0,(37|42)
0.1044776,4.0,(25|3)
0.1041667,3.0,(21|44)
0.1034483,2.0,(29|23)
0.1026895,4.0,(26|12)
0.1016949,3.0,(13|33)
0.1000000,2.0,(26|29)
0.1000000,4.0,(30|47)
0.09803922,4.0,(10|35)
0.09803922,5.0,(31|1)
0.09677419,4.0,(13|32)
0.09523810,3.0,(1|12)
0.09523810,3.0,(2|11)
0.09523810,3.0,(2|13)
0.09523810,3.0,(3|12)
0.09401710,4.0,(0|14)
0.09345794,3.0,(3|49)
0.09090909,3.0,(22|23)
0.09090909,3.0,(23|23)
