Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 51 | Energy (jpg:51,idx:45)
Catgory Probability,Ex Count at BMU,BMU Map Loc
1.000000,2.0,(17|23)
0.9306931,2.0,(26|33)
0.9000000,4.0,(19|25)
0.8690702,1.0,(28|33)
0.8424242,2.0,(17|27)
0.8380809,4.0,(20|27)
0.7962963,3.0,(24|32)
0.7793241,3.0,(25|32)
0.7471265,4.0,(18|26)
0.7419355,3.0,(19|27)
0.7411348,5.0,(17|25)
0.7017544,3.0,(17|21)
0.7013782,3.0,(18|27)
0.6666667,1.0,(20|22)
0.6666667,2.0,(26|32)
0.6637931,4.0,(20|24)
0.6571429,4.0,(19|26)
0.6163522,4.0,(18|25)
0.5642023,4.0,(20|26)
0.5434783,4.0,(20|23)
0.5275862,5.0,(18|22)
0.5000000,2.0,(19|20)
0.4444444,2.0,(18|21)
0.4322917,5.0,(20|25)
0.4242424,3.0,(21|21)
0.3877551,3.0,(21|23)
0.3850932,5.0,(19|23)
0.3571429,4.0,(18|24)
0.3533835,6.0,(21|22)
0.3469388,1.0,(18|20)
0.3333333,1.0,(28|32)
0.3333333,1.0,(44|41)
0.3149606,3.0,(19|21)
0.3074324,5.0,(19|22)
0.2500000,4.0,(10|12)
0.2488263,3.0,(19|24)
0.2127660,3.0,(21|24)
0.2039801,4.0,(17|22)
0.1754386,3.0,(19|28)
0.1666667,1.0,(2|26)
0.1639344,2.0,(16|22)
0.1559633,2.0,(21|27)
0.1538462,1.0,(19|19)
0.1500000,2.0,(29|26)
0.1428571,2.0,(47|27)
0.1411043,3.0,(21|17)
0.1263158,3.0,(1|17)
0.1263158,3.0,(2|16)
0.1250000,1.0,(17|26)
0.1250000,2.0,(18|28)
0.1234568,4.0,(9|12)
0.1225806,2.0,(8|12)
0.1192661,3.0,(21|26)
0.1140684,3.0,(5|10)
0.1140684,3.0,(5|11)
0.1111111,3.0,(3|13)
0.1111111,1.0,(20|21)
0.1100000,4.0,(17|24)
0.1090909,5.0,(26|10)
0.1052632,2.0,(16|24)
0.1041667,3.0,(5|12)
0.1032609,3.0,(5|6)
0.09756097,2.0,(19|33)
0.09375000,3.0,(12|34)
0.09259259,3.0,(3|7)
0.09090909,1.0,(22|22)
0.08955224,3.0,(18|16)
0.08403362,2.0,(9|25)
0.08000000,2.0,(10|19)
0.08000000,1.0,(26|27)
0.08000000,2.0,(49|6)
0.07692308,2.0,(15|9)
0.07659575,4.0,(3|11)
0.07575758,3.0,(6|26)
0.07575758,5.0,(22|23)
