Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 52 | Personal Injury (jpg:52,idx:46)
Catgory Probability,Ex Count at BMU,BMU Map Loc
1.000000,3.0,(15|49)
1.000000,2.0,(23|42)
1.000000,3.0,(24|42)
1.000000,2.0,(25|40)
1.000000,2.0,(26|38)
1.000000,1.0,(26|39)
0.9985008,2.0,(25|39)
0.9932065,2.0,(24|39)
0.9900000,3.0,(23|40)
0.9765625,3.0,(24|40)
0.9750000,2.0,(17|47)
0.9744361,3.0,(24|41)
0.9631902,2.0,(25|41)
0.9621621,3.0,(23|41)
0.9547945,4.0,(18|48)
0.9536199,4.0,(16|49)
0.9433962,4.0,(17|0)
0.9278350,4.0,(21|1)
0.9272727,4.0,(19|49)
0.9072165,3.0,(16|0)
0.8888889,4.0,(17|48)
0.8873239,4.0,(19|48)
0.8651400,4.0,(17|49)
0.8541667,4.0,(15|48)
0.8495575,4.0,(18|47)
0.8433735,4.0,(18|0)
0.8235294,4.0,(18|49)
0.8095238,3.0,(16|48)
0.8000000,2.0,(24|43)
0.7820513,4.0,(19|0)
0.7532467,4.0,(20|1)
0.7419355,4.0,(19|1)
0.7272727,3.0,(25|42)
0.7099237,3.0,(16|1)
0.6952381,3.0,(17|1)
0.6739131,3.0,(12|3)
0.6500000,4.0,(16|47)
0.6417112,4.0,(18|1)
0.6222222,4.0,(20|0)
0.6060606,3.0,(15|2)
0.5925926,4.0,(19|47)
0.5589520,4.0,(14|4)
0.5352113,3.0,(20|3)
0.5333334,4.0,(18|5)
0.5063291,3.0,(14|3)
0.5000000,1.0,(18|46)
0.4951456,4.0,(19|4)
0.4946237,3.0,(23|39)
0.4800000,4.0,(20|2)
0.4794520,4.0,(3|43)
0.4782609,3.0,(18|8)
0.4720000,4.0,(4|43)
0.4720000,4.0,(4|44)
0.4705882,3.0,(19|3)
0.4666667,4.0,(21|2)
0.4390244,4.0,(19|2)
0.4090909,3.0,(15|3)
0.3979592,4.0,(18|2)
0.3918919,3.0,(21|3)
0.3636364,2.0,(20|4)
0.3625731,1.0,(30|36)
0.3404255,4.0,(16|4)
0.3333333,1.0,(14|46)
0.3333333,4.0,(17|5)
0.3333333,1.0,(18|10)
0.3260870,3.0,(11|4)
0.3235294,3.0,(18|4)
0.3214286,3.0,(13|4)
0.3209876,4.0,(20|49)
0.3125000,4.0,(49|4)
0.3076923,3.0,(4|0)
0.3076923,3.0,(20|48)
0.2894737,3.0,(48|27)
0.2886598,4.0,(17|4)
0.2834646,4.0,(48|4)
0.2808989,4.0,(16|46)
0.2794118,3.0,(18|7)
0.2666667,4.0,(17|6)
0.2643678,3.0,(17|2)
0.2596685,4.0,(49|27)
0.2586207,3.0,(14|47)
0.2533937,4.0,(0|4)
0.2337278,3.0,(13|3)
0.2325581,4.0,(19|5)
0.2222222,2.0,(26|25)
0.2222222,2.0,(30|24)
0.2215190,3.0,(26|28)
0.2115385,3.0,(49|5)
0.2105263,2.0,(20|5)
0.2103825,4.0,(15|4)
0.1886792,2.0,(21|41)
0.1836735,4.0,(1|4)
0.1825397,3.0,(10|4)
0.1785714,3.0,(16|3)
0.1777778,4.0,(24|27)
0.1733333,4.0,(19|8)
0.1666667,3.0,(15|47)
0.1627907,3.0,(47|7)
0.1583514,3.0,(17|3)
0.1556886,4.0,(20|6)
0.1497585,4.0,(18|3)
0.1428571,4.0,(49|28)
0.1399046,3.0,(22|41)
0.1390729,4.0,(18|6)
0.1374408,3.0,(21|39)
0.1285714,3.0,(16|6)
0.1271186,3.0,(17|7)
0.1243243,3.0,(26|45)
0.1172839,3.0,(27|45)
0.1170213,3.0,(49|26)
0.1165049,4.0,(26|22)
0.1153846,1.0,(46|39)
0.1145038,2.0,(11|48)
0.1119403,2.0,(36|38)
0.1101928,3.0,(21|28)
0.1083916,4.0,(48|5)
0.1068376,4.0,(21|13)
0.1052632,2.0,(12|41)
0.1052632,3.0,(21|4)
0.1048387,3.0,(13|6)
0.1027397,4.0,(14|10)
0.1000000,3.0,(19|7)
0.09950249,4.0,(0|5)
0.09411765,3.0,(21|15)
0.09381663,4.0,(22|13)
0.09265175,4.0,(48|6)
0.09195402,2.0,(29|23)
0.08995816,3.0,(15|46)
0.08875740,4.0,(15|5)
0.08433735,3.0,(3|5)
0.08333334,1.0,(34|38)
0.08333334,1.0,(35|37)
0.08264463,4.0,(10|2)
0.08108108,3.0,(11|42)
0.08041958,4.0,(15|6)
0.07962529,4.0,(20|8)
0.07834101,4.0,(22|27)
0.07712083,3.0,(21|6)
0.07692308,3.0,(13|1)
0.07692308,2.0,(15|9)
0.07594936,3.0,(20|47)
0.07368421,3.0,(17|11)
0.07279029,3.0,(12|4)
0.07142857,1.0,(16|41)
0.07142857,4.0,(22|1)
0.07142857,1.0,(32|37)
0.07142857,2.0,(49|29)
0.06958763,4.0,(9|5)
0.06808510,4.0,(22|26)
0.06796116,1.0,(4|4)
0.06666667,1.0,(4|42)
0.06666667,1.0,(17|46)
0.06521739,2.0,(22|40)
0.06493507,4.0,(47|32)
0.06451613,3.0,(10|5)
0.06363636,4.0,(4|36)
0.06338028,3.0,(8|5)
0.06263048,4.0,(5|43)
0.06250000,2.0,(7|44)
0.06250000,2.0,(21|44)
0.06233062,4.0,(25|28)
0.06153846,3.0,(22|25)
0.06140351,4.0,(13|7)
0.06126126,2.0,(16|2)
0.06122449,4.0,(48|28)
0.06103287,4.0,(25|47)
0.06060606,3.0,(4|2)
0.06060606,2.0,(16|7)
0.05925926,2.0,(14|45)
0.05882353,2.0,(9|34)
0.05882353,2.0,(10|33)
0.05882353,2.0,(23|44)
0.05882353,4.0,(24|28)
0.05797102,2.0,(17|43)
0.05777778,4.0,(21|5)
0.05777778,4.0,(22|6)
0.05714286,4.0,(3|42)
0.05570292,3.0,(22|3)
0.05555556,3.0,(11|47)
0.05529954,3.0,(22|16)
0.05479452,3.0,(32|44)
0.05454545,2.0,(0|29)
0.05405406,3.0,(13|8)
0.05263158,1.0,(46|27)
0.05225225,4.0,(46|5)
0.05225225,4.0,(47|4)
0.05225225,4.0,(47|5)
0.05078125,3.0,(26|37)
0.05069124,3.0,(21|43)
0.04838710,3.0,(1|3)
0.04838710,2.0,(24|46)
0.04838710,3.0,(49|3)
0.04807692,3.0,(15|8)
0.04761905,2.0,(21|11)
0.04740741,3.0,(12|5)
0.04696356,3.0,(25|45)
0.04687500,3.0,(25|29)
0.04657534,3.0,(17|12)
0.04597701,3.0,(26|5)
0.04545455,2.0,(35|39)
0.04516129,3.0,(11|5)
0.04398827,3.0,(14|42)
0.04395605,3.0,(45|28)
0.04395605,2.0,(49|41)
0.04347826,1.0,(7|41)
0.04347826,1.0,(21|38)
0.04301075,2.0,(2|34)
0.04301075,2.0,(23|31)
0.04283054,4.0,(46|38)
0.04212454,3.0,(25|43)
0.04210526,3.0,(9|48)
0.04166667,2.0,(15|0)
0.04123711,3.0,(23|4)
0.04093567,2.0,(48|33)
0.04090909,2.0,(29|24)
0.04000000,1.0,(5|47)
0.04000000,3.0,(19|44)
0.04000000,3.0,(23|47)
0.03947368,2.0,(46|30)
0.03921569,3.0,(21|49)
0.03846154,2.0,(23|46)
0.03790088,3.0,(45|39)
0.03785489,4.0,(14|6)
0.03783784,3.0,(6|33)
0.03773585,2.0,(11|43)
0.03773585,2.0,(20|9)
0.03735144,3.0,(22|39)
0.03571429,2.0,(4|41)
0.03571429,2.0,(23|0)
0.03571429,2.0,(48|42)
0.03539823,3.0,(8|48)
0.03508772,2.0,(9|40)
0.03448276,2.0,(3|3)
0.03448276,4.0,(19|12)
0.03448276,4.0,(20|12)
0.03389831,2.0,(24|1)
0.03333334,1.0,(15|43)
0.03278688,3.0,(13|42)
0.03225806,1.0,(9|35)
0.03225806,2.0,(17|15)
0.03174603,2.0,(3|0)
0.03174603,2.0,(3|48)
0.03125000,3.0,(1|6)
0.03125000,2.0,(9|1)
0.03030303,1.0,(44|46)
0.02985075,1.0,(5|0)
0.02985075,1.0,(5|2)
0.02941176,3.0,(21|7)
0.02909091,3.0,(13|41)
0.02902375,4.0,(28|22)
0.02842377,4.0,(22|42)
0.02811245,2.0,(14|7)
0.02797203,3.0,(5|3)
0.02754821,4.0,(25|46)
0.02750491,3.0,(10|21)
0.02739726,2.0,(2|4)
0.02739726,1.0,(16|5)
0.02739726,1.0,(23|26)
0.02739726,2.0,(36|39)
0.02666667,2.0,(14|43)
0.02653061,4.0,(23|27)
0.02631579,3.0,(21|47)
0.02631579,1.0,(22|4)
0.02631579,2.0,(37|39)
0.02580645,2.0,(13|5)
0.02536232,2.0,(12|6)
0.02521008,2.0,(21|48)
0.02463054,3.0,(48|7)
0.02439024,2.0,(7|3)
0.02424242,2.0,(13|44)
0.02412281,2.0,(32|43)
0.02352941,2.0,(8|2)
0.02339181,3.0,(14|9)
0.02325581,3.0,(23|43)
0.02298851,2.0,(26|44)
0.02242152,3.0,(12|2)
0.02232143,3.0,(21|45)
0.02132196,3.0,(14|2)
0.02116402,2.0,(22|47)
0.02105263,2.0,(37|38)
0.02100840,3.0,(6|45)
0.02097902,3.0,(1|7)
0.02097902,3.0,(49|7)
0.02092050,4.0,(44|45)
0.02081165,3.0,(21|37)
0.02072539,2.0,(4|3)
0.02068966,2.0,(9|4)
0.02064220,3.0,(22|43)
0.02061856,1.0,(35|45)
0.02030457,1.0,(48|32)
0.01986755,1.0,(49|8)
0.01970443,2.0,(6|4)
0.01960784,2.0,(2|3)
0.01960784,2.0,(3|1)
0.01960784,2.0,(16|8)
0.01951220,3.0,(15|7)
0.01886792,1.0,(17|39)
0.01886792,2.0,(45|41)
0.01869159,2.0,(19|41)
0.01851852,2.0,(5|46)
0.01840491,2.0,(17|42)
0.01818182,2.0,(0|7)
0.01782531,3.0,(46|28)
0.01762114,2.0,(14|1)
0.01754386,1.0,(15|17)
0.01754386,2.0,(35|41)
0.01680672,1.0,(15|32)
0.01666667,2.0,(5|42)
0.01666667,2.0,(20|7)
0.01666667,1.0,(47|29)
0.01643836,3.0,(9|42)
0.01612903,3.0,(14|5)
0.01587302,2.0,(10|22)
0.01550388,1.0,(49|33)
0.01538462,2.0,(7|35)
0.01538462,2.0,(19|19)
0.01522843,2.0,(11|2)
0.01506373,4.0,(6|3)
0.01503759,2.0,(9|39)
0.01498127,3.0,(27|4)
0.01449275,1.0,(47|40)
0.01438849,4.0,(21|16)
