Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 53 | Product Liability (jpg:53,idx:47)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.6963434,1.0,(22|41)
0.3396226,1.0,(21|41)
0.2500000,1.0,(19|39)
0.1052632,1.0,(48|27)
0.09090909,1.0,(17|5)
0.06666667,1.0,(18|5)
0.06521739,1.0,(22|40)
0.04918033,1.0,(15|4)
0.04901961,1.0,(13|35)
0.04255319,1.0,(16|4)
0.03883495,1.0,(19|4)
0.03333334,1.0,(2|26)
0.03030303,1.0,(6|26)
0.03030303,1.0,(15|2)
0.02816901,1.0,(20|3)
0.02631579,1.0,(22|46)
0.02564103,1.0,(11|46)
0.02531646,1.0,(14|3)
0.02409638,1.0,(18|0)
0.02342342,1.0,(16|2)
0.02298851,1.0,(17|2)
0.02162162,1.0,(23|41)
0.02142857,1.0,(16|3)
0.02061856,1.0,(17|4)
0.02054795,1.0,(14|10)
0.02040816,1.0,(18|2)
0.02000000,1.0,(21|40)
0.01960784,1.0,(19|10)
0.01960784,1.0,(20|10)
0.01941748,1.0,(4|4)
0.01917808,1.0,(17|12)
0.01873536,1.0,(20|8)
0.01851852,1.0,(16|10)
0.01724138,1.0,(14|47)
0.01666667,1.0,(17|6)
0.01661129,1.0,(11|0)
0.01626016,1.0,(7|3)
0.01600000,1.0,(4|43)
0.01600000,1.0,(4|44)
0.01582278,1.0,(20|47)
0.01488095,1.0,(16|42)
0.01470588,1.0,(17|14)
0.01470588,1.0,(21|7)
0.01463415,1.0,(15|7)
0.01454545,1.0,(13|41)
0.01408451,1.0,(19|48)
0.01398601,1.0,(1|7)
0.01398601,1.0,(49|7)
0.01382488,1.0,(22|16)
0.01382488,1.0,(22|27)
0.01310044,1.0,(14|4)
0.01282051,1.0,(49|5)
0.01279318,1.0,(22|13)
0.01231527,1.0,(19|12)
0.01231527,1.0,(20|12)
0.01204819,1.0,(23|29)
0.01169591,1.0,(13|7)
0.01104972,1.0,(49|27)
0.01063830,1.0,(8|40)
0.01063830,1.0,(49|26)
0.01033592,1.0,(26|4)
0.01025641,1.0,(12|20)
0.01000000,1.0,(23|40)
0.009852217,1.0,(6|4)
0.009584664,1.0,(48|6)
0.009433962,1.0,(24|48)
0.009433962,1.0,(25|48)
0.009146341,1.0,(18|41)
0.009090909,1.0,(31|0)
0.009022556,1.0,(19|43)
0.008849557,1.0,(22|30)
0.008368201,1.0,(44|45)
0.008264462,1.0,(13|9)
0.007936508,1.0,(2|45)
0.007792208,1.0,(3|42)
0.007751938,1.0,(22|42)
0.007722008,1.0,(5|4)
0.007712082,1.0,(21|6)
0.007692308,1.0,(19|19)
0.007692308,1.0,(22|25)
0.007633588,1.0,(17|49)
0.007547170,1.0,(21|20)
0.007500000,1.0,(23|47)
0.007407407,1.0,(2|43)
0.007407407,1.0,(2|44)
0.007142857,1.0,(0|26)
0.007042253,1.0,(8|5)
0.006993007,1.0,(48|5)
0.006896552,1.0,(26|26)
0.006622517,1.0,(18|45)
0.006622517,1.0,(23|48)
0.006535948,1.0,(10|37)
0.006451613,1.0,(33|44)
0.006263048,1.0,(5|43)
0.006134969,1.0,(17|42)
0.005988024,1.0,(20|6)
0.005917160,1.0,(15|5)
0.005813953,1.0,(22|0)
0.005747126,1.0,(3|3)
0.005747126,1.0,(26|5)
0.005347594,1.0,(18|1)
0.005144033,1.0,(27|45)
0.005128205,1.0,(17|33)
0.005102041,1.0,(23|10)
0.005076142,1.0,(7|43)
0.005050505,1.0,(19|11)
0.005050505,1.0,(20|11)
0.004901961,1.0,(15|16)
0.004672897,1.0,(23|25)
0.004524887,1.0,(28|40)
0.004444445,1.0,(20|0)
0.004273504,1.0,(30|14)
0.004255319,1.0,(22|26)
0.004081632,1.0,(17|41)
0.003968254,1.0,(29|40)
0.003846154,1.0,(37|36)
0.003816794,1.0,(16|44)
0.003802281,1.0,(24|26)
0.003795066,1.0,(28|33)
0.003724395,1.0,(46|38)
0.003496503,1.0,(15|6)
0.003466205,1.0,(12|4)
0.003424658,1.0,(33|42)
0.003322259,1.0,(23|43)
0.003311258,1.0,(18|6)
0.002754821,1.0,(21|28)
0.002747253,1.0,(11|41)
0.002710027,1.0,(25|28)
0.002702703,1.0,(21|3)
0.002577320,1.0,(9|5)
0.002493766,1.0,(6|47)
0.002409639,1.0,(24|30)
0.002409639,1.0,(24|31)
0.002325581,1.0,(19|5)
0.002202643,1.0,(18|15)
0.002178649,1.0,(26|43)
0.002150538,1.0,(14|5)
0.002132196,1.0,(14|2)
0.002024292,1.0,(10|34)
0.001964637,1.0,(10|21)
0.001831502,1.0,(25|43)
0.001801802,1.0,(46|5)
0.001801802,1.0,(47|4)
0.001801802,1.0,(47|5)
0.001619433,1.0,(25|45)
0.001459854,1.0,(23|36)
0.001459854,1.0,(23|38)
0.001406470,1.0,(14|25)
0.001385042,1.0,(30|41)
0.001375516,1.0,(26|41)
0.001302083,1.0,(20|38)
0.001158749,1.0,(6|3)
0.001131222,1.0,(16|49)
0.001127396,1.0,(20|41)
0.001040583,1.0,(21|37)
