Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 65 | Healthcare Compliance (jpg:65,idx:59)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.9877778,1.0,(8|39)
0.9635854,1.0,(11|40)
0.9010989,1.0,(11|41)
0.8617021,1.0,(8|40)
0.8596491,1.0,(10|40)
0.8427673,1.0,(7|39)
0.8339483,1.0,(8|38)
0.8139535,1.0,(6|39)
0.8135593,1.0,(7|40)
0.8000000,1.0,(7|38)
0.7918782,2.0,(6|38)
0.7714286,2.0,(6|40)
0.7555556,1.0,(5|38)
0.7248322,1.0,(7|37)
0.7017544,1.0,(9|40)
0.6962963,1.0,(6|37)
0.6868687,2.0,(5|39)
0.6541353,1.0,(9|39)
0.6041667,1.0,(12|40)
0.6033058,1.0,(10|39)
0.5937500,1.0,(8|37)
0.5816327,2.0,(5|40)
0.5721040,1.0,(9|38)
0.5714286,2.0,(3|42)
0.5666667,2.0,(4|42)
0.5615385,1.0,(7|36)
0.5446328,1.0,(11|39)
0.5374150,1.0,(5|37)
0.5121951,1.0,(8|36)
0.5000000,1.0,(9|37)
0.4927536,1.0,(7|41)
0.4796380,2.0,(3|41)
0.4709302,3.0,(6|41)
0.4444444,1.0,(13|40)
0.4218750,1.0,(6|36)
0.3650794,2.0,(2|41)
0.3625731,1.0,(5|36)
0.3404711,1.0,(8|35)
0.3363636,1.0,(4|36)
0.3230769,1.0,(7|35)
0.3173278,2.0,(5|43)
0.2774869,1.0,(3|35)
0.2754491,1.0,(4|35)
0.2631579,1.0,(0|41)
0.2577319,2.0,(4|39)
0.2542373,1.0,(10|38)
0.2456140,2.0,(6|42)
0.2333333,1.0,(8|34)
0.2321429,2.0,(4|41)
0.2279793,1.0,(5|35)
0.2127660,2.0,(4|40)
0.1964286,3.0,(2|40)
0.1935484,2.0,(3|40)
0.1914894,1.0,(1|31)
0.1909091,1.0,(6|35)
0.1818182,2.0,(0|32)
0.1754386,1.0,(4|38)
0.1731844,1.0,(2|39)
0.1724138,1.0,(8|41)
0.1612903,1.0,(6|34)
0.1604938,1.0,(4|37)
0.1414141,2.0,(19|11)
0.1414141,2.0,(20|11)
0.1358025,1.0,(3|38)
0.1342282,1.0,(5|34)
0.1304348,1.0,(2|31)
0.1234568,1.0,(3|36)
0.1200000,1.0,(19|7)
0.1189189,2.0,(6|33)
0.1181435,3.0,(1|39)
0.1139896,1.0,(4|34)
0.1139240,2.0,(1|40)
0.1111111,1.0,(5|44)
0.1094891,3.0,(3|39)
0.1085714,2.0,(7|34)
0.1000000,1.0,(5|42)
0.09859155,2.0,(20|3)
0.09774436,3.0,(5|41)
0.09600000,3.0,(4|43)
0.09600000,3.0,(4|44)
0.09319899,2.0,(0|37)
0.09090909,2.0,(14|12)
0.08959538,3.0,(8|33)
0.08695652,1.0,(7|42)
0.08571429,1.0,(11|38)
0.08450704,2.0,(1|25)
0.08333334,1.0,(3|37)
0.08333334,1.0,(12|39)
0.08219178,2.0,(3|43)
0.08035714,1.0,(22|1)
0.08000000,1.0,(21|12)
0.07927928,2.0,(16|2)
0.07526882,2.0,(2|34)
0.07317073,2.0,(0|36)
0.06849315,1.0,(16|5)
0.06666667,1.0,(18|5)
0.06569343,1.0,(1|37)
0.06504065,1.0,(1|36)
0.06451613,1.0,(2|35)
0.06451613,1.0,(15|10)
0.06363636,1.0,(0|25)
0.06000000,3.0,(2|36)
0.05960265,1.0,(18|6)
0.05882353,1.0,(18|4)
0.05882353,2.0,(19|10)
0.05882353,2.0,(20|10)
0.05833333,1.0,(3|34)
0.05803571,2.0,(16|15)
0.05594406,2.0,(48|5)
0.05555556,1.0,(0|31)
0.05405406,1.0,(45|38)
0.05263158,1.0,(2|1)
0.05263158,1.0,(46|27)
0.05208333,1.0,(41|2)
0.05050505,1.0,(4|2)
0.05015674,1.0,(1|35)
0.04830918,1.0,(18|3)
0.04761905,1.0,(1|41)
0.04761905,1.0,(49|31)
0.04597701,1.0,(10|1)
0.04545455,1.0,(0|34)
0.04545455,1.0,(15|3)
0.04433497,1.0,(6|4)
0.04411765,1.0,(1|38)
0.04255319,1.0,(42|45)
0.04244032,1.0,(22|3)
0.04225352,2.0,(3|44)
0.04166667,1.0,(15|0)
0.04000000,1.0,(49|6)
