Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 56 | Sales/Use (jp:56,idx:7)
Class Probability,Ex Count at BMU,BMU Map Loc
0.9931350,434.0,(33|47)
0.9872496,1084.0,(34|48)
0.9704641,460.0,(33|46)
0.9680232,333.0,(34|49)
0.9646018,109.0,(34|47)
0.9493243,281.0,(34|0)
0.8833333,106.0,(33|48)
0.7900000,79.0,(33|0)
0.7738096,65.0,(34|1)
0.6975806,173.0,(35|48)
0.6732026,103.0,(34|2)
0.6451613,20.0,(37|1)
0.6417910,129.0,(35|0)
0.5937500,95.0,(35|1)
0.5689655,132.0,(35|49)
0.5192983,148.0,(36|49)
0.5000000,41.0,(32|48)
0.5000000,41.0,(34|46)
0.5000000,2.0,(44|2)
0.4923858,97.0,(34|3)
0.4891775,113.0,(36|0)
0.4414414,49.0,(35|2)
0.4285714,39.0,(33|49)
0.4200000,21.0,(37|0)
0.4150943,22.0,(35|6)
0.3645833,35.0,(35|47)
0.3366337,34.0,(36|1)
0.3333333,1.0,(32|46)
0.3216783,46.0,(36|48)
0.2929936,46.0,(36|47)
0.2857143,2.0,(35|46)
0.2606838,61.0,(37|49)
0.2035928,68.0,(46|0)
0.1627907,7.0,(34|4)
0.1344538,16.0,(36|2)
0.1276596,18.0,(45|48)
0.1274510,26.0,(37|48)
0.1188811,17.0,(46|9)
0.1188811,17.0,(48|9)
0.1094527,22.0,(47|10)
0.1046512,18.0,(35|3)
0.09615385,5.0,(35|5)
0.09473684,9.0,(43|44)
0.09230769,18.0,(34|18)
0.09090909,2.0,(37|2)
0.07936508,5.0,(46|8)
0.07826087,18.0,(45|49)
0.07567567,14.0,(36|5)
0.07255521,23.0,(46|49)
0.07142857,4.0,(37|5)
0.07142857,1.0,(38|33)
0.06643356,19.0,(40|10)
0.06179775,11.0,(46|1)
0.06164384,9.0,(39|10)
0.06159420,17.0,(33|4)
0.06159420,17.0,(34|5)
0.05917160,10.0,(41|9)
0.05810397,19.0,(38|8)
0.05555556,3.0,(37|6)
0.05479452,8.0,(40|9)
0.05426357,7.0,(42|9)
0.05208333,5.0,(42|48)
0.04975124,10.0,(47|1)
0.04761905,17.0,(31|27)
0.04705882,4.0,(48|3)
0.04694836,10.0,(34|19)
0.04687500,6.0,(36|6)
0.04651163,2.0,(41|33)
0.04651163,2.0,(42|33)
0.04651163,2.0,(43|32)
0.04608295,10.0,(36|3)
0.04605263,7.0,(39|9)
0.04591837,9.0,(34|20)
0.04545455,4.0,(31|28)
0.04511278,6.0,(40|29)
0.04347826,1.0,(42|4)
0.04237288,5.0,(40|47)
0.04166667,4.0,(41|2)
0.04128440,9.0,(37|10)
0.04109589,3.0,(45|45)
0.04102564,8.0,(42|49)
0.03930131,9.0,(40|8)
