Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 58 | State Income (jp:58,idx:9)
Class Probability,Ex Count at BMU,BMU Map Loc
1.000000,1.0,(36|46)
0.9607024,1149.0,(38|47)
0.8741379,507.0,(37|46)
0.7517986,418.0,(38|48)
0.7129630,77.0,(37|47)
0.6813725,139.0,(37|48)
0.5299146,124.0,(37|49)
0.5000000,2.0,(37|3)
0.4838710,75.0,(39|47)
0.4716981,175.0,(37|8)
0.4713376,74.0,(36|47)
0.4531250,29.0,(38|49)
0.3822630,125.0,(38|8)
0.3774835,57.0,(36|8)
0.2960526,45.0,(39|9)
0.2911877,76.0,(36|7)
0.2873563,75.0,(37|7)
0.2808219,41.0,(39|10)
0.2797203,40.0,(36|48)
0.2685950,65.0,(35|9)
0.2622951,32.0,(39|7)
0.2514970,84.0,(46|0)
0.2435897,38.0,(38|9)
0.2345679,19.0,(39|48)
0.2222222,2.0,(41|3)
0.2187500,21.0,(32|17)
0.2187500,21.0,(46|7)
0.1989247,37.0,(36|9)
0.1954023,51.0,(37|9)
0.1953125,25.0,(36|6)
0.1929825,55.0,(36|49)
0.1904762,12.0,(46|8)
0.1886792,40.0,(45|0)
0.1853933,33.0,(46|1)
0.1621622,18.0,(35|2)
0.1619537,63.0,(44|47)
0.1596639,19.0,(36|2)
0.1555556,21.0,(41|10)
0.1466165,39.0,(39|8)
0.1428571,33.0,(36|0)
0.1428571,10.0,(39|6)
0.1368821,36.0,(44|48)
0.1333333,20.0,(38|10)
0.1328671,19.0,(46|9)
0.1328671,19.0,(48|9)
0.1328125,17.0,(38|7)
0.1326165,37.0,(41|11)
0.1320755,7.0,(35|6)
0.1296296,7.0,(37|6)
0.1230769,24.0,(34|18)
0.1223776,35.0,(40|10)
0.1214286,17.0,(36|10)
0.1188119,12.0,(36|1)
0.1094527,22.0,(47|10)
0.1087719,31.0,(40|11)
0.1043478,24.0,(45|49)
0.1032258,16.0,(46|20)
0.1013514,15.0,(38|20)
0.09677419,3.0,(39|1)
0.09589041,14.0,(40|9)
0.09230769,18.0,(42|49)
0.09189189,17.0,(36|5)
0.09090909,2.0,(37|2)
0.08988764,24.0,(45|16)
0.08928572,15.0,(45|15)
0.08866995,18.0,(40|46)
0.08609272,13.0,(40|12)
0.08542714,17.0,(46|3)
0.08450704,18.0,(34|19)
0.08450704,6.0,(42|46)
0.08333334,2.0,(38|46)
0.08296943,19.0,(40|8)
0.07960199,16.0,(44|7)
0.07552870,25.0,(34|17)
0.07291666,7.0,(41|2)
0.07207207,16.0,(45|8)
0.07207207,16.0,(48|13)
0.07142857,6.0,(34|1)
0.07142857,14.0,(34|20)
0.07142857,2.0,(45|3)
0.07042254,10.0,(47|3)
0.07031250,9.0,(43|0)
0.06976745,9.0,(43|9)
0.06849315,5.0,(46|44)
0.06774194,21.0,(38|14)
0.06735751,13.0,(43|13)
0.06698564,14.0,(46|17)
0.06666667,2.0,(47|45)
0.06644518,20.0,(47|15)
0.06606606,22.0,(46|16)
0.06422018,14.0,(37|10)
0.06395349,11.0,(35|3)
0.06382979,9.0,(41|12)
0.06382979,9.0,(45|48)
0.06315789,6.0,(43|44)
0.06201550,8.0,(42|9)
0.06000000,12.0,(17|24)
0.05882353,2.0,(39|46)
0.05825243,12.0,(47|18)
0.05813954,10.0,(31|18)
0.05600000,7.0,(46|2)
0.05555556,16.0,(42|3)
0.05405406,2.0,(43|45)
0.05370844,21.0,(46|19)
0.05263158,2.0,(42|47)
0.05228758,8.0,(36|4)
0.05228758,8.0,(48|12)
0.05223881,7.0,(44|4)
0.05208333,5.0,(42|48)
0.05140187,11.0,(44|15)
0.05042017,12.0,(48|20)
0.05000000,8.0,(35|1)
0.04975124,10.0,(47|1)
0.04873294,25.0,(41|48)
0.04827586,7.0,(46|18)
0.04778157,14.0,(44|44)
0.04761905,1.0,(31|24)
0.04651163,2.0,(34|4)
0.04651163,14.0,(40|7)
0.04615385,9.0,(47|11)
0.04545455,1.0,(34|28)
0.04545455,3.0,(45|1)
0.04545455,12.0,(47|14)
0.04528302,12.0,(44|14)
0.04477612,3.0,(44|9)
0.04464286,5.0,(44|8)
0.04444445,10.0,(43|17)
0.04398827,15.0,(39|11)
0.04395605,4.0,(46|10)
0.04347826,1.0,(44|0)
0.04320988,7.0,(41|43)
0.04310345,15.0,(32|18)
0.04242424,7.0,(47|19)
0.04232804,8.0,(43|2)
0.04166667,9.0,(44|10)
0.04147466,9.0,(43|19)
0.04123711,4.0,(33|17)
0.04109589,3.0,(45|45)
0.04081633,12.0,(41|46)
0.04034582,14.0,(44|49)
0.04000000,2.0,(37|0)
0.04000000,1.0,(44|25)
0.03940887,8.0,(40|30)
0.03921569,4.0,(45|9)
0.03916449,15.0,(37|13)
0.03846154,2.0,(38|1)
0.03846154,3.0,(45|46)
0.03821656,6.0,(38|22)
0.03806228,11.0,(43|36)
0.03802281,10.0,(46|15)
0.03791469,8.0,(31|19)
0.03791469,8.0,(38|21)
0.03773585,8.0,(43|20)
0.03614458,3.0,(40|32)
0.03517588,7.0,(39|2)
0.03482587,7.0,(43|46)
0.03474903,9.0,(39|13)
0.03448276,8.0,(42|19)
0.03428571,12.0,(36|17)
0.03389831,4.0,(43|49)
0.03370786,3.0,(48|11)
0.03370786,3.0,(49|13)
0.03333334,6.0,(46|11)
0.03333334,6.0,(48|10)
0.03314917,6.0,(36|16)
0.03271028,7.0,(42|10)
0.03225806,6.0,(41|49)
0.03131524,15.0,(34|37)
0.03125000,2.0,(12|34)
0.03125000,2.0,(19|20)
0.03100775,4.0,(41|16)
0.03081232,11.0,(39|14)
0.03076923,6.0,(43|7)
0.03076923,4.0,(47|2)
0.03067485,10.0,(44|1)
0.03030303,1.0,(44|46)
0.02996255,8.0,(41|8)
0.02906977,5.0,(42|35)
0.02898551,2.0,(40|31)
0.02884615,6.0,(43|8)
0.02777778,2.0,(33|20)
0.02770781,11.0,(43|35)
0.02764977,6.0,(36|3)
0.02689487,11.0,(48|15)
0.02686567,9.0,(35|4)
0.02666667,4.0,(33|18)
0.02666667,4.0,(46|22)
0.02642559,19.0,(43|1)
0.02594340,11.0,(48|16)
0.02592593,7.0,(39|21)
0.02564103,2.0,(47|44)
0.02553191,6.0,(44|17)
0.02542373,9.0,(32|19)
0.02523659,8.0,(47|21)
0.02500000,6.0,(38|12)
0.02453988,8.0,(35|18)
0.02450980,5.0,(42|18)
0.02390438,6.0,(30|18)
0.02380952,1.0,(49|2)
0.02366864,4.0,(41|9)
0.02352941,2.0,(49|14)
0.02343750,3.0,(39|20)
0.02325581,1.0,(42|0)
0.02307692,3.0,(37|11)
0.02290076,6.0,(38|13)
0.02214022,6.0,(39|32)
0.02164502,5.0,(38|2)
0.02158273,3.0,(42|43)
0.02136752,5.0,(43|3)
0.02135231,6.0,(41|18)
0.02127660,4.0,(43|16)
0.02105263,4.0,(38|3)
0.02105263,4.0,(41|6)
0.02105263,4.0,(46|14)
0.02105263,2.0,(48|14)
0.02083333,2.0,(46|26)
0.02051282,4.0,(48|17)
0.02040816,4.0,(36|19)
0.02000000,2.0,(41|39)
0.02000000,3.0,(45|20)
0.01990050,4.0,(35|0)
0.01973684,3.0,(43|6)
0.01960784,3.0,(34|2)
0.01960784,2.0,(44|24)
0.01923077,1.0,(35|5)
0.01923077,3.0,(41|1)
0.01923077,3.0,(41|21)
0.01898734,6.0,(42|16)
0.01886792,2.0,(42|1)
0.01851852,2.0,(45|12)
0.01785714,2.0,(36|21)
0.01785714,1.0,(37|5)
0.01769911,4.0,(40|20)
0.01739130,6.0,(48|18)
0.01724138,4.0,(35|49)
0.01724138,6.0,(39|17)
0.01724138,4.0,(41|19)
0.01724138,2.0,(41|41)
0.01714286,3.0,(41|20)
0.01712780,13.0,(36|36)
0.01694915,1.0,(34|36)
0.01694915,3.0,(40|49)
0.01694915,2.0,(47|6)
0.01689189,5.0,(36|13)
0.01683502,5.0,(29|22)
0.01683502,5.0,(31|22)
