Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 76 | Copyrights (jp:76,idx:18)
Class Probability,Ex Count at BMU,BMU Map Loc
0.5195072,253.0,(28|6)
0.4493671,284.0,(28|5)
0.3443709,52.0,(27|6)
0.2881356,17.0,(27|5)
0.1250000,1.0,(23|3)
0.1157025,14.0,(28|7)
0.09803922,10.0,(29|6)
0.09375000,3.0,(29|5)
0.08000000,10.0,(27|7)
0.07751938,10.0,(10|36)
0.07317073,3.0,(7|24)
0.06990881,23.0,(23|12)
0.06382979,3.0,(24|4)
0.05769231,6.0,(23|14)
0.05319149,5.0,(26|13)
0.04347826,4.0,(27|8)
0.04166667,4.0,(42|48)
0.04098361,5.0,(9|16)
0.04000000,1.0,(13|37)
0.03947368,3.0,(22|4)
0.03911981,16.0,(26|12)
0.03846154,2.0,(13|45)
0.03738318,12.0,(23|13)
0.03658536,3.0,(26|11)
0.03587444,8.0,(22|10)
0.03587444,8.0,(24|9)
0.03571429,2.0,(25|49)
0.03448276,4.0,(24|14)
0.03370786,3.0,(26|49)
0.03240741,7.0,(26|7)
0.03174603,2.0,(1|12)
0.03174603,2.0,(2|11)
0.03174603,2.0,(2|13)
0.03174603,2.0,(3|12)
0.03174603,2.0,(23|24)
0.03089888,11.0,(25|10)
0.03056769,7.0,(25|8)
0.03030303,1.0,(26|46)
0.03007519,4.0,(27|9)
0.02941176,5.0,(26|9)
0.02906977,5.0,(28|16)
0.02830189,6.0,(24|10)
0.02830189,3.0,(24|48)
0.02830189,3.0,(25|48)
0.02806122,11.0,(23|10)
0.02702703,5.0,(24|8)
0.02649007,4.0,(49|8)
0.02586207,3.0,(29|10)
0.02504472,14.0,(14|35)
0.02469136,2.0,(12|35)
0.02469136,2.0,(22|5)
0.02459016,9.0,(23|6)
0.02439024,1.0,(19|14)
0.02380952,1.0,(32|40)
0.02371541,12.0,(25|12)
0.02332362,8.0,(14|36)
0.02272727,5.0,(26|10)
0.02145923,5.0,(27|13)
0.02122016,8.0,(24|11)
0.02083333,2.0,(28|13)
0.02061856,6.0,(23|4)
0.02040816,4.0,(29|15)
0.01923077,2.0,(24|49)
0.01923077,1.0,(28|0)
0.01910828,3.0,(24|38)
0.01904762,2.0,(28|44)
0.01902174,7.0,(2|12)
0.01886792,1.0,(10|20)
0.01851852,1.0,(5|5)
0.01851852,1.0,(6|6)
0.01851852,3.0,(25|13)
0.01826484,4.0,(27|10)
0.01785714,2.0,(4|47)
0.01785714,2.0,(4|48)
0.01785714,1.0,(49|29)
0.01718213,5.0,(14|34)
0.01652892,2.0,(4|26)
0.01639344,2.0,(22|7)
0.01639344,1.0,(25|6)
0.01587302,2.0,(1|8)
0.01587302,2.0,(2|7)
0.01574803,2.0,(26|6)
0.01566580,6.0,(24|6)
0.01562500,2.0,(1|6)
0.01562500,2.0,(23|7)
0.01519757,5.0,(26|8)
0.01463415,6.0,(0|10)
0.01459854,4.0,(24|16)
0.01449275,1.0,(29|9)
0.01421801,3.0,(23|8)
0.01408451,5.0,(0|30)
0.01388889,1.0,(16|45)
0.01376147,3.0,(26|14)
0.01369863,1.0,(7|4)
0.01369863,1.0,(12|0)
0.01339286,3.0,(21|45)
0.01339286,3.0,(22|12)
0.01315789,5.0,(1|13)
0.01298701,1.0,(16|37)
0.01222494,5.0,(11|35)
0.01190476,1.0,(21|11)
0.01190476,3.0,(29|40)
0.01179941,4.0,(27|15)
0.01162791,1.0,(8|0)
0.01149425,2.0,(26|5)
0.01149425,1.0,(26|44)
0.01149425,1.0,(32|11)
0.01142857,2.0,(3|18)
0.01129944,2.0,(25|14)
0.01123596,1.0,(30|7)
0.01075269,1.0,(10|5)
0.01075269,1.0,(22|36)
0.01075269,1.0,(48|34)
0.01069519,2.0,(7|15)
0.01028278,4.0,(21|6)
0.01020408,1.0,(29|7)
0.01000000,2.0,(17|24)
0.009884679,6.0,(27|17)
0.009868421,3.0,(28|43)
0.009803922,1.0,(11|1)
0.009803922,2.0,(28|8)
0.009708738,1.0,(32|2)
0.009389671,2.0,(25|7)
0.009389671,2.0,(25|47)
0.009345794,1.0,(3|49)
0.009345794,1.0,(28|1)
