Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 85 | Employment (jp:85,idx:22)
Class Probability,Ex Count at BMU,BMU Map Loc
0.9007300,617.0,(23|36)
0.9007300,617.0,(23|38)
0.8659899,853.0,(23|37)
0.5930521,239.0,(9|3)
0.5044643,113.0,(24|37)
0.5000000,1.0,(5|49)
0.5000000,1.0,(13|2)
0.4716981,50.0,(8|3)
0.4695652,54.0,(10|46)
0.4461248,236.0,(12|43)
0.4263960,168.0,(11|2)
0.4020618,39.0,(12|1)
0.3939394,65.0,(13|44)
0.3882353,33.0,(10|47)
0.3846154,15.0,(7|0)
0.3744493,85.0,(14|1)
0.3706897,43.0,(8|47)
0.3684210,21.0,(13|43)
0.3636364,16.0,(9|2)
0.3636364,4.0,(22|37)
0.3486238,38.0,(13|48)
0.3466667,26.0,(14|43)
0.3448276,100.0,(25|36)
0.3434343,34.0,(9|46)
0.3426124,160.0,(15|44)
0.3333333,3.0,(5|44)
0.3333333,20.0,(9|47)
0.3333333,1.0,(14|46)
0.3333333,3.0,(14|48)
0.3312102,104.0,(6|2)
0.3281250,21.0,(9|1)
0.3269231,17.0,(13|1)
0.3200000,40.0,(12|44)
0.3142857,22.0,(9|0)
0.3076923,8.0,(10|3)
0.3030303,10.0,(10|44)
0.2988506,130.0,(25|37)
0.2983193,71.0,(6|45)
0.2978723,42.0,(12|45)
0.2962963,40.0,(14|45)
0.2947368,28.0,(9|48)
0.2941177,10.0,(11|3)
0.2911392,23.0,(10|42)
0.2884615,15.0,(6|0)
0.2878788,19.0,(7|2)
0.2876712,63.0,(2|4)
0.2835821,19.0,(5|0)
0.2818182,31.0,(7|48)
0.2788461,29.0,(12|46)
0.2764706,47.0,(8|2)
0.2758621,24.0,(10|1)
0.2684931,98.0,(9|42)
0.2643923,124.0,(14|2)
0.2636364,29.0,(13|49)
0.2631579,5.0,(12|41)
0.2622951,32.0,(13|42)
0.2619048,22.0,(6|46)
0.2594595,48.0,(6|1)
0.2571429,18.0,(11|49)
0.2566372,29.0,(8|48)
0.2564103,20.0,(11|46)
0.2500000,13.0,(13|45)
0.2413793,56.0,(8|49)
0.2375691,43.0,(11|45)
0.2343750,75.0,(13|46)
0.2307692,3.0,(4|0)
0.2288136,27.0,(7|45)
0.2250000,9.0,(25|38)
0.2238806,15.0,(5|2)
0.2238806,30.0,(10|43)
0.2222222,12.0,(9|43)
0.2180851,41.0,(10|45)
0.2127660,10.0,(4|49)
0.2125000,17.0,(9|45)
0.2101010,104.0,(5|45)
0.2016807,24.0,(3|4)
0.2016807,24.0,(5|1)
0.2000000,17.0,(8|45)
0.2000000,6.0,(15|43)
0.1983471,24.0,(10|2)
0.1940299,13.0,(12|49)
0.1875000,9.0,(15|0)
0.1858974,29.0,(8|44)
0.1851852,25.0,(7|47)
0.1836735,9.0,(10|48)
0.1818182,6.0,(26|46)
0.1785714,5.0,(49|30)
0.1781818,49.0,(13|41)
0.1755725,23.0,(11|48)
0.1754386,10.0,(13|0)
0.1720430,16.0,(10|5)
0.1707317,7.0,(2|48)
0.1660232,43.0,(14|49)
0.1642857,23.0,(10|49)
0.1621622,6.0,(11|42)
0.1602564,25.0,(8|1)
0.1587302,10.0,(3|0)
0.1587302,10.0,(3|48)
0.1573333,59.0,(14|44)
0.1568628,16.0,(11|1)
0.1509434,8.0,(11|43)
0.1428571,3.0,(15|45)
0.1406250,9.0,(7|44)
0.1401274,22.0,(24|38)
0.1398601,40.0,(48|5)
0.1397306,83.0,(14|0)
0.1375000,11.0,(7|46)
0.1363636,3.0,(9|49)
0.1346154,7.0,(6|44)
0.1304348,3.0,(15|41)
0.1296296,14.0,(5|46)
0.1279070,11.0,(8|0)
0.1272727,7.0,(10|41)
0.1264368,11.0,(9|44)
0.1232877,9.0,(2|5)
0.1232877,18.0,(7|1)
0.1224490,12.0,(49|28)
0.1198630,35.0,(33|42)
0.1190476,20.0,(0|27)
0.1176471,18.0,(2|3)
0.1176471,18.0,(3|1)
0.1138211,70.0,(11|44)
0.1136364,20.0,(7|5)
0.1124260,19.0,(9|41)
0.1111111,2.0,(7|49)
0.1086956,5.0,(11|4)
0.1030928,10.0,(6|49)
0.1023622,13.0,(48|4)
0.1010101,10.0,(4|2)
0.1000000,5.0,(5|47)
0.09677419,6.0,(4|45)
0.09677419,33.0,(14|42)
0.09589041,7.0,(12|0)
0.09523810,4.0,(8|42)
0.09210526,7.0,(14|17)
0.09195402,16.0,(3|3)
0.09183674,9.0,(1|4)
0.09090909,7.0,(6|48)
0.08695652,2.0,(7|42)
0.08695652,2.0,(18|8)
0.08666667,26.0,(42|7)
0.08637874,52.0,(11|0)
0.08181818,9.0,(2|37)
0.08045977,7.0,(8|46)
0.07980050,32.0,(6|47)
0.07812500,5.0,(12|48)
0.07692308,1.0,(34|42)
0.07633588,10.0,(1|47)
0.07602339,26.0,(12|47)
0.07547170,4.0,(33|43)
0.07482993,11.0,(48|28)
0.07407407,2.0,(19|47)
0.07317073,9.0,(7|3)
0.07142857,1.0,(32|37)
0.07036247,33.0,(22|13)
0.06976745,3.0,(27|46)
0.06965174,14.0,(0|5)
0.06735751,13.0,(4|3)
0.06666667,2.0,(2|26)
0.06666667,1.0,(14|41)
0.06572770,14.0,(25|47)
0.06493507,10.0,(10|0)
0.06349207,8.0,(10|4)
0.06250000,1.0,(0|13)
0.06250000,1.0,(3|8)
0.06250000,1.0,(5|8)
0.05917160,10.0,(8|43)
0.05917160,10.0,(15|5)
0.05905512,15.0,(41|7)
0.05882353,6.0,(19|10)
0.05882353,6.0,(20|10)
0.05555556,1.0,(26|25)
0.05482456,25.0,(32|43)
0.05405406,14.0,(5|4)
0.05263158,3.0,(13|13)
0.05263158,1.0,(20|5)
0.05000000,4.0,(0|28)
0.04761905,4.0,(21|11)
0.04651163,6.0,(42|9)
0.04494382,4.0,(16|46)
0.04347826,1.0,(3|31)
0.04166667,4.0,(5|12)
0.04054054,3.0,(49|25)
0.04000000,1.0,(4|1)
0.03960396,4.0,(30|49)
0.03867403,7.0,(49|27)
0.03846154,2.0,(23|46)
0.03846154,2.0,(28|0)
0.03802281,10.0,(5|10)
0.03802281,10.0,(5|11)
0.03703704,4.0,(11|47)
0.03636364,2.0,(30|17)
0.03636364,2.0,(31|17)
0.03614458,6.0,(26|47)
0.03581267,13.0,(25|46)
0.03571429,2.0,(2|38)
0.03571429,2.0,(49|29)
0.03561644,13.0,(17|12)
0.03508772,4.0,(22|15)
0.03496503,5.0,(5|3)
0.03496503,10.0,(15|6)
0.03482587,7.0,(44|7)
0.03389831,4.0,(14|20)
0.03370786,3.0,(26|49)
0.03243243,6.0,(26|45)
0.03225806,1.0,(9|35)
0.03201970,13.0,(19|12)
0.03201970,13.0,(20|12)
0.03191489,3.0,(49|26)
0.03174603,6.0,(22|47)
0.03157895,6.0,(41|6)
0.03125000,2.0,(12|34)
0.03125000,1.0,(32|47)
0.03105590,5.0,(47|41)
0.03105590,5.0,(48|41)
0.03098592,11.0,(0|30)
0.03076923,6.0,(43|7)
0.02970297,3.0,(11|31)
0.02941176,2.0,(18|7)
0.02816901,4.0,(8|5)
0.02803738,3.0,(3|49)
0.02797203,4.0,(1|7)
0.02797203,4.0,(49|7)
0.02745098,7.0,(43|10)
0.02652520,10.0,(24|11)
0.02631579,2.0,(21|4)
0.02631579,4.0,(43|6)
0.02617801,5.0,(4|13)
0.02597403,4.0,(14|8)
0.02597403,2.0,(14|12)
0.02597403,6.0,(41|5)
0.02580645,4.0,(33|44)
0.02564103,1.0,(17|34)
0.02564103,1.0,(19|17)
0.02500000,5.0,(30|47)
0.02475248,5.0,(42|6)
0.02439024,2.0,(0|47)
0.02439024,1.0,(13|34)
0.02419355,6.0,(15|23)
0.02409638,8.0,(40|6)
0.02348337,12.0,(32|44)
0.02343750,3.0,(1|6)
0.02284264,9.0,(7|43)
0.02238806,6.0,(3|15)
0.02222222,1.0,(45|11)
0.02197802,2.0,(40|3)
0.02173913,6.0,(42|8)
0.02127660,2.0,(8|40)
0.02071006,7.0,(13|3)
0.02040816,5.0,(17|41)
0.02000000,3.0,(19|8)
0.02000000,1.0,(21|12)
0.01980198,2.0,(36|1)
0.01954732,19.0,(27|45)
0.01941748,2.0,(4|4)
0.01941748,6.0,(26|22)
0.01898734,3.0,(26|28)
0.01886792,1.0,(0|18)
0.01876676,7.0,(14|40)
0.01856764,7.0,(22|3)
0.01846966,7.0,(28|22)
0.01809955,4.0,(0|4)
0.01796407,3.0,(20|6)
0.01785714,2.0,(4|47)
0.01785714,2.0,(4|48)
0.01785714,1.0,(25|49)
0.01769911,2.0,(48|30)
0.01704546,3.0,(2|14)
0.01702128,4.0,(3|11)
0.01694915,2.0,(24|1)
0.01666667,2.0,(17|6)
0.01639344,1.0,(14|21)
0.01639344,7.0,(20|8)
0.01627907,7.0,(19|5)
0.01612903,2.0,(1|3)
0.01612903,1.0,(2|35)
0.01612903,2.0,(49|3)
0.01574803,2.0,(19|21)
0.01562500,4.0,(26|37)
0.01525054,7.0,(37|44)
0.01515152,1.0,(16|12)
0.01515152,1.0,(21|9)
0.01515152,4.0,(49|46)
0.01509434,4.0,(21|20)
0.01500000,3.0,(2|36)
0.01492537,2.0,(44|4)
0.01477833,3.0,(6|4)
0.01470588,2.0,(21|7)
0.01470588,1.0,(23|44)
0.01464435,7.0,(15|46)
0.01459854,2.0,(30|45)
0.01449275,1.0,(7|41)
0.01449275,2.0,(14|23)
0.01449275,1.0,(17|43)
0.01449275,1.0,(47|40)
0.01449275,5.0,(48|47)
0.01441441,8.0,(46|5)
0.01441441,8.0,(47|4)
0.01441441,8.0,(47|5)
0.01435407,3.0,(1|19)
0.01428571,8.0,(0|26)
0.01428571,1.0,(16|6)
0.01408451,1.0,(42|42)
0.01398601,4.0,(40|10)
0.01382488,3.0,(44|42)
0.01376518,17.0,(25|45)
0.01374570,4.0,(14|34)
0.01369863,1.0,(7|4)
0.01369863,2.0,(16|5)
0.01369863,2.0,(39|10)
0.01369863,3.0,(48|38)
0.01369863,3.0,(48|39)
0.01360544,2.0,(15|21)
0.01340483,5.0,(21|46)
0.01339286,3.0,(25|19)
0.01333333,4.0,(29|46)
0.01333333,2.0,(45|20)
0.01328904,4.0,(40|7)
0.01321586,3.0,(15|34)
0.01298701,3.0,(0|49)
0.01291990,5.0,(26|4)
0.01290323,2.0,(8|12)
0.01286174,4.0,(15|24)
0.01282051,1.0,(19|0)
0.01282051,2.0,(38|9)
0.01282051,2.0,(49|5)
0.01277955,4.0,(48|6)
0.01265823,1.0,(14|3)
0.01255230,3.0,(44|45)
0.01241379,9.0,(27|0)
0.01204819,1.0,(3|5)
0.01204819,2.0,(29|45)
0.01204819,2.0,(30|8)
0.01190476,1.0,(15|15)
0.01190476,1.0,(15|47)
0.01166181,4.0,(14|36)
0.01162791,1.0,(4|11)
0.01162791,1.0,(4|12)
0.01162791,2.0,(31|18)
0.01162791,2.0,(45|42)
0.01162791,2.0,(45|43)
0.01153846,3.0,(22|25)
0.01123596,3.0,(41|8)
0.01115538,14.0,(40|5)
0.01111111,2.0,(46|11)
0.01111111,2.0,(48|10)
0.01102941,3.0,(18|39)
