Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 87 | Energy (jp:87,idx:24)
Class Probability,Ex Count at BMU,BMU Map Loc
0.8690702,458.0,(28|33)
0.5000000,1.0,(17|23)
0.5000000,3.0,(26|32)
0.4843750,31.0,(19|20)
0.4333333,26.0,(19|25)
0.3894390,236.0,(26|33)
0.3469388,17.0,(18|20)
0.3333333,3.0,(28|32)
0.3333333,1.0,(44|41)
0.3266129,81.0,(19|27)
0.3103448,36.0,(20|24)
0.3085714,54.0,(19|26)
0.3049645,86.0,(17|25)
0.3043478,203.0,(20|27)
0.3001988,151.0,(25|32)
0.2957198,76.0,(20|26)
0.2939394,97.0,(17|27)
0.2873563,25.0,(18|26)
0.2826087,13.0,(20|23)
0.2291667,44.0,(20|25)
0.2222222,12.0,(18|21)
0.2052067,134.0,(18|27)
0.2040816,20.0,(21|23)
0.1968504,25.0,(19|21)
0.1739130,28.0,(19|23)
0.1666667,5.0,(2|26)
0.1538462,20.0,(19|19)
0.1438597,41.0,(17|21)
0.1276596,6.0,(21|24)
0.1069182,17.0,(18|25)
0.1047297,31.0,(19|22)
0.1000000,27.0,(24|32)
0.08000000,2.0,(26|27)
0.07518797,30.0,(21|22)
0.07317073,3.0,(19|14)
0.07142857,2.0,(18|24)
0.07142857,1.0,(47|27)
0.07017544,4.0,(19|28)
0.06451613,4.0,(20|18)
0.06422018,7.0,(21|27)
0.06315789,6.0,(1|17)
0.06315789,6.0,(2|16)
0.06250000,2.0,(10|12)
0.06083650,16.0,(5|10)
0.06083650,16.0,(5|11)
0.06034483,35.0,(18|22)
0.05909091,13.0,(26|10)
0.05555556,1.0,(32|0)
0.05504587,6.0,(21|26)
0.05263158,4.0,(16|24)
0.05208333,5.0,(5|12)
0.05000000,1.0,(29|26)
0.04918033,3.0,(16|22)
0.04907975,8.0,(21|17)
0.04878049,2.0,(19|33)
0.04761905,3.0,(3|13)
0.04516129,7.0,(8|12)
0.04477612,3.0,(18|16)
0.04347826,2.0,(16|32)
0.04201681,5.0,(9|25)
0.04166667,1.0,(18|28)
0.04000000,1.0,(10|19)
0.04000000,8.0,(17|24)
0.04000000,2.0,(49|6)
0.03755869,8.0,(19|24)
0.03703704,3.0,(20|49)
0.03529412,3.0,(21|15)
0.03500000,7.0,(30|47)
0.03488372,3.0,(4|11)
0.03488372,3.0,(4|12)
0.03396226,9.0,(21|20)
0.03361345,4.0,(8|11)
0.03333334,1.0,(0|17)
0.03278688,2.0,(26|23)
0.03225806,1.0,(27|21)
0.03205128,5.0,(24|18)
0.03125000,7.0,(21|18)
0.03125000,3.0,(22|20)
0.03125000,5.0,(24|23)
0.03125000,1.0,(32|47)
0.03030303,2.0,(6|26)
0.02985075,2.0,(10|18)
0.02985075,6.0,(17|22)
0.02978723,7.0,(3|11)
0.02764977,6.0,(22|16)
0.02734375,7.0,(4|18)
0.02727273,3.0,(4|36)
0.02702703,2.0,(32|49)
0.02659575,5.0,(28|23)
0.02617801,5.0,(4|13)
0.02586207,3.0,(26|20)
0.02547771,8.0,(29|25)
0.02500000,1.0,(28|27)
0.02469136,2.0,(9|12)
0.02427184,5.0,(1|10)
0.02427184,5.0,(2|10)
0.02419355,3.0,(17|15)
0.02325581,1.0,(28|26)
0.02285714,4.0,(11|22)
0.02272727,1.0,(22|17)
0.02265372,7.0,(22|18)
0.02222222,6.0,(13|18)
0.02205882,3.0,(2|8)
0.02197802,2.0,(9|28)
0.02173913,2.0,(8|32)
0.02173913,2.0,(9|19)
0.02173913,5.0,(23|20)
0.02162162,4.0,(45|34)
0.02127660,2.0,(16|19)
0.02109705,5.0,(24|21)
0.02030457,4.0,(6|27)
0.02013423,6.0,(49|15)
0.02000000,1.0,(17|37)
