Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 90 | Environmental/Natural Resources (jp:90,idx:25)
Class Probability,Ex Count at BMU,BMU Map Loc
0.9272727,102.0,(21|19)
0.8888889,8.0,(20|21)
0.8882576,469.0,(19|18)
0.8548387,53.0,(20|18)
0.8097448,349.0,(20|19)
0.8073394,88.0,(22|19)
0.7815443,415.0,(20|20)
0.7142857,5.0,(22|21)
0.6692308,87.0,(19|19)
0.5924528,157.0,(21|20)
0.5446429,122.0,(21|18)
0.5192308,81.0,(24|18)
0.4886076,193.0,(20|17)
0.4861407,228.0,(25|18)
0.4629630,125.0,(24|19)
0.4627832,143.0,(22|18)
0.4594595,34.0,(23|21)
0.4487180,35.0,(24|20)
0.4478261,103.0,(23|20)
0.4415585,34.0,(23|19)
0.4235589,169.0,(23|18)
0.3797468,90.0,(24|21)
0.3656174,151.0,(25|22)
0.3636364,4.0,(22|22)
0.3631579,69.0,(25|21)
0.3548387,11.0,(27|21)
0.3404255,16.0,(22|14)
0.3070866,39.0,(48|26)
0.2857143,2.0,(24|0)
0.2834646,36.0,(19|21)
0.2812500,18.0,(19|20)
0.2500000,11.0,(22|17)
0.2500000,24.0,(22|20)
0.2435530,85.0,(24|22)
0.2098214,47.0,(25|19)
0.2010050,40.0,(23|22)
0.1865672,25.0,(25|20)
0.1851852,15.0,(25|23)
0.1632653,16.0,(21|23)
0.1558442,12.0,(26|24)
0.1520270,45.0,(19|22)
0.1486486,11.0,(49|25)
0.1363636,9.0,(21|21)
0.1353384,54.0,(21|22)
0.1304348,6.0,(20|23)
0.1136364,5.0,(2|15)
0.1136364,5.0,(3|14)
0.1111111,1.0,(15|42)
0.1104295,18.0,(21|17)
0.1063830,5.0,(21|24)
0.09259259,5.0,(3|7)
0.08421053,8.0,(9|17)
0.08333334,1.0,(20|16)
0.07692308,2.0,(10|3)
0.07142857,1.0,(47|27)
0.06666667,1.0,(27|23)
0.06617647,9.0,(21|7)
0.06315789,6.0,(1|17)
0.06315789,6.0,(2|16)
0.06122449,3.0,(18|20)
0.05882353,4.0,(30|26)
0.05769231,6.0,(23|14)
0.05747126,5.0,(29|23)
0.05325444,9.0,(4|19)
0.05241935,13.0,(19|27)
0.05151515,17.0,(17|27)
0.05084746,3.0,(3|6)
0.05084746,3.0,(4|6)
0.04819277,8.0,(26|47)
0.04819277,8.0,(30|8)
0.04761905,2.0,(0|6)
0.04761905,1.0,(21|42)
0.04761905,7.0,(48|28)
0.04310345,5.0,(26|20)
0.04166667,7.0,(13|4)
0.04166667,1.0,(18|28)
0.04000000,1.0,(10|19)
0.04000000,2.0,(25|24)
0.03981623,26.0,(18|27)
0.03846154,2.0,(35|5)
0.03787879,5.0,(22|23)
0.03787879,5.0,(23|23)
0.03773585,2.0,(10|20)
0.03738318,4.0,(3|49)
0.03649635,5.0,(27|20)
0.03603604,20.0,(46|5)
0.03603604,20.0,(47|4)
0.03603604,20.0,(47|5)
0.03508772,2.0,(15|17)
0.03424658,5.0,(16|5)
0.03361345,4.0,(9|25)
0.03333334,1.0,(2|26)
0.03333334,5.0,(3|19)
0.03236246,10.0,(26|22)
0.03197674,11.0,(22|0)
0.03191489,6.0,(28|23)
0.03174603,4.0,(1|8)
0.03174603,4.0,(2|7)
0.03125000,2.0,(8|25)
0.03125000,1.0,(18|9)
0.03098592,11.0,(0|30)
0.03061225,3.0,(17|9)
0.03030303,11.0,(13|9)
0.02995392,13.0,(22|27)
0.02985075,6.0,(17|22)
0.02980132,9.0,(18|6)
0.02958580,10.0,(13|3)
0.02954545,13.0,(29|24)
0.02941176,3.0,(21|49)
0.02830189,3.0,(6|12)
0.02830189,3.0,(20|9)
0.02816901,4.0,(8|5)
0.02777778,1.0,(14|14)
0.02739726,2.0,(7|4)
0.02666667,4.0,(11|11)
0.02631579,2.0,(21|4)
0.02631579,2.0,(46|30)
0.02577320,10.0,(9|5)
0.02576112,11.0,(20|8)
0.02564103,3.0,(0|14)
0.02564103,1.0,(19|17)
0.02500000,4.0,(24|23)
0.02479339,3.0,(28|25)
0.02463054,5.0,(2|20)
0.02439024,1.0,(19|14)
0.02413793,14.0,(18|22)
0.02387268,9.0,(22|3)
0.02339181,4.0,(14|9)
0.02325581,1.0,(34|4)
0.02298851,2.0,(18|26)
0.02285714,4.0,(19|26)
0.02248876,15.0,(20|27)
0.02247191,2.0,(48|11)
0.02247191,2.0,(49|13)
0.02238806,3.0,(5|20)
0.02222222,4.0,(20|7)
0.02205882,3.0,(2|8)
0.02203857,8.0,(21|28)
0.02191781,8.0,(17|12)
0.02164502,5.0,(1|9)
0.02164502,5.0,(2|9)
0.02150538,2.0,(10|5)
0.02142857,3.0,(2|17)
0.02110818,8.0,(28|22)
0.02105263,6.0,(17|21)
0.02083333,2.0,(28|46)
0.02079723,12.0,(12|4)
0.02040816,1.0,(47|28)
0.02040816,2.0,(49|28)
0.01960784,4.0,(10|17)
0.01923077,1.0,(15|9)
0.01923077,1.0,(28|0)
0.01886792,1.0,(21|41)
0.01863354,3.0,(19|23)
0.01851852,5.0,(24|32)
0.01818182,1.0,(0|29)
0.01818182,1.0,(10|41)
0.01807229,3.0,(5|19)
0.01801802,2.0,(9|32)
0.01785714,6.0,(7|19)
0.01785714,1.0,(23|0)
0.01702128,4.0,(3|11)
0.01694915,1.0,(5|25)
0.01694915,2.0,(47|6)
0.01680672,2.0,(8|11)
0.01666667,2.0,(3|34)
