Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 91 | ERISA (jp:91,idx:26)
Class Probability,Ex Count at BMU,BMU Map Loc
0.8333333,10.0,(33|45)
0.6862745,315.0,(37|44)
0.5000000,1.0,(1|14)
0.5000000,1.0,(31|43)
0.4615385,36.0,(0|44)
0.4615385,54.0,(1|49)
0.4583333,11.0,(0|45)
0.4555556,41.0,(3|47)
0.4444444,8.0,(37|45)
0.4421053,42.0,(1|48)
0.4420290,61.0,(1|46)
0.4226804,41.0,(2|46)
0.4210526,16.0,(1|44)
0.4102564,96.0,(36|44)
0.4077670,42.0,(1|0)
0.4064516,63.0,(33|44)
0.4052533,216.0,(38|43)
0.4047619,17.0,(1|45)
0.4000000,74.0,(3|46)
0.3943662,28.0,(49|49)
0.3941606,54.0,(37|43)
0.3870968,204.0,(38|44)
0.3780488,31.0,(0|47)
0.3750000,120.0,(49|48)
0.3716814,42.0,(2|0)
0.3684210,7.0,(49|0)
0.3664922,70.0,(2|47)
0.3519553,63.0,(0|48)
0.3473684,66.0,(48|48)
0.3266667,49.0,(2|49)
0.3266667,49.0,(4|46)
0.3248792,269.0,(30|35)
0.3246753,75.0,(0|49)
0.3239437,23.0,(3|45)
0.3181818,56.0,(0|0)
0.3170732,13.0,(2|48)
0.3157895,30.0,(49|44)
0.3136000,196.0,(36|45)
0.3053435,40.0,(1|47)
0.3016241,130.0,(0|1)
0.3016241,130.0,(0|2)
0.2982456,17.0,(49|47)
0.2957746,21.0,(47|47)
0.2857143,2.0,(48|45)
0.2719665,65.0,(34|44)
0.2700587,138.0,(32|44)
0.2641509,14.0,(34|45)
0.2623574,69.0,(36|43)
0.2521739,87.0,(48|47)
0.2470588,21.0,(35|42)
0.2380952,5.0,(49|45)
0.2355556,53.0,(41|44)
0.2187500,7.0,(48|46)
0.2181818,24.0,(34|43)
0.2148760,26.0,(0|46)
0.2027972,29.0,(0|43)
0.2000000,1.0,(3|2)
0.2000000,2.0,(34|41)
0.2000000,4.0,(47|46)
0.1969697,26.0,(1|2)
0.1886792,10.0,(33|43)
0.1794872,7.0,(42|44)
0.1742160,50.0,(1|1)
0.1717557,45.0,(35|43)
0.1587302,10.0,(3|0)
0.1587302,10.0,(3|48)
0.1578947,3.0,(37|42)
0.1553030,41.0,(49|46)
0.1388889,10.0,(38|42)
0.1250000,1.0,(8|30)
0.1237113,12.0,(35|45)
0.1138211,42.0,(40|44)
0.1089109,11.0,(11|31)
0.1044776,7.0,(39|5)
0.09677419,6.0,(6|7)
0.09589041,28.0,(33|42)
0.08823530,9.0,(2|30)
0.08695652,4.0,(11|4)
0.08620690,25.0,(9|4)
0.08602151,8.0,(10|5)
0.08247422,8.0,(6|49)
0.08064516,5.0,(4|45)
0.08000000,4.0,(5|47)
0.07692308,1.0,(5|29)
0.07692308,1.0,(34|42)
0.07368421,49.0,(35|44)
0.07189543,11.0,(2|3)
0.07189543,11.0,(3|1)
0.07189543,11.0,(48|12)
0.07142857,2.0,(10|31)
0.06666667,2.0,(15|43)
0.06349207,8.0,(10|4)
0.06250000,1.0,(16|18)
0.05952381,5.0,(21|11)
0.05726872,13.0,(4|8)
0.05479452,4.0,(7|4)
0.05405406,2.0,(43|45)
0.05263158,1.0,(12|41)
0.05263158,1.0,(49|43)
0.05232558,9.0,(10|30)
0.05217391,6.0,(10|32)
0.05128205,4.0,(11|46)
0.05050505,5.0,(9|46)
0.04901961,5.0,(40|42)
0.04761905,2.0,(0|6)
0.04694836,10.0,(25|47)
0.04575163,14.0,(4|9)
0.04545455,1.0,(6|29)
0.04545455,1.0,(16|23)
0.04516129,7.0,(40|43)
0.04494382,4.0,(48|11)
0.04494382,4.0,(49|13)
0.04464286,10.0,(24|37)
0.04444445,2.0,(45|11)
0.04347826,1.0,(7|42)
0.04324324,8.0,(39|42)
0.04285714,3.0,(7|33)
0.04237288,5.0,(7|45)
0.04225352,3.0,(3|44)
0.04166667,1.0,(38|46)
0.04142012,7.0,(9|41)
0.04109589,9.0,(48|38)
0.04109589,9.0,(48|39)
0.04095563,12.0,(44|44)
0.04065040,5.0,(7|3)
0.04000000,1.0,(4|1)
0.04000000,8.0,(17|24)
0.03968254,5.0,(2|45)
0.03947368,3.0,(46|30)
0.03846154,2.0,(6|44)
0.03846154,1.0,(46|39)
0.03797468,3.0,(10|42)
0.03731343,5.0,(10|43)
0.03703704,5.0,(2|43)
0.03703704,5.0,(2|44)
0.03686636,8.0,(44|42)
0.03658536,3.0,(0|36)
0.03636364,2.0,(10|41)
0.03636364,4.0,(13|49)
0.03608247,14.0,(9|5)
0.03571429,3.0,(6|46)
0.03571429,1.0,(18|24)
0.03508772,2.0,(13|43)
0.03488372,3.0,(4|11)
0.03488372,3.0,(4|12)
0.03448276,1.0,(8|41)
0.03389831,2.0,(3|6)
0.03389831,2.0,(4|6)
0.03347280,8.0,(44|45)
0.03278688,2.0,(16|22)
0.03205128,5.0,(49|5)
0.03100775,4.0,(6|8)
0.03083701,7.0,(43|37)
0.03070175,7.0,(4|38)
0.03041825,8.0,(46|15)
0.03030303,3.0,(4|2)
0.03030303,11.0,(25|46)
0.03030303,2.0,(30|9)
0.02962963,4.0,(45|4)
0.02912621,3.0,(41|42)
0.02884615,3.0,(12|46)
0.02884615,3.0,(31|15)
0.02857143,2.0,(9|0)
0.02857143,1.0,(29|2)
0.02840909,5.0,(2|14)
0.02821317,9.0,(47|16)
0.02816901,2.0,(20|3)
0.02803738,3.0,(3|49)
0.02758621,4.0,(46|18)
0.02739726,12.0,(13|31)
0.02739726,2.0,(46|44)
0.02702703,2.0,(49|25)
0.02666667,4.0,(19|44)
0.02631579,1.0,(0|11)
0.02631579,10.0,(1|13)
0.02631579,1.0,(2|1)
0.02631579,2.0,(22|4)
0.02617801,5.0,(4|13)
0.02614379,4.0,(18|23)
0.02580645,4.0,(8|12)
0.02564103,3.0,(0|14)
0.02564103,4.0,(8|44)
0.02564103,1.0,(19|17)
0.02545455,7.0,(13|41)
0.02521008,3.0,(3|4)
0.02521008,3.0,(5|1)
0.02500000,1.0,(7|6)
0.02487562,5.0,(0|5)
0.02439024,1.0,(13|34)
0.02439024,3.0,(45|40)
0.02395210,4.0,(48|35)
0.02380952,1.0,(8|42)
0.02380952,4.0,(35|17)
0.02380952,7.0,(41|46)
0.02380952,3.0,(44|11)
0.02373418,15.0,(28|5)
0.02321429,13.0,(0|26)
0.02272727,4.0,(7|5)
0.02247191,2.0,(26|49)
0.02222222,3.0,(12|32)
0.02197802,2.0,(49|41)
0.02194357,7.0,(49|17)
0.02173913,1.0,(12|26)
0.02173913,1.0,(16|32)
0.02162162,4.0,(6|1)
0.02145923,5.0,(46|32)
0.02127660,5.0,(3|11)
0.02127660,1.0,(4|49)
0.02120141,6.0,(44|34)
0.02074689,5.0,(15|22)
0.02061856,2.0,(12|30)
0.02061856,2.0,(33|17)
0.02054795,3.0,(7|1)
0.02040816,1.0,(47|28)
0.01973684,3.0,(40|4)
0.01973684,3.0,(49|32)
0.01923077,1.0,(6|0)
0.01923077,1.0,(28|0)
0.01923077,3.0,(44|40)
0.01913876,4.0,(6|10)
0.01897810,13.0,(23|36)
0.01897810,13.0,(23|38)
0.01895735,8.0,(35|34)
0.01890359,10.0,(12|43)
0.01886792,2.0,(8|3)
0.01886792,1.0,(35|21)
0.01886792,1.0,(42|39)
0.01877934,4.0,(19|24)
0.01875000,3.0,(43|14)
0.01872659,5.0,(41|8)
0.01851852,2.0,(11|47)
0.01851852,3.0,(41|43)
0.01851852,4.0,(44|10)
0.01818182,2.0,(0|7)
0.01818182,2.0,(2|37)
0.01801802,10.0,(46|5)
0.01801802,10.0,(47|4)
0.01801802,10.0,(47|5)
0.01796407,3.0,(44|33)
0.01785714,2.0,(13|26)
0.01764706,3.0,(8|2)
0.01748252,5.0,(48|5)
0.01725888,17.0,(23|37)
0.01714286,3.0,(3|18)
0.01689189,5.0,(49|18)
0.01639344,2.0,(13|42)
0.01639344,2.0,(39|7)
0.01630435,3.0,(42|40)
0.01628665,5.0,(39|44)
0.01621622,3.0,(6|33)
0.01595745,3.0,(15|31)
0.01587302,2.0,(1|8)
0.01587302,1.0,(1|12)
0.01587302,2.0,(2|7)
0.01587302,1.0,(2|11)
0.01587302,1.0,(2|13)
0.01587302,3.0,(2|33)
0.01587302,1.0,(2|41)
0.01587302,1.0,(3|12)
0.01587302,1.0,(3|13)
0.01562500,3.0,(8|37)
0.01562500,2.0,(27|48)
0.01562500,2.0,(43|0)
0.01552106,7.0,(9|33)
0.01544402,4.0,(5|4)
0.01538462,1.0,(45|27)
0.01515152,1.0,(12|33)
0.01515152,2.0,(44|35)
0.01515152,2.0,(49|9)
0.01476015,4.0,(49|12)
0.01449275,1.0,(43|40)
0.01449275,2.0,(49|40)
0.01442308,3.0,(47|34)
0.01438849,2.0,(42|43)
0.01408451,1.0,(42|42)
0.01401869,3.0,(46|37)
0.01395349,6.0,(19|5)
0.01393728,4.0,(44|32)
0.01391650,7.0,(21|34)
0.01369863,1.0,(2|5)
0.01369863,1.0,(29|0)
0.01369863,2.0,(39|10)
0.01360544,2.0,(48|28)
0.01333333,1.0,(14|43)
0.01328904,8.0,(11|0)
0.01307190,2.0,(33|12)
0.01298701,2.0,(10|0)
0.01298701,3.0,(41|5)
0.01284797,6.0,(15|44)
0.01276596,3.0,(22|26)
0.01273885,2.0,(24|38)
0.01269036,5.0,(7|43)
0.01265823,3.0,(1|39)
0.01241379,9.0,(27|0)
0.01240695,5.0,(9|3)
0.01234568,1.0,(3|38)
0.01219512,1.0,(32|48)
0.01219512,1.0,(34|46)
0.01202405,6.0,(14|32)
0.01197605,2.0,(4|35)
0.01183432,2.0,(41|9)
0.01176471,1.0,(8|45)
0.01159420,4.0,(48|18)
0.01152738,4.0,(47|17)
0.01149425,2.0,(3|3)
0.01149425,1.0,(8|46)
0.01149425,1.0,(10|1)
0.01142857,2.0,(42|37)
0.01136364,2.0,(46|24)
0.01127820,3.0,(39|8)
0.01111111,2.0,(14|30)
0.01111111,1.0,(24|24)
0.01111111,2.0,(46|11)
0.01111111,2.0,(48|10)
0.01107011,3.0,(11|32)
