Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 108 | Intellectual Property (jp:108,idx:33)
Class Probability,Ex Count at BMU,BMU Map Loc
0.9325843,913.0,(29|37)
0.5405405,20.0,(29|38)
0.5000000,1.0,(25|4)
0.4811321,102.0,(24|10)
0.4285714,3.0,(21|8)
0.4285714,3.0,(28|37)
0.4078947,31.0,(33|41)
0.3913043,9.0,(33|39)
0.3902439,32.0,(28|39)
0.3811659,85.0,(22|10)
0.3811659,85.0,(24|9)
0.3787879,25.0,(31|42)
0.3779528,48.0,(26|6)
0.3771930,43.0,(31|41)
0.3750000,6.0,(28|4)
0.3652695,61.0,(24|7)
0.3633880,133.0,(32|42)
0.3571429,140.0,(23|10)
0.3520000,44.0,(27|7)
0.3449782,79.0,(25|8)
0.3413174,57.0,(23|9)
0.3379630,73.0,(26|7)
0.3333333,1.0,(20|37)
0.3333333,1.0,(32|46)
0.3274021,276.0,(28|38)
0.3229630,218.0,(29|39)
0.3189189,59.0,(24|8)
0.3117647,53.0,(26|9)
0.3095238,13.0,(32|40)
0.3046875,39.0,(23|7)
0.3043478,28.0,(27|8)
0.3002611,115.0,(24|6)
0.2985782,63.0,(23|8)
0.2931035,34.0,(24|14)
0.2892157,59.0,(22|11)
0.2833333,17.0,(27|11)
0.2831050,62.0,(27|10)
0.2826748,93.0,(23|12)
0.2812500,9.0,(29|5)
0.2760736,135.0,(22|8)
0.2727273,3.0,(23|5)
0.2723005,58.0,(25|7)
0.2713937,111.0,(26|12)
0.2704918,33.0,(22|7)
0.2622951,96.0,(23|6)
0.2608696,6.0,(0|8)
0.2608696,6.0,(48|8)
0.2500000,4.0,(0|13)
0.2500000,1.0,(0|24)
0.2500000,2.0,(3|10)
0.2500000,2.0,(23|3)
0.2446809,23.0,(26|13)
0.2439024,20.0,(26|11)
0.2389241,151.0,(28|5)
0.2345679,38.0,(25|13)
0.2295082,14.0,(25|6)
0.2272727,50.0,(26|10)
0.2251656,34.0,(49|8)
0.2195122,36.0,(22|9)
0.2193676,111.0,(25|12)
0.2159091,38.0,(25|5)
0.2156863,22.0,(29|6)
0.2134831,76.0,(25|10)
0.2127660,10.0,(24|4)
0.2127660,70.0,(26|8)
0.2115385,22.0,(24|49)
0.2093023,27.0,(10|36)
0.2033898,12.0,(27|5)
0.2030075,27.0,(27|9)
0.2000000,1.0,(1|5)
0.2000000,2.0,(11|36)
0.1920530,29.0,(27|6)
0.1919831,91.0,(32|41)
0.1875000,6.0,(32|47)
0.1842105,21.0,(22|15)
0.1830357,41.0,(22|12)
0.1764706,3.0,(12|36)
0.1760300,47.0,(27|4)
0.1666667,2.0,(12|39)
0.1666667,1.0,(23|15)
0.1648199,119.0,(30|41)
0.1642710,80.0,(28|6)
0.1538462,10.0,(27|44)
0.1515152,15.0,(25|9)
0.1458886,55.0,(24|11)
0.1433022,46.0,(23|13)
0.1428571,1.0,(24|0)
0.1428571,1.0,(27|38)
0.1379310,16.0,(27|14)
0.1326531,26.0,(29|15)
0.1316726,111.0,(26|40)
0.1301370,19.0,(30|12)
0.1300000,13.0,(29|41)
0.1293706,37.0,(26|16)
0.1267606,18.0,(30|40)
0.1256831,23.0,(29|12)
0.1250000,2.0,(16|18)
0.1250000,13.0,(23|14)
0.1250000,2.0,(26|48)
0.1250000,16.0,(28|9)
0.1250000,7.0,(49|29)
0.1231884,17.0,(27|39)
0.1227437,34.0,(28|14)
0.1209440,41.0,(27|15)
0.1190476,30.0,(29|40)
0.1186441,21.0,(25|14)
0.1176471,18.0,(10|37)
0.1157025,14.0,(28|7)
0.1151316,35.0,(28|43)
0.1145833,11.0,(28|13)
0.1121951,46.0,(0|10)
0.1111111,9.0,(12|35)
0.1111111,1.0,(27|43)
0.1103448,16.0,(28|42)
0.1100917,24.0,(26|14)
0.1078431,11.0,(27|42)
0.1073684,51.0,(11|37)
0.1072961,25.0,(27|13)
0.1032864,22.0,(31|13)
0.1030534,27.0,(27|12)
0.1000000,1.0,(23|11)
0.1000000,1.0,(24|12)
0.1000000,1.0,(24|13)
0.1000000,2.0,(26|42)
0.09962406,53.0,(27|41)
0.09782609,36.0,(2|12)
0.09770115,17.0,(26|5)
0.09271523,28.0,(27|16)
0.09223301,19.0,(26|17)
0.09195402,16.0,(29|49)
0.09123435,51.0,(14|35)
0.09090909,2.0,(9|21)
0.09090909,4.0,(34|6)
0.09090909,4.0,(35|7)
0.09090909,4.0,(35|8)
0.09045226,18.0,(31|6)
0.08974359,21.0,(30|14)
0.08854166,17.0,(28|10)
0.08801956,36.0,(11|35)
0.08695652,2.0,(24|17)
0.08695652,4.0,(25|11)
0.08636364,19.0,(33|13)
0.08614232,23.0,(28|12)
0.08571429,3.0,(11|38)
0.08421053,16.0,(29|14)
0.08333334,7.0,(21|11)
0.08298755,20.0,(26|15)
0.08268734,32.0,(26|4)
0.08139535,14.0,(28|16)
0.08064516,20.0,(25|15)
0.08045977,7.0,(32|11)
0.08029197,22.0,(24|16)
0.08024691,13.0,(32|13)
0.08000000,4.0,(21|12)
0.07929515,18.0,(15|34)
0.07894737,6.0,(11|34)
0.07865169,7.0,(30|7)
0.07843138,8.0,(10|35)
0.07812500,10.0,(1|6)
0.07792208,30.0,(27|40)
0.07758620,9.0,(30|42)
0.07756232,28.0,(1|11)
0.07665505,22.0,(25|16)
0.07407407,6.0,(22|5)
0.07377049,9.0,(31|40)
0.07291666,7.0,(42|48)
0.07216495,21.0,(23|4)
0.07142857,4.0,(2|38)
0.07142857,3.0,(29|44)
0.06976745,3.0,(27|46)
0.06770834,26.0,(24|15)
0.06666667,2.0,(2|6)
0.06666667,7.0,(28|44)
0.06626506,11.0,(30|8)
0.06481481,7.0,(5|46)
0.06413994,22.0,(14|36)
0.06338028,18.0,(32|7)
0.06250000,4.0,(12|34)
0.06250000,11.0,(31|12)
0.06250000,2.0,(49|34)
0.06194690,14.0,(29|13)
0.06172840,5.0,(4|37)
0.06097561,10.0,(32|12)
0.06072874,30.0,(10|34)
0.06060606,2.0,(26|46)
0.06060606,4.0,(30|9)
0.06000000,3.0,(32|16)
0.05936073,13.0,(30|15)
0.05932203,7.0,(24|1)
0.05882353,13.0,(28|40)
0.05844156,9.0,(33|8)
0.05769231,6.0,(31|15)
0.05617978,10.0,(31|7)
0.05607476,12.0,(31|14)
0.05526770,32.0,(29|4)
0.05508475,13.0,(30|13)
0.05479452,4.0,(2|5)
0.05454545,6.0,(2|37)
0.05345912,34.0,(23|16)
0.05309734,12.0,(28|15)
0.05263158,20.0,(1|13)
