Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 111 | International Trade (jp:111,idx:35)
Class Probability,Ex Count at BMU,BMU Map Loc
0.7340425,276.0,(31|2)
0.7236842,55.0,(32|1)
0.6259351,251.0,(32|3)
0.6143791,94.0,(31|1)
0.4000000,44.0,(31|0)
0.3579766,92.0,(31|49)
0.3157895,6.0,(29|1)
0.3106796,32.0,(32|2)
0.2777778,5.0,(32|0)
0.2470588,21.0,(30|1)
0.2352941,24.0,(30|0)
0.2112676,15.0,(30|2)
0.1834862,20.0,(31|3)
0.1485149,15.0,(30|49)
0.06060606,2.0,(26|46)
0.04838710,6.0,(1|15)
0.03773585,2.0,(11|14)
0.03448276,2.0,(12|13)
0.03012048,5.0,(26|47)
0.02739726,2.0,(29|0)
0.02702703,2.0,(32|49)
0.02500000,2.0,(11|13)
0.02222222,1.0,(13|36)
0.02197802,6.0,(13|38)
0.02127660,1.0,(4|49)
0.01785714,2.0,(22|1)
0.01600000,2.0,(8|14)
0.01562500,2.0,(1|6)
0.01515152,1.0,(16|12)
0.01515152,1.0,(21|9)
0.01315789,1.0,(21|4)
0.01298701,1.0,(14|12)
0.01250000,1.0,(0|28)
0.01234568,1.0,(4|37)
0.01183432,2.0,(8|43)
0.01123596,1.0,(30|7)
0.01098901,1.0,(13|11)
0.01041667,1.0,(22|20)
0.01038961,4.0,(3|42)
0.009803922,1.0,(40|42)
0.009756098,2.0,(15|7)
0.009708738,2.0,(1|10)
0.009708738,2.0,(2|10)
0.009316770,3.0,(25|0)
0.009259259,1.0,(5|46)
0.009090909,1.0,(2|37)
0.008928572,2.0,(22|12)
0.007575758,1.0,(22|23)
0.007575758,1.0,(23|23)
0.007352941,2.0,(18|39)
0.006622517,2.0,(18|6)
0.006097561,1.0,(22|9)
0.005917160,1.0,(9|41)
0.005813953,1.0,(6|41)
0.005813953,2.0,(22|0)
0.005747126,1.0,(29|49)
0.005586592,1.0,(0|48)
0.005434783,1.0,(5|6)
0.005235602,1.0,(4|13)
0.004975124,1.0,(17|22)
0.004975124,1.0,(24|2)
0.004524887,1.0,(14|31)
0.004484305,1.0,(1|20)
0.004444445,1.0,(15|36)
0.004048583,2.0,(15|33)
0.003724395,2.0,(46|38)
0.003603604,2.0,(46|5)
0.003603604,2.0,(47|4)
0.003603604,2.0,(47|5)
0.003577817,2.0,(14|35)
0.003460208,1.0,(7|18)
0.003058104,1.0,(17|45)
0.002915452,1.0,(14|36)
0.002857143,1.0,(39|41)
0.002808989,1.0,(25|10)
0.002739726,1.0,(17|12)
0.002652520,1.0,(22|3)
0.002583979,1.0,(26|4)
0.002551020,1.0,(23|10)
0.002463054,1.0,(19|12)
0.002463054,1.0,(20|12)
0.002358491,1.0,(16|38)
0.002341920,1.0,(28|2)
0.002320186,1.0,(0|1)
0.002320186,1.0,(0|2)
0.002217295,1.0,(9|33)
0.002202643,1.0,(18|15)
0.002150538,2.0,(14|5)
0.002105263,1.0,(11|37)
0.002096436,1.0,(48|44)
0.002087683,1.0,(5|43)
0.002004008,1.0,(14|32)
0.001481481,1.0,(29|39)
