Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 122 | Municipal Law/Eminent Domain (jp:122,idx:38)
Class Probability,Ex Count at BMU,BMU Map Loc
0.6596306,250.0,(28|22)
0.6000000,9.0,(27|23)
0.5000000,94.0,(28|23)
0.4772727,210.0,(29|24)
0.4342105,132.0,(27|24)
0.4338235,354.0,(28|24)
0.4285714,3.0,(27|22)
0.4262295,26.0,(26|23)
0.3636364,44.0,(28|25)
0.3529412,96.0,(30|25)
0.3333333,6.0,(30|24)
0.2873563,25.0,(29|23)
0.2207792,17.0,(26|24)
0.1666667,3.0,(26|25)
0.1369427,43.0,(29|25)
0.1304348,6.0,(20|23)
0.1165049,36.0,(26|22)
0.1020408,10.0,(1|4)
0.1000000,5.0,(25|24)
0.05000000,1.0,(29|26)
0.04285714,3.0,(27|25)
0.02955665,6.0,(6|4)
0.02597403,2.0,(20|1)
0.02127660,1.0,(4|49)
0.02105263,2.0,(1|17)
0.02105263,2.0,(2|16)
0.02040816,1.0,(16|14)
0.02040816,1.0,(47|28)
0.02020202,2.0,(4|2)
0.01941748,2.0,(19|4)
0.01923077,1.0,(23|46)
0.01612903,1.0,(6|7)
0.01562500,1.0,(10|25)
0.01503759,6.0,(21|22)
0.01492537,3.0,(0|5)
0.01369863,2.0,(37|41)
0.01351351,1.0,(49|25)
0.01231527,5.0,(19|12)
0.01231527,5.0,(20|12)
0.01176471,1.0,(8|45)
0.01169591,2.0,(48|33)
0.01149425,2.0,(26|5)
0.01123596,2.0,(8|4)
0.01047120,2.0,(4|13)
0.01036269,2.0,(4|3)
0.01030928,3.0,(14|34)
0.009433962,1.0,(20|9)
0.009433962,3.0,(25|25)
0.009389671,2.0,(25|47)
0.009259259,1.0,(5|46)
0.009049774,2.0,(0|4)
0.008928572,2.0,(22|12)
0.008888889,2.0,(21|5)
0.008888889,2.0,(22|6)
0.008695652,1.0,(10|46)
0.008583691,2.0,(5|24)
0.008528785,4.0,(22|13)
0.008403362,1.0,(8|11)
0.007957560,3.0,(22|3)
0.007692308,2.0,(22|25)
0.007547170,2.0,(21|20)
0.007207207,4.0,(46|5)
0.007207207,4.0,(47|4)
0.007207207,4.0,(47|5)
0.007042253,1.0,(8|5)
0.006993007,2.0,(48|5)
0.006872852,2.0,(23|4)
0.006711409,1.0,(7|37)
0.006666667,1.0,(19|8)
0.006578947,1.0,(49|32)
0.006410256,1.0,(44|40)
0.006289308,3.0,(48|44)
0.006250000,1.0,(24|23)
0.006211180,1.0,(19|23)
0.005882353,1.0,(8|2)
0.005681818,1.0,(8|7)
0.005681818,1.0,(28|3)
0.005633803,2.0,(0|30)
0.005434783,1.0,(42|40)
0.005291005,1.0,(6|17)
0.005291005,1.0,(12|38)
0.005208333,1.0,(20|25)
0.005172414,3.0,(18|22)
0.004901961,1.0,(16|31)
0.004878049,1.0,(15|7)
0.004784689,1.0,(1|19)
0.004716981,2.0,(16|38)
0.004694836,1.0,(19|24)
0.004683841,2.0,(20|8)
0.004424779,1.0,(28|15)
0.004273504,1.0,(21|13)
0.004255319,1.0,(22|26)
0.003891051,1.0,(20|26)
0.003496503,2.0,(4|10)
0.003378378,1.0,(19|22)
0.003164557,1.0,(20|47)
0.002932551,1.0,(14|42)
0.002915452,1.0,(45|39)
0.002754821,1.0,(21|28)
0.002754821,1.0,(25|46)
0.002739726,1.0,(17|12)
0.002710027,1.0,(25|28)
0.002680965,1.0,(21|46)
0.002666667,1.0,(14|44)
0.002604167,1.0,(24|40)
0.002597403,1.0,(3|42)
0.002570694,1.0,(21|6)
0.002551020,1.0,(23|10)
0.002544529,1.0,(17|49)
0.002369668,1.0,(35|34)
0.002222222,1.0,(20|0)
0.002169197,1.0,(17|3)
0.002150538,2.0,(14|5)
0.002024292,1.0,(15|33)
0.001862197,1.0,(46|38)
0.001855288,1.0,(16|28)
0.001848429,1.0,(4|21)
0.001455604,1.0,(9|27)
0.001282051,1.0,(24|33)
0.001160093,1.0,(19|32)
0.001158749,1.0,(6|3)
