Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 123 | Patents (jp:123,idx:39)
Class Probability,Ex Count at BMU,BMU Map Loc
0.9490950,839.0,(30|37)
0.5000000,1.0,(27|18)
0.5000000,2.0,(28|17)
0.4946237,46.0,(29|11)
0.4832536,202.0,(33|16)
0.4811083,573.0,(30|38)
0.4792576,439.0,(33|40)
0.4708029,129.0,(32|15)
0.4633205,120.0,(33|15)
0.4575163,70.0,(33|12)
0.4563492,115.0,(30|16)
0.4541063,188.0,(32|39)
0.4505929,114.0,(32|14)
0.4496855,286.0,(23|16)
0.4492754,62.0,(27|39)
0.4469697,59.0,(31|11)
0.4469027,101.0,(28|15)
0.4461538,29.0,(28|11)
0.4439252,95.0,(31|14)
0.4428571,124.0,(29|16)
0.4418605,57.0,(30|11)
0.4390244,72.0,(32|12)
0.4375000,168.0,(24|15)
0.4373178,150.0,(31|16)
0.4364407,103.0,(30|13)
0.4349259,264.0,(27|17)
0.4347826,10.0,(24|17)
0.4292035,97.0,(29|13)
0.4266055,93.0,(33|14)
0.4230769,44.0,(31|15)
0.4223301,87.0,(26|17)
0.4200000,21.0,(32|16)
0.4197080,115.0,(24|16)
0.4186046,72.0,(28|16)
0.4155251,91.0,(30|15)
0.4135802,67.0,(32|13)
0.4107884,99.0,(26|15)
0.4090909,72.0,(31|12)
0.4090909,90.0,(33|13)
0.4082569,89.0,(26|14)
0.4072581,101.0,(25|15)
0.4065041,50.0,(33|11)
0.4037559,86.0,(31|13)
0.4000000,4.0,(23|11)
0.4000000,4.0,(24|12)
0.4000000,4.0,(24|13)
0.4000000,76.0,(29|14)
0.4000000,2.0,(34|14)
0.3973510,120.0,(27|16)
0.3972125,114.0,(25|16)
0.3958333,38.0,(28|13)
0.3877551,76.0,(29|15)
0.3864307,131.0,(27|15)
0.3862816,107.0,(28|14)
0.3857678,103.0,(28|12)
0.3846154,110.0,(26|16)
0.3823529,13.0,(30|39)
0.3750000,3.0,(23|17)
0.3750000,3.0,(25|17)
0.3733906,87.0,(27|13)
0.3706897,43.0,(27|14)
0.3702290,97.0,(27|12)
0.3675214,86.0,(30|14)
0.3593750,69.0,(28|10)
