Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 130 | Securities (jp:130,idx:42)
Class Probability,Ex Count at BMU,BMU Map Loc
1.000000,1.0,(20|34)
0.5881262,317.0,(16|28)
0.4540710,435.0,(17|28)
0.3985375,218.0,(16|29)
0.3333333,10.0,(16|30)
0.3225806,10.0,(17|30)
0.2734375,35.0,(15|28)
0.2211538,23.0,(14|29)
0.1883657,68.0,(17|29)
0.1502347,32.0,(15|29)
0.1428571,1.0,(16|27)
0.1250000,1.0,(3|10)
0.1250000,22.0,(9|30)
0.1250000,4.0,(10|12)
0.1066667,8.0,(3|9)
0.1066667,8.0,(5|9)
0.1034483,3.0,(16|33)
0.1015038,27.0,(14|28)
0.09550562,17.0,(15|30)
0.08965518,13.0,(14|33)
0.08333334,1.0,(9|29)
0.07547170,4.0,(14|15)
0.07100592,12.0,(2|2)
0.06779661,4.0,(13|33)
0.06666667,2.0,(47|45)
0.06428572,9.0,(5|16)
0.06422018,7.0,(21|26)
0.06382979,9.0,(1|28)
0.06250000,1.0,(3|8)
0.06250000,1.0,(5|8)
0.06060606,2.0,(15|2)
0.05882353,1.0,(18|31)
0.05769231,15.0,(2|28)
0.05555556,1.0,(46|45)
0.05263158,5.0,(43|44)
0.05208333,5.0,(5|12)
0.04938272,4.0,(9|12)
0.04838710,6.0,(16|17)
0.04761905,6.0,(1|8)
0.04761905,6.0,(2|7)
0.04639175,9.0,(39|40)
0.04545455,1.0,(10|13)
0.04545455,3.0,(12|33)
0.04545455,3.0,(30|9)
0.04444445,2.0,(13|12)
0.04347826,1.0,(0|8)
0.04347826,5.0,(10|32)
0.04347826,1.0,(48|8)
0.04285714,3.0,(12|14)
0.04225352,3.0,(20|33)
0.04210526,4.0,(1|17)
0.04210526,4.0,(2|16)
0.04166667,4.0,(28|46)
0.04166667,1.0,(38|46)
0.04000000,1.0,(3|27)
0.03846154,7.0,(0|9)
0.03846154,1.0,(13|10)
0.03846154,1.0,(17|18)
0.03571429,4.0,(4|47)
0.03571429,4.0,(4|48)
0.03571429,1.0,(10|31)
0.03571429,14.0,(23|10)
0.03508772,8.0,(9|26)
0.03488372,6.0,(10|30)
0.03448276,2.0,(19|15)
0.03409091,6.0,(2|14)
0.03389831,2.0,(3|6)
0.03389831,2.0,(4|6)
0.03333334,5.0,(19|44)
0.03255814,14.0,(18|29)
