Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 157 | Accounting-Accounting/Audit/Assurance (jp:157,idx:50)
Class Probability,Ex Count at BMU,BMU Map Loc
0.8657487,503.0,(39|0)
0.7880184,171.0,(40|0)
0.6858974,107.0,(41|1)
0.5882353,50.0,(41|0)
0.4505300,255.0,(38|0)
0.4333333,26.0,(40|1)
0.3103448,9.0,(39|49)
0.2222222,2.0,(41|3)
0.1935484,6.0,(39|1)
0.1344086,25.0,(41|49)
0.07317073,24.0,(41|4)
0.07017544,4.0,(44|3)
0.06000000,3.0,(37|0)
0.05649718,10.0,(40|49)
0.05555556,16.0,(42|3)
0.05555556,13.0,(43|3)
0.04687500,3.0,(38|49)
0.04347826,1.0,(42|4)
0.03508772,2.0,(43|41)
0.03448276,1.0,(39|4)
0.03174603,2.0,(46|8)
0.02512563,5.0,(46|3)
0.02272727,3.0,(48|2)
0.01973684,3.0,(40|4)
0.01886792,2.0,(42|1)
0.01886792,4.0,(45|0)
0.01754386,1.0,(43|4)
0.01562500,1.0,(11|26)
0.01538462,3.0,(42|49)
0.01538462,2.0,(47|2)
0.01492537,4.0,(42|5)
0.01408451,2.0,(47|3)
0.01261830,4.0,(46|49)
0.01123596,2.0,(46|1)
0.01041667,1.0,(41|2)
0.006993007,1.0,(46|9)
0.006993007,1.0,(48|9)
0.006734007,2.0,(29|22)
0.006734007,2.0,(31|22)
0.006666667,1.0,(38|10)
0.006578947,1.0,(14|19)
0.006451613,1.0,(47|0)
0.006134969,2.0,(44|1)
0.005464481,1.0,(48|0)
0.005025126,1.0,(39|2)
0.004975124,1.0,(47|1)
0.003311258,1.0,(43|47)
0.003134796,1.0,(48|1)
0.003091190,2.0,(15|19)
0.002915452,1.0,(29|21)
0.002881844,1.0,(44|49)
0.002298851,1.0,(38|5)
0.001083424,1.0,(31|47)
