Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 208 | Private Equity (jp:208,idx:58)
Class Probability,Ex Count at BMU,BMU Map Loc
0.7647059,195.0,(18|30)
0.5000000,1.0,(20|28)
0.4418605,323.0,(19|29)
0.3930233,169.0,(18|29)
0.3214286,9.0,(38|39)
0.2857143,4.0,(38|33)
0.2520775,91.0,(17|29)
0.1754386,10.0,(19|28)
0.1741792,313.0,(20|29)
0.1739766,119.0,(30|36)
0.1666667,4.0,(18|28)
0.1649484,32.0,(39|40)
0.1590909,7.0,(22|34)
0.1559633,17.0,(21|26)
0.1466667,11.0,(3|9)
0.1466667,11.0,(5|9)
0.1428571,4.0,(12|12)
0.1428571,1.0,(14|11)
0.1428571,1.0,(16|27)
0.1292135,23.0,(15|30)
0.1250000,1.0,(3|10)
0.1250000,1.0,(21|29)
0.1230769,32.0,(2|28)
0.1228070,7.0,(20|30)
0.1216216,9.0,(12|31)
0.1111111,1.0,(28|32)
0.1111111,4.0,(30|48)
0.1111111,28.0,(49|10)
0.1100000,11.0,(41|39)
0.1034483,9.0,(19|30)
0.09859155,7.0,(11|27)
0.09798995,39.0,(10|29)
0.09708738,10.0,(41|42)
0.09473684,9.0,(9|17)
0.09389672,20.0,(15|29)
0.08945687,28.0,(14|27)
0.08870967,11.0,(16|17)
0.08823530,3.0,(18|33)
0.08695652,2.0,(3|31)
0.08421053,8.0,(43|44)
0.08333334,2.0,(38|46)
0.08029197,11.0,(13|29)
0.08000000,2.0,(3|27)
0.07857143,11.0,(2|17)
0.07812500,10.0,(15|28)
0.07692308,2.0,(13|10)
0.07547170,4.0,(0|18)
0.07547170,4.0,(14|15)
0.07391305,17.0,(7|7)
0.07352941,5.0,(33|19)
0.07222223,13.0,(14|30)
0.07142857,2.0,(18|24)
0.06896552,2.0,(11|33)
0.06896552,2.0,(33|1)
0.06862745,21.0,(4|9)
0.06837607,8.0,(0|14)
0.06779661,4.0,(7|16)
0.06621005,29.0,(13|31)
0.06535948,10.0,(18|23)
0.06521739,3.0,(16|32)
0.06504065,8.0,(1|16)
0.06428572,9.0,(6|16)
0.06372549,13.0,(16|31)
0.06363636,7.0,(31|0)
0.06273063,17.0,(11|32)
0.06060606,4.0,(30|9)
0.05932203,7.0,(12|27)
0.05925926,8.0,(2|43)
0.05925926,8.0,(2|44)
