Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 214 | Insurance Litigation (jp:214,idx:63)
Class Probability,Ex Count at BMU,BMU Map Loc
0.7236559,673.0,(14|5)
0.6447141,372.0,(12|4)
0.4475524,128.0,(15|6)
0.4142012,70.0,(15|5)
0.3955556,267.0,(12|5)
0.3880126,123.0,(14|6)
0.2891566,72.0,(14|7)
0.2580645,32.0,(13|6)
0.2372881,28.0,(17|7)
0.2292683,47.0,(15|7)
0.2129032,33.0,(13|5)
0.2115385,11.0,(15|9)
0.2077922,32.0,(14|8)
0.1923077,20.0,(15|8)
0.1818182,12.0,(16|7)
0.1780822,26.0,(16|5)
0.1745562,59.0,(13|3)
0.1739130,48.0,(12|6)
0.1451613,9.0,(15|10)
0.1416667,17.0,(17|6)
0.1392405,11.0,(14|3)
0.1374269,47.0,(13|7)
0.1363636,3.0,(15|3)
0.1338798,49.0,(15|4)
0.1309524,22.0,(13|4)
0.1276596,12.0,(16|4)
0.1261261,14.0,(13|8)
0.1250000,4.0,(18|9)
0.1224490,12.0,(17|9)
0.1111111,14.0,(10|4)
0.1052632,4.0,(48|27)
0.1000000,7.0,(16|6)
0.09139785,17.0,(23|31)
0.09090909,3.0,(17|5)
0.08843537,13.0,(48|28)
0.08144797,18.0,(0|4)
0.08000000,12.0,(19|8)
0.07713499,28.0,(13|9)
0.07692308,12.0,(49|5)
0.07423580,17.0,(14|4)
0.07216495,7.0,(17|4)
0.07189543,11.0,(16|8)
0.07142857,1.0,(16|41)
0.07142857,1.0,(47|27)
0.06896552,2.0,(17|10)
0.06521739,3.0,(11|4)
0.06451613,4.0,(24|46)
0.06428572,9.0,(16|3)
0.05555556,3.0,(16|10)
0.05128205,12.0,(21|13)
0.04901961,5.0,(21|49)
0.04761905,2.0,(0|6)
0.04687500,3.0,(49|4)
0.04651163,4.0,(16|9)
0.04347826,1.0,(18|8)
0.04347826,2.0,(22|40)
0.04166667,2.0,(15|0)
0.04000000,2.0,(21|12)
0.03870968,6.0,(11|5)
0.03846154,1.0,(13|10)
0.03846154,2.0,(23|46)
0.03773585,2.0,(33|43)
0.03636364,2.0,(0|29)
0.03614458,3.0,(23|29)
0.03539823,8.0,(18|47)
0.03508772,6.0,(14|9)
0.03488372,3.0,(8|0)
0.03314917,6.0,(49|27)
0.03278688,2.0,(18|14)
0.03225806,1.0,(19|1)
0.03164557,5.0,(26|28)
0.03092784,3.0,(15|11)
0.02994012,5.0,(20|6)
0.02985075,2.0,(5|2)
0.02978723,7.0,(22|26)
0.02941176,1.0,(11|3)
0.02941176,2.0,(18|4)
0.02941176,3.0,(18|49)
0.02941176,3.0,(19|10)
0.02941176,3.0,(20|10)
0.02912621,3.0,(4|4)
0.02816901,4.0,(19|48)
0.02786378,9.0,(24|28)
0.02727273,3.0,(0|7)
0.02692308,7.0,(22|25)
0.02690583,6.0,(23|28)
0.02597403,2.0,(23|19)
0.02564103,4.0,(8|1)
0.02564103,1.0,(20|48)
0.02544529,10.0,(17|49)
0.02380952,2.0,(15|47)
0.02366864,4.0,(4|19)
0.02316602,6.0,(5|4)
0.02222222,10.0,(20|0)
0.02222222,4.0,(20|7)
0.02205882,3.0,(22|44)
0.02150538,2.0,(48|34)
0.02105263,2.0,(17|11)
0.02056555,8.0,(21|6)
0.01970443,8.0,(14|47)
0.01886792,1.0,(10|20)
0.01754386,1.0,(9|40)
0.01754386,1.0,(13|0)
0.01724138,2.0,(26|20)
0.01657459,3.0,(11|45)
0.01632653,4.0,(17|41)
0.01612903,2.0,(1|3)
0.01612903,2.0,(49|3)
0.01587302,1.0,(4|23)
0.01562500,1.0,(11|26)
0.01544402,4.0,(14|49)
0.01470588,1.0,(18|7)
0.01449275,1.0,(7|41)
0.01408451,1.0,(20|3)
0.01388889,1.0,(16|45)
0.01369863,2.0,(14|10)
0.01369863,2.0,(23|26)
0.01324503,2.0,(23|48)
0.01298701,1.0,(6|48)
0.01282051,1.0,(19|0)
0.01265823,1.0,(12|9)
0.01250000,1.0,(16|47)
0.01234568,1.0,(20|49)
0.01204819,1.0,(18|0)
0.01176471,1.0,(21|15)
0.01149425,2.0,(3|3)
0.01149425,1.0,(26|44)
0.01145038,3.0,(16|44)
0.01123596,2.0,(31|7)
0.01117318,2.0,(2|39)
0.01069519,2.0,(18|1)
0.01061008,4.0,(22|3)
0.01058201,2.0,(22|47)
0.01030928,1.0,(4|39)
0.01030928,3.0,(23|4)
0.01020408,1.0,(1|4)
0.01020408,1.0,(18|2)
0.01020408,5.0,(23|27)
0.009950249,2.0,(0|5)
0.009803922,3.0,(4|9)
0.009615385,1.0,(23|14)
0.009389671,2.0,(25|47)
0.009216590,4.0,(22|27)
0.009195402,4.0,(25|37)
0.008928572,2.0,(16|15)
0.008528785,4.0,(22|13)
0.008403362,1.0,(21|48)
0.008350731,4.0,(5|43)
0.008264462,1.0,(10|2)
0.008219178,3.0,(17|12)
0.008130081,1.0,(7|3)
0.007792208,3.0,(3|42)
0.007751938,3.0,(22|42)
0.007575758,1.0,(22|23)
0.007575758,1.0,(23|23)
0.007500000,3.0,(23|47)
0.007462686,1.0,(44|4)
0.007142857,2.0,(28|48)
0.006849315,1.0,(7|1)
0.006493506,1.0,(10|0)
0.006472492,2.0,(26|22)
0.006134969,2.0,(17|42)
0.006079027,2.0,(26|8)
0.005952381,1.0,(16|34)
0.005952381,2.0,(16|42)
0.005917160,1.0,(2|2)
0.005917160,1.0,(9|41)
0.005917160,1.0,(23|30)
0.005882353,1.0,(8|2)
0.005882353,1.0,(18|17)
0.005633803,2.0,(0|30)
0.005509642,2.0,(21|28)
0.005420054,2.0,(25|28)
0.005420054,2.0,(40|44)
0.005405406,1.0,(24|8)
0.005319149,1.0,(18|43)
0.005093378,3.0,(22|39)
0.005076142,1.0,(6|38)
0.005012531,2.0,(21|22)
0.004975124,2.0,(15|37)
0.004926108,2.0,(19|12)
0.004926108,2.0,(20|12)
0.004796163,2.0,(21|16)
0.004672897,1.0,(23|25)
0.004640371,2.0,(0|1)
0.004640371,2.0,(0|2)
0.004464286,1.0,(24|37)
0.004347826,1.0,(23|20)
0.004048583,2.0,(10|34)
0.004016064,1.0,(5|18)
0.003984064,1.0,(3|32)
0.003802281,1.0,(24|26)
0.003683241,2.0,(26|19)
0.003179650,2.0,(22|41)
0.003164557,1.0,(20|47)
0.002770083,1.0,(1|11)
0.002421308,1.0,(25|22)
0.002369668,1.0,(35|34)
0.002283105,1.0,(19|16)
0.002192982,1.0,(32|43)
0.002178649,1.0,(26|43)
0.002092050,1.0,(15|46)
0.002004008,1.0,(14|32)
0.001879699,1.0,(27|41)
0.001855288,1.0,(16|28)
0.001672241,1.0,(20|44)
0.001642036,1.0,(26|0)
0.001545595,1.0,(15|19)
0.001455604,1.0,(9|27)
0.001278772,1.0,(47|31)
0.001127396,1.0,(20|41)
