Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 216 | Accounting-Non-Profit (jp:216,idx:65)
Class Probability,Ex Count at BMU,BMU Map Loc
0.9887180,964.0,(33|33)
0.9873528,2264.0,(34|32)
0.9740260,75.0,(34|33)
0.9581240,572.0,(34|31)
0.8953488,231.0,(35|32)
0.8832685,227.0,(33|30)
0.7374302,132.0,(33|31)
0.7125000,57.0,(35|31)
0.7066666,53.0,(33|32)
0.6847826,63.0,(31|23)
0.6478873,46.0,(34|29)
0.6478873,230.0,(34|30)
0.6153846,8.0,(45|6)
0.5319149,25.0,(30|23)
0.4853801,83.0,(35|30)
0.4827586,14.0,(39|49)
0.4444444,24.0,(32|30)
0.3943662,56.0,(32|21)
0.3509934,106.0,(43|47)
0.3333333,5.0,(35|29)
0.3239437,23.0,(42|46)
0.2884615,15.0,(38|1)
0.2661290,33.0,(33|29)
0.2500000,24.0,(41|2)
0.2263158,43.0,(41|6)
0.2238806,15.0,(39|5)
0.2142857,6.0,(45|3)
0.2049470,116.0,(38|0)
0.1944444,7.0,(44|6)
0.1935484,6.0,(39|1)
0.1808511,17.0,(32|31)
0.1754386,10.0,(43|4)
0.1739130,4.0,(42|4)
0.1666667,10.0,(40|1)
0.1637011,46.0,(41|18)
0.1632653,8.0,(42|2)
0.1583710,35.0,(45|7)
0.1578947,9.0,(44|3)
0.1485149,30.0,(31|20)
0.1448276,21.0,(45|26)
0.1432927,47.0,(41|4)
0.1428571,2.0,(38|33)
0.1392405,11.0,(32|32)
0.1372549,21.0,(41|17)
0.1363636,6.0,(32|33)
0.1354167,39.0,(42|3)
0.1351351,30.0,(45|8)
0.1341991,31.0,(41|5)
0.1324921,42.0,(46|49)
0.1315790,25.0,(38|3)
0.1301370,38.0,(40|48)
0.1276596,6.0,(43|48)
0.1274510,13.0,(45|9)
0.1250000,11.0,(32|23)
0.1250000,12.0,(46|26)
0.1241379,54.0,(38|5)
0.1137725,19.0,(46|48)
0.1137725,19.0,(49|1)
0.1119403,15.0,(29|19)
0.1111111,3.0,(33|21)
0.1089109,22.0,(42|36)
0.1060606,7.0,(45|1)
0.1052632,4.0,(36|31)
0.1052632,4.0,(43|5)
0.1044776,28.0,(42|5)
0.1000000,19.0,(46|14)
0.09876543,8.0,(39|48)
0.09868421,15.0,(40|4)
0.09701493,13.0,(44|4)
0.09695291,35.0,(29|18)
0.09677419,18.0,(38|6)
0.09523810,2.0,(31|24)
0.09523810,6.0,(32|22)
0.09375000,18.0,(41|15)
0.09163347,23.0,(30|18)
0.09148265,29.0,(47|21)
0.08928572,5.0,(37|5)
0.08823530,12.0,(31|21)
0.08823530,6.0,(39|3)
0.08771930,15.0,(30|19)
0.08730159,11.0,(32|20)
0.08620690,5.0,(49|24)
0.08605852,50.0,(39|0)
0.08602151,16.0,(41|49)
0.08490566,9.0,(42|1)
0.08433735,7.0,(40|32)
0.08333334,6.0,(33|20)
0.08333334,17.0,(42|18)
0.08294931,18.0,(40|0)
0.08235294,7.0,(41|0)
0.08139535,21.0,(36|30)
0.08060453,32.0,(43|35)
0.08000000,10.0,(46|2)
0.07692308,15.0,(42|49)
0.07661290,19.0,(43|15)
0.07482993,11.0,(38|19)
0.07407407,4.0,(37|6)
0.07377049,9.0,(39|7)
0.07344633,13.0,(40|49)
0.07142857,12.0,(45|15)
0.06779661,12.0,(44|12)
0.06711409,10.0,(45|13)
0.06542056,14.0,(44|15)
0.06410257,10.0,(41|1)
0.06349207,12.0,(43|2)
0.06349207,4.0,(44|26)
0.06312292,19.0,(40|7)
0.05982906,14.0,(43|3)
0.05932203,7.0,(43|49)
0.05921053,9.0,(43|6)
0.05882353,1.0,(36|32)
0.05882353,1.0,(37|33)
0.05806452,9.0,(39|47)
0.05660377,3.0,(35|21)
0.05607476,12.0,(42|10)
0.05555556,10.0,(46|11)
0.05555556,10.0,(48|10)
0.05405406,2.0,(48|25)
