Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 224 | Employment Litigation (jp:224,idx:73)
Class Probability,Ex Count at BMU,BMU Map Loc
0.8308227,717.0,(6|3)
0.7552447,108.0,(5|3)
0.7409326,143.0,(4|3)
0.6655173,193.0,(9|4)
0.5561798,99.0,(8|4)
0.5180413,201.0,(9|5)
0.4490446,141.0,(6|2)
0.3678161,64.0,(3|3)
0.3600000,9.0,(4|1)
0.3490566,37.0,(8|3)
0.3252032,40.0,(7|3)
0.3011583,78.0,(5|4)
0.2835821,19.0,(5|2)
0.2727273,18.0,(7|2)
0.2549020,39.0,(2|3)
0.2549020,39.0,(3|1)
0.2465753,18.0,(7|4)
0.2456576,99.0,(9|3)
0.2388060,16.0,(5|0)
0.2183099,31.0,(8|5)
0.2045455,9.0,(9|2)
0.1941748,20.0,(4|4)
0.1923077,10.0,(6|0)
0.1818182,32.0,(7|5)
0.1538462,2.0,(4|0)
0.1538462,4.0,(10|3)
0.1459460,27.0,(6|1)
0.1438356,21.0,(7|1)
0.1212121,12.0,(4|2)
0.1182266,24.0,(6|4)
0.1111111,1.0,(15|42)
0.1030928,10.0,(6|49)
0.08403362,10.0,(3|4)
0.08403362,10.0,(5|1)
0.08235294,14.0,(8|2)
0.07142857,7.0,(49|28)
0.06849315,15.0,(2|4)
0.06382979,9.0,(12|45)
0.05714286,4.0,(9|0)
0.05263158,3.0,(13|13)
0.05128205,2.0,(7|0)
0.04878049,2.0,(2|48)
0.04761905,6.0,(10|4)
0.04597701,4.0,(10|1)
0.04545455,1.0,(16|23)
0.04487180,7.0,(8|44)
0.04081633,2.0,(10|48)
0.03846154,2.0,(6|44)
0.03846154,6.0,(8|1)
0.03846154,4.0,(12|46)
0.03614458,6.0,(26|47)
0.03571429,2.0,(25|49)
0.03529412,3.0,(8|45)
0.03401361,5.0,(48|28)
0.03370786,3.0,(16|46)
0.03174603,2.0,(3|0)
0.03174603,2.0,(3|48)
0.03125000,2.0,(9|1)
0.03125000,2.0,(12|34)
0.02962963,4.0,(14|45)
0.02941176,2.0,(17|14)
0.02857143,2.0,(16|6)
0.02777778,3.0,(11|47)
0.02709360,11.0,(19|12)
0.02709360,11.0,(20|12)
0.02631579,2.0,(22|4)
0.02586207,3.0,(8|47)
0.02586207,6.0,(8|49)
0.02542373,3.0,(7|45)
0.02500000,2.0,(9|45)
0.02298851,2.0,(8|46)
0.02222222,1.0,(45|11)
0.02127660,1.0,(4|49)
0.02127660,1.0,(6|5)
0.02100840,5.0,(6|45)
0.02020202,2.0,(9|46)
0.01948052,3.0,(10|0)
0.01923077,1.0,(13|45)
0.01834862,2.0,(13|48)
0.01818182,3.0,(13|44)
0.01796407,3.0,(20|6)
0.01775148,3.0,(15|5)
0.01769911,2.0,(8|48)
0.01712329,5.0,(33|42)
0.01680672,2.0,(9|25)
0.01666667,1.0,(9|47)
0.01652892,2.0,(10|2)
0.01544402,4.0,(14|49)
0.01526718,2.0,(11|48)
0.01515152,1.0,(6|26)
0.01470588,1.0,(18|7)
0.01449275,2.0,(1|46)
0.01333333,1.0,(14|43)
0.01333333,2.0,(19|8)
0.01315789,2.0,(14|19)
0.01315789,2.0,(49|32)
0.01282051,2.0,(49|5)
0.01190476,1.0,(15|47)
0.01176471,1.0,(10|47)
0.01149425,1.0,(9|44)
0.01090909,3.0,(13|41)
0.01063830,2.0,(10|45)
0.01048951,3.0,(48|5)
0.01047120,2.0,(4|13)
0.01038961,4.0,(3|42)
0.009389671,2.0,(25|47)
0.009259259,1.0,(5|46)
0.009195402,4.0,(25|37)
0.008928572,1.0,(22|1)
0.008928572,2.0,(24|37)
0.008771930,3.0,(12|47)
0.008720931,3.0,(22|0)
0.008695652,1.0,(10|46)
0.008450705,3.0,(0|30)
0.008264462,1.0,(0|3)
0.008196721,1.0,(13|42)
0.008064516,1.0,(17|15)
0.007936508,1.0,(44|11)
0.007812500,1.0,(1|6)
0.007407407,1.0,(21|2)
0.007352941,1.0,(22|44)
0.007142857,1.0,(10|49)
0.007142857,2.0,(28|48)
0.007042253,1.0,(19|48)
0.006849315,1.0,(16|5)
0.006802721,1.0,(5|37)
0.006535948,1.0,(10|37)
0.006396588,3.0,(22|13)
0.006211180,2.0,(25|0)
0.005479452,2.0,(17|12)
0.004926108,2.0,(14|47)
0.004672897,1.0,(23|25)
0.004524887,1.0,(0|4)
0.004464286,1.0,(16|15)
0.004255319,1.0,(22|26)
0.004184100,1.0,(44|45)
0.004081632,1.0,(17|41)
0.004032258,1.0,(15|23)
0.003968254,1.0,(29|40)
0.003937008,1.0,(41|7)
0.003787879,1.0,(49|46)
0.003496503,1.0,(15|6)
0.003460208,1.0,(7|18)
0.003289474,1.0,(21|47)
0.003289474,1.0,(27|24)
0.003289474,1.0,(28|43)
0.003236246,1.0,(26|22)
0.003048780,1.0,(18|41)
0.002932551,1.0,(14|42)
0.002739726,1.0,(9|42)
0.002680965,1.0,(21|46)
0.002652520,1.0,(22|3)
0.002638523,1.0,(28|22)
0.002583979,1.0,(26|4)
0.002325581,1.0,(19|5)
0.002283105,1.0,(19|16)
0.002096436,1.0,(48|44)
0.002020202,1.0,(5|45)
0.001876173,1.0,(38|43)
0.001801802,1.0,(16|2)
0.001792115,1.0,(11|20)
0.001379310,1.0,(27|0)
