Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 225 | Patent Litigation (jp:225,idx:74)
Class Probability,Ex Count at BMU,BMU Map Loc
0.8844567,643.0,(26|41)
0.6476868,546.0,(26|40)
0.5090909,56.0,(28|41)
0.4755639,253.0,(27|41)
0.3688312,142.0,(27|40)
0.3333333,1.0,(44|41)
0.3072289,51.0,(30|8)
0.3000000,6.0,(26|42)
0.2843137,29.0,(27|42)
0.2696629,24.0,(29|8)
0.2426471,33.0,(30|10)
0.2222222,2.0,(18|40)
0.2153846,14.0,(27|44)
0.1600000,16.0,(29|41)
0.1583710,35.0,(28|40)
0.1531792,53.0,(33|7)
0.1428571,14.0,(29|7)
0.1379310,20.0,(28|42)
0.1373239,39.0,(32|7)
0.1369863,30.0,(31|8)
0.1348315,12.0,(30|7)
0.1317829,17.0,(10|36)
0.1250000,2.0,(0|13)
0.1212121,8.0,(30|9)
0.1159420,8.0,(29|9)
0.1153846,12.0,(24|49)
0.09756097,4.0,(19|14)
0.09756097,8.0,(26|11)
0.09497207,17.0,(31|9)
0.09154929,13.0,(32|8)
0.09090909,14.0,(33|8)
0.09034268,29.0,(23|13)
0.08904110,13.0,(30|12)
0.08743169,16.0,(29|12)
0.08675799,19.0,(27|10)
0.08653846,9.0,(23|14)
0.08641975,14.0,(32|9)
0.08426967,15.0,(31|7)
0.08333334,17.0,(28|8)
0.07981221,17.0,(31|13)
0.07812500,5.0,(12|34)
0.07251909,19.0,(27|12)
0.07142857,16.0,(22|12)
0.07142857,4.0,(49|29)
0.06741573,18.0,(28|12)
0.06666667,2.0,(2|6)
0.06498195,18.0,(28|14)
0.06363636,14.0,(33|13)
0.06250000,7.0,(4|47)
0.06250000,7.0,(4|48)
0.06172840,10.0,(32|13)
0.06097561,10.0,(32|12)
0.06000000,3.0,(21|12)
0.06000000,3.0,(32|16)
0.05789474,11.0,(29|14)
0.05785124,7.0,(28|7)
0.05714286,4.0,(16|6)
0.05660377,6.0,(24|48)
0.05660377,6.0,(25|48)
0.05617978,10.0,(31|10)
0.05319149,5.0,(26|13)
0.05172414,6.0,(29|10)
0.05150215,12.0,(27|13)
0.05118110,13.0,(32|6)
0.05084746,3.0,(27|5)
0.05052632,24.0,(11|37)
0.04901961,5.0,(29|6)
0.04737733,28.0,(33|9)
0.04716981,10.0,(24|10)
0.04700855,11.0,(30|14)
0.04529617,13.0,(25|16)
0.04391892,13.0,(32|5)
0.04347826,4.0,(27|8)
0.04347826,5.0,(27|49)
0.04255319,2.0,(6|5)
0.03968254,10.0,(29|40)
0.03964758,9.0,(31|5)
0.03875969,5.0,(30|11)
0.03834808,13.0,(27|15)
0.03703704,6.0,(25|13)
0.03667482,15.0,(11|35)
0.03658536,3.0,(28|39)
0.03645833,7.0,(28|10)
0.03539823,8.0,(29|13)
0.03517588,7.0,(31|6)
0.03496503,10.0,(26|16)
0.03488372,3.0,(21|10)
0.03474903,9.0,(33|15)
0.03416149,11.0,(25|0)
0.03409091,6.0,(31|12)
0.03284672,9.0,(24|16)
0.03271028,7.0,(31|14)
0.03243243,6.0,(24|8)
0.03225806,2.0,(4|45)
0.03215434,10.0,(33|6)
0.03211009,7.0,(33|14)
0.03162055,8.0,(32|14)
0.03125000,4.0,(27|48)
0.03125000,1.0,(29|5)
0.03035714,17.0,(0|26)
0.03030303,2.0,(16|12)
0.03030303,2.0,(21|9)
0.03030303,4.0,(31|11)
0.02996255,8.0,(27|4)
0.02941176,3.0,(10|35)
0.02915452,10.0,(31|16)
0.02904564,7.0,(26|15)
0.02898551,4.0,(27|39)
0.02857143,1.0,(11|38)
0.02857143,3.0,(28|44)
0.02739726,6.0,(30|15)
0.02652520,10.0,(24|11)
0.02586207,3.0,(27|14)
0.02542373,3.0,(24|1)
0.02500000,7.0,(29|16)
0.02448980,6.0,(17|41)
0.02439024,4.0,(22|9)
0.02427184,5.0,(26|17)
0.02380952,4.0,(13|4)
0.02371541,12.0,(25|12)
0.02366864,4.0,(9|41)
0.02366864,4.0,(15|5)
0.02349870,9.0,(24|6)
0.02343750,3.0,(28|9)
0.02317881,7.0,(27|16)
0.02302632,7.0,(28|43)
0.02298851,2.0,(20|14)
0.02293578,5.0,(26|14)
0.02272727,5.0,(26|10)
0.02272727,1.0,(34|6)
0.02272727,1.0,(35|7)
0.02272727,1.0,(35|8)
0.02259887,4.0,(40|49)
0.02255639,3.0,(27|9)
0.02253521,8.0,(0|30)
0.02216749,9.0,(19|12)
0.02216749,9.0,(20|12)
0.02212389,5.0,(28|15)
0.02173913,1.0,(16|32)
0.02173913,1.0,(25|11)
0.02142857,3.0,(22|48)
0.02141680,13.0,(27|17)
0.02118644,5.0,(30|13)
0.02100840,5.0,(30|4)
0.02083333,2.0,(28|13)
0.02040816,1.0,(18|20)
0.02020202,2.0,(25|9)
0.02000000,4.0,(30|47)
0.01960784,3.0,(33|12)
0.01948052,3.0,(12|21)
0.01923077,2.0,(31|15)
0.01898734,3.0,(33|10)
0.01886792,2.0,(20|9)
0.01878914,9.0,(5|43)
0.01851852,1.0,(3|7)
0.01851852,1.0,(5|5)
0.01851852,1.0,(6|6)
0.01842105,7.0,(1|13)
0.01823708,6.0,(26|8)
0.01754386,1.0,(13|13)
0.01754386,2.0,(22|15)
0.01694915,1.0,(3|6)
0.01694915,1.0,(4|6)
0.01685393,3.0,(8|4)
0.01630435,3.0,(5|6)
0.01626016,2.0,(33|11)
0.01612903,4.0,(25|15)
0.01600000,2.0,(27|7)
0.01587302,2.0,(1|8)
0.01587302,2.0,(2|7)
0.01587302,2.0,(2|45)
0.01582278,5.0,(20|47)
0.01574803,2.0,(26|6)
0.01574803,2.0,(48|26)
0.01572327,10.0,(23|16)
0.01562500,2.0,(23|7)
0.01538462,1.0,(28|11)
0.01492537,1.0,(18|16)
0.01492537,3.0,(25|3)
0.01470588,2.0,(21|7)
0.01466993,6.0,(26|12)
0.01459854,2.0,(30|45)
0.01459854,4.0,(32|15)
0.01408451,1.0,(3|44)
0.01374570,4.0,(23|4)
0.01345291,3.0,(22|10)
0.01345291,3.0,(24|9)
0.01333333,2.0,(16|13)
0.01333333,4.0,(30|6)
0.01315789,1.0,(33|41)
0.01310044,3.0,(14|4)
0.01291990,5.0,(26|4)
0.01285347,5.0,(21|6)
0.01282051,1.0,(34|9)
0.01275510,5.0,(23|10)
0.01219512,5.0,(0|10)
0.01208981,7.0,(29|4)
0.01190476,1.0,(21|11)
0.01190476,3.0,(30|16)
0.01171875,3.0,(26|37)
0.01170960,5.0,(20|8)
0.01162791,2.0,(28|16)
0.01149425,2.0,(26|5)
0.01149425,1.0,(32|11)
0.01142857,2.0,(3|18)
0.01136364,2.0,(25|5)
0.01136364,2.0,(28|3)
0.01129944,2.0,(25|14)
0.01095890,4.0,(17|12)
0.01089325,5.0,(26|43)
0.01086957,2.0,(42|40)
0.01081081,2.0,(26|45)
0.01075269,1.0,(48|34)
0.01041667,1.0,(28|46)
0.01026694,5.0,(28|6)
0.009950249,2.0,(17|22)
0.009900990,1.0,(18|11)
0.009803922,2.0,(22|11)
0.009708738,1.0,(32|2)
0.009655172,7.0,(27|0)
0.009569378,4.0,(33|16)
0.009389671,2.0,(25|7)
0.009389671,2.0,(25|47)
0.009302326,2.0,(25|2)
0.009242144,10.0,(15|40)
0.008658009,2.0,(1|9)
0.008658009,2.0,(2|9)
0.008620690,1.0,(24|14)
0.008576329,5.0,(30|5)
0.008426966,3.0,(25|10)
0.008310249,3.0,(1|11)
0.008264462,3.0,(25|46)
0.008196721,1.0,(22|7)
0.008196721,3.0,(23|6)
0.008196721,1.0,(31|40)
0.008196721,3.0,(32|42)
0.007911392,5.0,(28|5)
0.007812500,3.0,(24|15)
0.007518797,2.0,(7|8)
0.007476636,4.0,(31|39)
0.007299270,1.0,(27|20)
0.007207207,4.0,(16|2)
0.007142857,2.0,(28|48)
0.007042253,1.0,(8|5)
0.006802721,1.0,(15|21)
0.006756757,2.0,(19|22)
0.006711409,2.0,(5|34)
0.006711409,1.0,(34|8)
0.006711409,1.0,(34|10)
0.006622517,1.0,(23|48)
0.006550218,6.0,(33|40)
0.006535948,1.0,(10|37)
0.006535948,1.0,(18|23)
0.006410256,1.0,(8|1)
0.006079027,2.0,(23|12)
0.006024096,1.0,(26|47)
0.005988024,1.0,(23|9)
0.005988024,1.0,(24|7)
0.005917160,1.0,(2|2)
0.005882353,1.0,(26|9)
0.005847953,1.0,(8|29)
0.005747126,1.0,(29|49)
0.005714286,1.0,(7|34)
0.005681818,1.0,(7|5)
0.005434783,2.0,(2|12)
0.005376344,1.0,(23|31)
0.005361930,2.0,(21|46)
0.005305040,2.0,(22|3)
0.005235602,1.0,(4|13)
0.005102041,1.0,(29|15)
0.004901961,1.0,(16|31)
0.004854369,1.0,(1|10)
0.004854369,1.0,(2|10)
0.004728132,2.0,(9|38)
0.004651163,2.0,(19|5)
0.004608295,1.0,(21|43)
0.004464286,1.0,(21|45)
0.004444445,1.0,(15|36)
0.004444445,1.0,(21|5)
0.004444445,1.0,(22|6)
0.004444445,3.0,(29|39)
0.004424779,1.0,(15|35)
0.004410143,4.0,(29|47)
0.004366812,1.0,(25|8)
0.004219409,2.0,(32|41)
0.004184100,1.0,(44|45)
0.004089979,2.0,(22|8)
0.003875969,1.0,(16|40)
0.003846154,1.0,(37|36)
0.003603604,2.0,(46|5)
0.003603604,2.0,(47|4)
0.003603604,2.0,(47|5)
0.003496503,1.0,(15|6)
0.003466205,2.0,(12|4)
0.003382187,3.0,(20|41)
0.003250271,3.0,(31|47)
0.003238866,4.0,(25|45)
0.003225806,3.0,(14|5)
0.003179650,2.0,(22|41)
0.003091190,2.0,(15|19)
0.002915452,1.0,(14|36)
0.002732240,1.0,(15|4)
0.002659574,1.0,(31|2)
0.002577320,1.0,(9|5)
0.002525253,1.0,(38|45)
0.002487562,1.0,(15|37)
0.002463054,1.0,(14|47)
0.002415459,1.0,(9|18)
0.002415459,1.0,(32|39)
0.002398082,1.0,(21|16)
0.002372479,2.0,(28|38)
0.002341920,1.0,(28|2)
0.002207506,1.0,(0|35)
0.002132196,1.0,(22|13)
0.002066116,1.0,(34|7)
0.002024292,1.0,(15|33)
0.002020202,1.0,(5|45)
0.002004008,1.0,(14|32)
0.001988071,1.0,(25|32)
0.001964637,2.0,(21|31)
0.001897533,1.0,(28|33)
0.001788909,1.0,(14|35)
0.001697793,1.0,(17|40)
0.001642036,1.0,(26|0)
0.001406470,1.0,(14|25)
0.001042753,1.0,(29|42)
0.001040583,1.0,(21|37)
0.0009842520,1.0,(17|19)
