Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 233 | Banking Litigation (jp:233,idx:82)
Class Probability,Ex Count at BMU,BMU Map Loc
0.8215859,373.0,(18|15)
0.5737705,35.0,(18|14)
0.5479452,240.0,(19|16)
0.5454546,12.0,(18|13)
0.5161290,64.0,(17|15)
0.3973214,89.0,(16|15)
0.3333333,32.0,(16|16)
0.3333333,1.0,(18|12)
0.3333333,1.0,(19|13)
0.3333333,2.0,(20|13)
0.3333333,2.0,(21|14)
0.3175182,87.0,(17|17)
0.3095238,26.0,(15|15)
0.2696078,55.0,(15|16)
0.2686567,18.0,(18|16)
0.2500000,17.0,(17|14)
0.2068966,12.0,(19|15)
0.1511628,13.0,(15|14)
0.1428571,7.0,(16|14)
0.1100917,12.0,(17|16)
0.1052632,6.0,(15|17)
0.09756097,4.0,(19|14)
0.08391608,12.0,(1|7)
0.08391608,12.0,(49|7)
0.08333334,1.0,(20|16)
0.06250000,1.0,(15|27)
0.06250000,2.0,(19|9)
0.05747126,10.0,(1|27)
0.04651163,2.0,(46|6)
0.04545455,5.0,(0|7)
0.04385965,5.0,(22|15)
0.03333334,1.0,(2|6)
0.03225806,1.0,(17|30)
0.03225806,3.0,(22|36)
0.02985075,2.0,(10|18)
0.02941176,5.0,(18|17)
0.02631579,1.0,(0|41)
0.02631579,2.0,(14|17)
0.02631579,1.0,(48|27)
0.02463054,5.0,(6|4)
0.02083333,2.0,(5|12)
0.02083333,1.0,(46|43)
0.01960784,2.0,(19|10)
0.01960784,2.0,(20|10)
0.01923077,2.0,(23|14)
0.01886792,1.0,(14|15)
0.01851852,1.0,(18|21)
0.01801802,2.0,(9|14)
0.01785714,1.0,(4|41)
0.01724138,1.0,(12|13)
0.01712329,5.0,(15|26)
0.01639344,1.0,(14|21)
0.01612903,2.0,(16|17)
0.01587302,2.0,(1|8)
0.01587302,2.0,(2|7)
0.01587302,2.0,(10|4)
0.01566580,6.0,(16|25)
0.01562500,1.0,(8|25)
0.01477833,6.0,(19|12)
0.01477833,6.0,(20|12)
0.01408451,1.0,(20|33)
0.01388889,1.0,(16|45)
0.01333333,2.0,(16|13)
0.01326260,5.0,(22|3)
0.01315789,1.0,(10|26)
0.01315789,1.0,(46|30)
0.01298701,1.0,(14|12)
0.01234568,1.0,(22|5)
0.01183432,2.0,(4|19)
0.01169591,2.0,(5|36)
0.01149425,1.0,(20|14)
0.01126761,4.0,(0|30)
0.01041667,1.0,(12|15)
0.01027397,3.0,(33|42)
0.01020408,2.0,(16|26)
0.009708738,2.0,(1|10)
0.009708738,2.0,(2|10)
0.009433962,1.0,(20|9)
0.009367681,4.0,(20|8)
0.008928572,1.0,(8|24)
0.008849557,1.0,(2|0)
0.008771930,2.0,(9|26)
0.008298756,2.0,(15|22)
0.008298756,4.0,(21|33)
0.008264462,1.0,(0|3)
0.007812500,1.0,(1|6)
0.007812500,1.0,(27|48)
0.007352941,1.0,(2|8)
0.007092198,1.0,(11|15)
0.006872852,2.0,(14|34)
0.006849315,1.0,(16|5)
0.006802721,1.0,(15|21)
0.006451613,1.0,(13|5)
0.006060606,1.0,(14|22)
0.005917160,1.0,(8|43)
0.005813953,2.0,(22|0)
0.005681818,1.0,(7|5)
0.005617978,2.0,(22|32)
0.005524862,1.0,(10|27)
0.005509642,2.0,(25|46)
0.005464481,1.0,(19|45)
0.005376344,1.0,(23|31)
0.005235602,1.0,(4|13)
0.005037783,2.0,(13|22)
0.004975124,1.0,(17|22)
0.004975124,1.0,(25|3)
0.004950495,1.0,(8|9)
0.004926108,2.0,(14|47)
0.004901961,1.0,(16|31)
0.004694836,1.0,(25|47)
0.004545454,1.0,(11|17)
0.004385965,2.0,(32|43)
0.004273504,1.0,(21|13)
0.004184100,2.0,(15|46)
0.004081632,1.0,(17|41)
0.004048583,2.0,(15|33)
0.003875969,1.0,(12|25)
0.003816794,1.0,(16|44)
0.003724395,2.0,(46|38)
0.003690037,1.0,(11|32)
0.003496503,2.0,(4|10)
0.003496503,1.0,(15|6)
0.003284072,2.0,(26|0)
0.003205128,1.0,(27|26)
0.003058104,1.0,(17|45)
0.002717391,1.0,(2|12)
0.002659574,1.0,(31|2)
0.002597403,1.0,(3|42)
0.002583979,1.0,(26|4)
0.002570694,1.0,(21|6)
0.002506266,1.0,(21|22)
0.002493766,1.0,(6|47)
0.002487562,1.0,(15|37)
0.002178649,1.0,(26|43)
0.002087683,1.0,(5|43)
0.001801802,1.0,(16|2)
0.001792115,1.0,(11|20)
0.001724138,1.0,(18|22)
0.001589825,1.0,(22|41)
0.001455604,1.0,(9|27)
0.001102536,1.0,(29|47)
0.0009823183,1.0,(21|31)
