Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 246 | M&A Litigation (jp:246,idx:95)
Class Probability,Ex Count at BMU,BMU Map Loc
0.2016807,24.0,(15|32)
0.1666667,1.0,(4|5)
0.1643287,82.0,(14|32)
0.04545455,3.0,(12|33)
0.03448276,1.0,(33|1)
0.03389831,2.0,(3|6)
0.03389831,2.0,(4|6)
0.03225806,4.0,(13|32)
0.02380952,3.0,(1|8)
0.02380952,3.0,(2|7)
0.02162162,4.0,(3|46)
0.01694915,1.0,(13|17)
0.01694915,1.0,(13|33)
0.01470588,2.0,(2|8)
0.01470588,1.0,(18|7)
0.01408451,1.0,(3|44)
0.01408451,1.0,(3|45)
0.01351351,1.0,(12|31)
0.01315789,1.0,(32|1)
0.01030928,1.0,(6|49)
0.009090909,1.0,(0|7)
0.007407407,1.0,(2|43)
0.007407407,1.0,(2|44)
0.007407407,1.0,(12|32)
0.006134969,1.0,(4|16)
0.006097561,1.0,(22|9)
0.005917160,1.0,(2|2)
0.005681818,1.0,(9|30)
0.005376344,1.0,(10|9)
0.005305040,2.0,(24|11)
0.005102041,1.0,(4|7)
0.004926108,1.0,(48|7)
0.004566210,2.0,(13|31)
0.004524887,1.0,(7|9)
0.004405286,1.0,(4|8)
0.004385965,1.0,(1|26)
0.004081632,1.0,(17|41)
0.002770083,1.0,(1|11)
0.002710027,1.0,(40|44)
0.002444988,1.0,(11|35)
0.002217295,1.0,(9|33)
0.002096436,1.0,(48|44)
0.002040816,1.0,(23|27)
0.001945525,1.0,(0|42)
0.001879699,1.0,(27|41)
0.001788909,1.0,(14|35)
0.001785714,1.0,(0|26)
0.001748252,1.0,(4|10)
