Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 247 | Accounting-Accounting Only (jp:247,idx:96)
Class Probability,Ex Count at BMU,BMU Map Loc
0.5527638,110.0,(39|2)
0.5324675,123.0,(38|2)
0.4852941,33.0,(39|3)
0.3000000,12.0,(40|2)
0.2736842,52.0,(38|3)
0.2258064,7.0,(39|1)
0.05494506,5.0,(40|3)
0.05000000,1.0,(30|22)
0.04545455,1.0,(37|2)
0.03333334,2.0,(40|1)
0.02136752,5.0,(43|3)
0.02105263,2.0,(48|14)
0.01875000,3.0,(43|14)
0.01785714,2.0,(44|8)
0.01754386,1.0,(43|4)
0.01587302,1.0,(46|8)
0.01538462,2.0,(47|2)
0.01408451,2.0,(47|3)
0.01169591,2.0,(30|19)
0.009950249,2.0,(47|10)
0.009433962,1.0,(42|1)
0.009259259,1.0,(45|12)
0.009009009,2.0,(48|13)
0.008000000,1.0,(46|2)
0.006211180,1.0,(30|20)
0.005376344,1.0,(41|49)
0.005128205,1.0,(42|49)
0.004975124,1.0,(47|1)
0.004524887,1.0,(45|7)
0.004081632,1.0,(42|13)
0.003816794,1.0,(38|13)
