Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 256 | Tax Law-Real Property (jp:256,idx:105)
Class Probability,Ex Count at BMU,BMU Map Loc
0.7500000,3.0,(44|43)
0.6746411,282.0,(43|42)
0.3333333,1.0,(44|41)
0.2850780,128.0,(42|41)
0.2045455,9.0,(43|43)
0.2027650,44.0,(44|42)
0.1929825,11.0,(43|41)
0.1408451,10.0,(42|42)
0.1052632,2.0,(8|15)
0.07142857,2.0,(45|3)
0.02877698,4.0,(42|43)
0.02586207,3.0,(41|41)
0.02521008,3.0,(9|25)
0.02222222,1.0,(13|12)
0.02222222,1.0,(45|11)
0.02127660,2.0,(47|9)
0.02105263,2.0,(43|44)
0.01923077,2.0,(45|2)
0.01886792,2.0,(45|41)
0.01818182,1.0,(30|17)
0.01818182,1.0,(31|17)
0.01801802,2.0,(46|42)
0.01724138,1.0,(49|24)
0.01600000,2.0,(46|2)
0.01550388,2.0,(49|33)
0.01507538,3.0,(46|3)
0.01351351,1.0,(49|25)
0.01298701,1.0,(14|12)
0.01086957,2.0,(42|40)
0.01052632,2.0,(45|5)
0.01005025,2.0,(39|2)
0.007722008,2.0,(14|49)
0.007575758,1.0,(22|23)
0.007575758,1.0,(23|23)
0.007299270,1.0,(38|11)
0.007042253,1.0,(47|3)
0.006993007,1.0,(46|9)
0.006993007,1.0,(48|9)
0.006134969,1.0,(3|20)
0.006134969,1.0,(4|16)
0.005952381,1.0,(3|33)
0.005917160,1.0,(41|9)
0.005464481,1.0,(48|0)
0.005434783,1.0,(5|6)
0.005376344,1.0,(41|49)
0.005263158,1.0,(46|14)
0.005244755,3.0,(4|10)
0.004784689,1.0,(37|34)
0.004672897,1.0,(46|37)
0.004524887,1.0,(45|7)
0.003891051,2.0,(0|42)
0.003436426,1.0,(23|4)
0.003378378,1.0,(49|18)
0.003184713,1.0,(27|30)
0.003164557,1.0,(42|16)
0.002994012,1.0,(46|0)
0.002840909,1.0,(49|16)
0.002074689,1.0,(21|33)
0.002024292,1.0,(10|34)
0.001949318,1.0,(41|48)
0.001455604,1.0,(9|27)
