Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 259 | Science/Technology (jp:259,idx:108)
Class Probability,Ex Count at BMU,BMU Map Loc
0.2640587,108.0,(11|35)
0.1700405,84.0,(10|34)
0.1184211,9.0,(11|34)
0.1176471,2.0,(12|36)
0.1111111,1.0,(12|37)
0.1000000,1.0,(11|36)
0.07812500,5.0,(12|34)
0.06862745,7.0,(10|35)
0.06172840,5.0,(12|35)
0.03636364,2.0,(0|29)
0.01684210,8.0,(11|37)
0.01307190,2.0,(10|37)
0.01149425,1.0,(20|14)
0.009803922,1.0,(19|10)
0.009803922,1.0,(20|10)
0.009708738,1.0,(32|2)
0.009216590,2.0,(44|42)
0.007751938,1.0,(10|36)
0.006872852,2.0,(23|4)
0.006666667,1.0,(19|8)
0.006097561,1.0,(22|9)
0.005208333,1.0,(3|37)
0.005000000,1.0,(17|24)
0.004926108,1.0,(6|4)
0.004926108,2.0,(19|12)
0.004926108,2.0,(20|12)
0.004889976,2.0,(26|12)
0.004716981,1.0,(24|10)
0.004424779,1.0,(15|35)
0.004385965,1.0,(4|38)
0.004273504,1.0,(30|14)
0.003571429,1.0,(28|48)
0.003424658,1.0,(28|47)
0.002732240,1.0,(23|6)
0.002551020,1.0,(23|10)
0.002178649,1.0,(26|43)
0.002053388,1.0,(28|6)
