Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 262 | Estate Planning-Trusts & Estates (jp:262,idx:111)
Class Probability,Ex Count at BMU,BMU Map Loc
0.9513776,587.0,(39|34)
0.9513776,587.0,(40|33)
0.8791946,262.0,(40|34)
0.7000000,14.0,(47|39)
0.7000000,14.0,(49|38)
0.6734300,697.0,(38|35)
0.6734300,697.0,(39|33)
0.6434109,166.0,(41|34)
0.5909091,26.0,(38|34)
0.5221894,353.0,(40|35)
0.5135135,19.0,(45|38)
0.5000000,3.0,(37|35)
0.4744526,65.0,(44|39)
0.4727273,104.0,(38|36)
0.4689507,219.0,(39|35)
0.4468085,105.0,(44|29)
0.4384236,89.0,(40|36)
0.4322034,153.0,(43|30)
0.4322034,153.0,(44|30)
0.4202898,29.0,(39|36)
0.4021739,111.0,(41|35)
0.3883495,40.0,(45|37)
0.3863636,85.0,(42|34)
0.3408072,76.0,(48|43)
0.3252032,40.0,(43|33)
0.3174603,100.0,(49|42)
0.3000000,6.0,(46|40)
0.2962963,40.0,(46|34)
0.2962963,40.0,(47|35)
0.2918455,68.0,(46|32)
0.2886297,99.0,(45|39)
0.2865014,104.0,(38|37)
0.2826087,26.0,(46|36)
0.2793103,81.0,(43|34)
0.2651007,79.0,(45|36)
0.2631579,15.0,(49|39)
0.2583026,70.0,(41|36)
0.2527473,23.0,(49|41)
0.2471910,22.0,(45|31)
0.2432432,45.0,(45|34)
0.2406015,32.0,(46|33)
0.2380952,5.0,(49|31)
0.2363636,52.0,(0|25)
0.2328767,51.0,(48|38)
0.2328767,51.0,(48|39)
0.2319588,45.0,(47|43)
0.2202073,85.0,(41|37)
0.2155172,50.0,(49|36)
0.2142857,24.0,(48|42)
0.2105263,32.0,(37|39)
0.2102804,45.0,(46|37)
0.2093023,45.0,(45|35)
0.2055749,59.0,(46|35)
0.2048193,17.0,(47|33)
0.1987578,32.0,(47|41)
0.1987578,32.0,(48|41)
0.1985019,53.0,(40|37)
0.1890244,31.0,(47|37)
0.1875000,9.0,(47|38)
0.1860465,32.0,(42|35)
0.1849315,27.0,(44|31)
0.1818182,16.0,(45|33)
0.1739130,24.0,(49|40)
0.1702128,24.0,(44|36)
0.1698113,9.0,(42|39)
0.1654676,23.0,(43|39)
0.1538462,28.0,(0|9)
0.1470588,20.0,(45|32)
0.1437126,24.0,(44|33)
0.1415094,15.0,(45|41)
0.1363636,21.0,(47|32)
0.1339713,28.0,(44|38)
0.1335013,53.0,(43|35)
0.1329480,23.0,(44|37)
0.1287879,17.0,(44|35)
0.1287879,17.0,(49|9)
0.1274510,13.0,(45|9)
0.1259843,16.0,(42|15)
0.1197605,20.0,(48|35)
0.1188119,12.0,(46|31)
0.1184669,34.0,(44|32)
0.1147860,59.0,(0|42)
0.1111111,2.0,(48|37)
0.1100478,23.0,(37|34)
0.1052632,18.0,(48|33)
0.1034483,3.0,(47|36)
0.1025641,8.0,(47|44)
0.1000000,8.0,(43|38)
0.1000000,14.0,(45|29)
0.09615385,15.0,(44|40)
0.09604520,17.0,(47|42)
0.09310987,50.0,(46|38)
0.09187279,26.0,(44|34)
0.09174312,10.0,(21|27)
0.09134615,19.0,(47|34)
0.09090909,1.0,(22|31)
0.09090909,5.0,(37|37)
0.08888889,4.0,(45|11)
0.08888889,4.0,(45|44)
0.08620690,5.0,(49|24)
0.08421053,16.0,(42|38)
0.08121827,16.0,(48|32)
0.07751938,10.0,(41|16)
0.07246377,10.0,(45|30)
0.07246377,5.0,(47|40)
0.07142857,3.0,(1|45)
0.07017544,4.0,(19|28)
0.06930693,14.0,(42|36)
0.06666667,2.0,(47|45)
0.06622516,10.0,(49|8)
0.06542056,7.0,(43|31)
0.06306306,7.0,(46|42)
0.06250000,1.0,(0|13)
0.05921053,9.0,(49|32)
0.05882353,1.0,(36|35)
0.05813954,10.0,(45|42)
0.05813954,10.0,(45|43)
0.05617978,5.0,(16|46)
0.05454545,3.0,(10|41)
0.05263158,1.0,(12|41)
0.05263158,2.0,(22|46)
0.05172414,3.0,(19|15)
