Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 284 | Banking Regulatory (jp:284,idx:133)
Class Probability,Ex Count at BMU,BMU Map Loc
0.6721992,324.0,(21|33)
0.4075547,205.0,(21|34)
0.1904762,16.0,(15|15)
0.1428571,1.0,(14|11)
0.1428571,1.0,(16|27)
0.1046512,9.0,(15|14)
0.09756097,4.0,(9|15)
0.07042254,5.0,(20|33)
0.06250000,1.0,(16|18)
0.06122449,3.0,(16|14)
0.05882353,2.0,(22|33)
0.05263158,3.0,(15|17)
0.04895105,7.0,(1|7)
0.04895105,7.0,(49|7)
0.04205608,9.0,(14|18)
0.03448276,3.0,(20|14)
0.02597403,2.0,(14|12)
0.02459016,3.0,(9|16)
0.02439024,1.0,(19|14)
0.02307692,6.0,(15|13)
0.02222222,6.0,(13|18)
0.02127660,2.0,(49|26)
0.01980198,2.0,(18|11)
0.01754386,1.0,(13|13)
0.01470588,1.0,(17|14)
0.01333333,1.0,(3|9)
0.01333333,1.0,(5|9)
0.01333333,2.0,(16|13)
0.01305483,5.0,(16|25)
0.01250000,1.0,(11|13)
0.01242236,2.0,(47|41)
0.01242236,2.0,(48|41)
0.01234568,1.0,(22|5)
0.01176471,1.0,(21|15)
0.01166181,4.0,(14|36)
0.01149425,2.0,(29|49)
0.01063830,1.0,(13|21)
0.01023891,3.0,(44|44)
0.009174312,1.0,(17|16)
0.009090909,1.0,(0|7)
0.009090909,1.0,(34|43)
0.008741259,5.0,(4|10)
0.007936508,1.0,(1|8)
0.007936508,1.0,(2|7)
0.007936508,1.0,(2|45)
0.007812500,1.0,(27|48)
0.007692308,2.0,(2|28)
0.007462686,3.0,(15|37)
0.007207207,4.0,(46|5)
0.007207207,4.0,(47|4)
0.007207207,4.0,(47|5)
0.007142857,1.0,(0|20)
0.006872852,2.0,(14|34)
0.006711409,2.0,(45|36)
0.006211180,2.0,(25|0)
0.005917160,1.0,(2|2)
0.005763689,2.0,(11|8)
0.005681818,1.0,(8|7)
0.005681818,1.0,(9|30)
0.005434783,1.0,(5|6)
0.005012531,2.0,(21|22)
0.004975124,1.0,(17|22)
0.004950495,1.0,(8|9)
0.004854369,1.0,(1|10)
0.004854369,1.0,(2|10)
0.004464286,1.0,(16|15)
0.004405286,1.0,(15|34)
0.004219409,1.0,(12|10)
0.003690037,1.0,(11|32)
0.003496503,1.0,(15|6)
0.002906977,1.0,(22|0)
0.002808989,1.0,(22|32)
0.002770083,1.0,(1|11)
0.002583979,1.0,(22|42)
0.002415459,1.0,(9|18)
0.002087683,1.0,(5|43)
0.002024292,1.0,(10|34)
0.001785714,1.0,(0|26)
0.001209190,1.0,(24|35)
