Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 289 | Employ Associates (jp:289,idx:138)
Class Probability,Ex Count at BMU,BMU Map Loc
0.7142857,10.0,(32|37)
0.2298851,20.0,(8|46)
0.04347826,1.0,(7|42)
0.02272727,1.0,(9|2)
0.02127660,2.0,(8|40)
0.004366812,1.0,(14|4)
0.004255319,1.0,(22|26)
0.004184100,1.0,(34|44)
0.004048583,2.0,(10|34)
0.003476246,3.0,(6|3)
0.002932551,1.0,(14|42)
0.002732240,1.0,(15|4)
0.002283105,1.0,(19|16)
0.002132196,1.0,(22|13)
