Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 312 | Health Business Antitrust (jp:312,idx:160)
Class Probability,Ex Count at BMU,BMU Map Loc
0.3661972,52.0,(25|34)
0.1489362,7.0,(1|31)
0.03571429,2.0,(2|40)
0.03508772,2.0,(6|42)
0.03333334,1.0,(2|6)
0.03260870,3.0,(8|32)
0.02500000,5.0,(2|36)
0.02439024,2.0,(0|36)
0.02105263,2.0,(17|11)
0.02061856,2.0,(4|39)
0.02061856,2.0,(6|49)
0.01675978,3.0,(2|39)
0.01666667,2.0,(5|42)
0.01626016,2.0,(1|36)
0.01612903,1.0,(2|35)
0.01612903,1.0,(3|40)
0.01470588,1.0,(1|38)
0.01459854,2.0,(1|37)
0.01408451,1.0,(1|25)
0.01369863,1.0,(2|5)
0.01250000,1.0,(0|28)
0.01162791,1.0,(21|10)
0.01098901,1.0,(29|3)
0.01095890,4.0,(17|12)
0.01081081,2.0,(6|33)
0.01075269,1.0,(22|36)
0.01010101,2.0,(19|11)
0.01010101,2.0,(20|11)
0.009950249,2.0,(24|2)
0.009803922,1.0,(19|10)
0.009803922,1.0,(20|10)
0.009090909,1.0,(2|37)
0.008771930,2.0,(4|38)
0.008670520,3.0,(8|33)
0.008474576,1.0,(24|1)
0.008264462,1.0,(7|32)
0.007462686,3.0,(15|37)
0.007407407,1.0,(7|47)
0.005847953,1.0,(5|36)
0.005235602,1.0,(2|47)
0.005128205,1.0,(12|20)
0.005037783,2.0,(0|37)
0.004683841,2.0,(28|2)
0.004524887,1.0,(3|41)
0.004273504,1.0,(21|13)
0.004219409,1.0,(1|39)
0.004137931,3.0,(27|0)
0.003267974,1.0,(4|9)
0.003134796,1.0,(1|35)
0.002597403,1.0,(3|42)
0.002418380,2.0,(24|35)
0.002320186,1.0,(0|1)
0.002320186,1.0,(0|2)
0.002207506,1.0,(0|35)
0.002096436,1.0,(48|44)
0.002074689,1.0,(21|33)
