Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 327 | Banking Lit-Regulatory (jp:327,idx:174)
Class Probability,Ex Count at BMU,BMU Map Loc
0.5192308,135.0,(15|13)
0.4533333,68.0,(16|13)
0.2674419,23.0,(15|14)
0.1428571,5.0,(14|13)
0.1428571,5.0,(15|12)
0.1428571,7.0,(16|14)
0.09090909,2.0,(18|13)
0.05555556,2.0,(14|14)
0.04545455,1.0,(19|6)
0.04000000,2.0,(49|6)
0.03125000,1.0,(18|9)
0.02597403,2.0,(14|12)
0.02542373,3.0,(17|7)
0.02040816,2.0,(17|9)
0.01980198,2.0,(18|11)
0.01818182,2.0,(0|7)
0.01470588,1.0,(17|14)
0.01428571,1.0,(16|6)
0.01398601,2.0,(1|7)
0.01398601,2.0,(49|7)
0.01282051,3.0,(21|13)
0.01204819,1.0,(3|5)
0.01149425,1.0,(20|14)
0.01069519,2.0,(7|15)
0.009345794,2.0,(14|18)
0.009090909,1.0,(4|36)
0.008426966,3.0,(22|32)
0.007142857,1.0,(6|40)
0.006622517,1.0,(23|48)
0.006060606,1.0,(14|22)
0.005952381,1.0,(0|27)
0.005376344,1.0,(23|31)
0.003496503,1.0,(15|6)
0.002652520,1.0,(22|3)
0.002583979,1.0,(26|4)
0.002325581,1.0,(19|5)
0.002092050,1.0,(15|46)
0.002074689,1.0,(21|33)
0.001792115,1.0,(11|20)
