Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 330 | Bankruptcy-Finance (jp:330,idx:177)
Class Probability,Ex Count at BMU,BMU Map Loc
0.8196721,50.0,(27|33)
0.4609572,183.0,(13|22)
0.4000000,2.0,(1|5)
0.4000000,70.0,(13|23)
0.2553191,24.0,(13|21)
0.1981132,21.0,(12|22)
0.1666667,1.0,(12|18)
0.1666667,1.0,(13|19)
0.09696969,16.0,(14|22)
0.09523810,2.0,(10|16)
0.06382979,9.0,(11|15)
0.06250000,4.0,(11|16)
0.05263158,1.0,(7|12)
0.04918033,3.0,(14|21)
0.04878049,4.0,(12|16)
0.04838710,3.0,(6|7)
0.04201681,5.0,(8|16)
0.04000000,1.0,(9|22)
0.03883495,4.0,(4|4)
0.03703704,4.0,(8|13)
0.03669725,4.0,(17|16)
0.03333334,1.0,(13|25)
0.03278688,2.0,(16|22)
0.03225806,4.0,(17|15)
0.03076923,8.0,(13|14)
0.02830189,3.0,(6|12)
0.02777778,1.0,(14|14)
0.02702703,2.0,(49|25)
0.02631579,1.0,(0|11)
0.02500000,2.0,(43|38)
0.02469136,4.0,(8|10)
0.02419355,3.0,(1|15)
0.02409638,4.0,(12|23)
0.02400000,3.0,(8|14)
0.02352941,6.0,(6|13)
0.02272727,5.0,(11|17)
0.02255639,3.0,(10|11)
0.02192982,5.0,(1|26)
0.02105263,2.0,(1|17)
0.02105263,2.0,(2|16)
0.02083333,3.0,(9|11)
0.02010050,4.0,(7|10)
0.01970443,4.0,(6|4)
0.01834862,2.0,(10|15)
0.01834862,2.0,(21|26)
0.01811594,5.0,(16|20)
0.01762114,4.0,(4|8)
0.01754386,1.0,(13|13)
0.01714286,3.0,(11|22)
0.01690821,7.0,(9|18)
0.01680672,2.0,(8|11)
0.01587302,2.0,(10|22)
0.01587302,2.0,(11|18)
0.01562500,2.0,(27|48)
0.01520913,4.0,(5|10)
0.01520913,4.0,(5|11)
0.01492537,1.0,(10|18)
0.01470588,2.0,(10|10)
0.01449275,1.0,(43|40)
0.01403509,4.0,(12|11)
0.01398601,2.0,(1|7)
0.01398601,2.0,(49|7)
0.01333333,2.0,(3|19)
0.01333333,2.0,(11|11)
0.01333333,2.0,(16|13)
0.01290323,2.0,(8|12)
0.01190476,1.0,(15|15)
0.01176471,2.0,(18|17)
0.01127820,3.0,(7|8)
0.01098901,1.0,(9|28)
0.01041667,1.0,(12|15)
0.009803922,1.0,(11|1)
0.009708738,1.0,(6|15)
0.009259259,1.0,(5|46)
0.009216590,2.0,(44|42)
0.008810572,2.0,(14|1)
0.008620690,1.0,(5|7)
0.008298756,2.0,(15|22)
0.008196721,1.0,(9|16)
0.007843138,2.0,(6|11)
0.007843138,2.0,(7|11)
0.007843138,2.0,(8|8)
0.007751938,2.0,(12|25)
0.007407407,2.0,(24|32)
0.007142857,1.0,(6|16)
0.006849315,2.0,(6|23)
0.006535948,2.0,(4|9)
0.006079027,2.0,(23|12)
0.005952381,1.0,(0|27)
0.005882353,1.0,(9|10)
0.005847953,1.0,(14|9)
0.005813953,1.0,(6|41)
0.005813953,2.0,(22|0)
0.005747126,1.0,(1|27)
0.005617978,1.0,(13|15)
0.005524862,1.0,(6|20)
0.005524862,1.0,(10|27)
0.005494506,2.0,(11|7)
0.005347594,1.0,(7|15)
0.005181347,1.0,(5|35)
0.005128205,1.0,(9|8)
0.005128205,1.0,(12|20)
0.005102041,1.0,(4|7)
0.005102041,1.0,(16|26)
0.004950495,1.0,(8|9)
0.004926108,1.0,(48|7)
0.004901961,1.0,(15|16)
0.004716981,1.0,(11|9)
0.004629630,1.0,(20|32)
0.004444445,2.0,(23|34)
0.004424779,1.0,(8|19)
0.004405286,2.0,(18|15)
0.004255319,1.0,(22|26)
0.003913894,2.0,(32|44)
0.003898636,2.0,(41|48)
0.003584229,2.0,(11|20)
0.003496503,2.0,(4|10)
0.003472222,1.0,(11|24)
0.003448276,1.0,(43|34)
0.003424658,1.0,(40|48)
0.003355705,1.0,(49|15)
0.003076923,1.0,(20|31)
0.002832861,1.0,(24|34)
0.002832861,1.0,(25|33)
0.002816901,1.0,(0|30)
0.002754821,1.0,(21|28)
0.002583979,1.0,(26|4)
0.002493766,1.0,(32|3)
0.002421308,1.0,(25|22)
0.002398082,1.0,(21|16)
0.002325581,1.0,(18|29)
0.002100840,1.0,(10|23)
0.002030457,2.0,(23|37)
0.001964637,1.0,(10|21)
0.001801802,1.0,(46|5)
0.001801802,1.0,(47|4)
0.001801802,1.0,(47|5)
0.001733102,1.0,(12|4)
0.001545595,1.0,(8|28)
0.001455604,1.0,(9|27)
0.001426534,1.0,(21|30)
0.001282051,1.0,(24|33)
0.001160093,1.0,(19|32)
0.001119821,1.0,(23|33)
0.001029866,1.0,(19|31)
0.0009823183,1.0,(21|31)
0.0009372071,1.0,(28|36)
