Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 358 | Antitrust Horizontal (jp:358,idx:195)
Class Probability,Ex Count at BMU,BMU Map Loc
0.8000000,28.0,(29|2)
0.7611241,325.0,(28|2)
0.7500000,9.0,(27|3)
0.5965909,105.0,(28|3)
0.5824176,53.0,(29|3)
0.4018691,43.0,(28|1)
0.3791469,80.0,(27|1)
0.3167421,70.0,(27|2)
0.2105263,4.0,(29|1)
0.1735537,21.0,(26|2)
0.1666667,1.0,(11|12)
0.1600000,4.0,(26|1)
0.1485149,15.0,(18|11)
0.1414141,28.0,(19|11)
0.1414141,28.0,(20|11)
0.07692308,2.0,(46|39)
0.06862745,7.0,(19|10)
0.06862745,7.0,(20|10)
0.06250000,5.0,(0|28)
0.06250000,1.0,(22|2)
0.05357143,3.0,(23|0)
0.04819277,4.0,(3|5)
0.04761905,1.0,(1|41)
0.04651163,4.0,(21|10)
0.04477612,9.0,(24|2)
0.04000000,2.0,(21|12)
0.04000000,2.0,(49|6)
0.03720930,8.0,(25|2)
0.03703704,2.0,(5|5)
0.03703704,2.0,(6|6)
0.03561644,13.0,(17|12)
0.03125000,2.0,(12|34)
0.02678571,3.0,(4|47)
0.02678571,3.0,(4|48)
0.02463054,10.0,(19|12)
0.02463054,10.0,(20|12)
0.02040816,2.0,(49|28)
0.01923077,1.0,(28|0)
0.01886792,2.0,(20|9)
0.01552795,5.0,(25|0)
0.01515152,1.0,(16|12)
0.01515152,1.0,(21|9)
0.01357466,3.0,(14|31)
0.01190476,2.0,(0|27)
0.01190476,1.0,(21|11)
0.01149425,1.0,(9|44)
0.01111111,2.0,(5|38)
0.01092896,4.0,(23|6)
0.01052632,1.0,(28|49)
0.01025641,2.0,(12|20)
0.009367681,4.0,(20|8)
0.008968610,2.0,(22|10)
0.008968610,2.0,(24|9)
0.008928572,2.0,(22|12)
0.008810572,2.0,(4|8)
0.008474576,1.0,(24|1)
0.008450705,3.0,(0|30)
0.008064516,1.0,(13|32)
0.007812500,2.0,(6|36)
0.007812500,1.0,(27|48)
0.007092198,2.0,(17|25)
0.006802721,1.0,(5|37)
0.006711409,1.0,(7|37)
0.006622517,1.0,(27|6)
0.006622517,1.0,(49|8)
0.006493506,1.0,(12|21)
0.006289308,1.0,(24|44)
0.006097561,1.0,(22|9)
0.005681818,1.0,(2|14)
0.005305040,2.0,(24|11)
0.005291005,1.0,(2|33)
0.005291005,1.0,(12|38)
0.005263158,1.0,(29|14)
0.005194805,2.0,(3|42)
0.005181347,1.0,(4|34)
0.005181347,1.0,(5|35)
0.005025126,1.0,(31|6)
0.004975124,1.0,(25|3)
0.004210526,2.0,(11|37)
0.003663004,1.0,(13|38)
0.003636364,1.0,(13|41)
0.003412969,1.0,(44|44)
0.002906977,1.0,(22|0)
0.002652520,1.0,(22|3)
0.002631579,1.0,(1|13)
0.002577320,1.0,(29|27)
0.002024292,1.0,(10|34)
0.002004008,1.0,(14|32)
