Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 362 | LoanDoc-TermsTrends (jp:362,idx:199)
Class Probability,Ex Count at BMU,BMU Map Loc
1.000000,1.0,(9|6)
0.7500000,3.0,(8|31)
0.6185464,1234.0,(22|35)
0.4523810,19.0,(21|35)
0.4417293,235.0,(9|7)
0.4285714,9.0,(10|6)
0.4166667,5.0,(9|29)
0.4000000,2.0,(2|29)
0.3891626,79.0,(10|7)
0.3863636,68.0,(8|7)
0.3333333,2.0,(8|6)
0.3333333,7.0,(9|13)
0.3333333,2.0,(14|26)
0.3333333,2.0,(15|25)
0.2954545,13.0,(22|34)
0.2901961,74.0,(8|8)
0.2717949,53.0,(9|8)
0.2608696,48.0,(6|9)
0.2549020,65.0,(6|11)
0.2549020,65.0,(7|11)
0.2535885,53.0,(6|10)
0.2500000,7.0,(12|12)
0.2469136,40.0,(8|10)
0.2406015,32.0,(10|11)
0.2081448,46.0,(7|9)
0.2000000,34.0,(18|17)
0.1985294,27.0,(10|10)
0.1959799,39.0,(7|10)
0.1930693,39.0,(8|9)
0.1916667,23.0,(11|10)
0.1728395,14.0,(9|12)
0.1639344,10.0,(14|21)
0.1606218,31.0,(10|8)
0.1557377,19.0,(9|16)
0.1538462,2.0,(23|32)
0.1492537,10.0,(12|19)
0.1428571,1.0,(16|27)
0.1408451,10.0,(20|33)
0.1388889,15.0,(8|13)
0.1354839,21.0,(8|12)
0.1354167,13.0,(5|12)
0.1333333,10.0,(3|9)
0.1333333,10.0,(5|9)
0.1290323,24.0,(10|9)
0.1260870,29.0,(7|7)
0.1254902,32.0,(6|13)
0.1250000,18.0,(9|11)
0.1250000,2.0,(16|18)
0.1219512,5.0,(9|15)
0.1200000,3.0,(9|22)
0.1162791,10.0,(4|11)
0.1162791,10.0,(4|12)
0.1133333,17.0,(11|11)
0.1132075,12.0,(6|12)
0.1121951,23.0,(9|9)
0.1111111,24.0,(20|32)
0.1111111,2.0,(21|32)
0.1078431,33.0,(4|9)
0.1061947,24.0,(7|17)
0.1052632,2.0,(8|15)
0.1052632,6.0,(20|30)
0.1038961,8.0,(21|25)
0.1037736,22.0,(11|9)
0.1034483,12.0,(5|7)
0.09890110,9.0,(9|28)
0.09885932,26.0,(5|10)
0.09885932,26.0,(5|11)
0.09782609,9.0,(18|19)
0.09774436,26.0,(7|8)
0.09734514,22.0,(8|19)
0.09375000,3.0,(10|12)
0.09322034,11.0,(14|20)
0.09243698,11.0,(8|11)
0.09239130,17.0,(5|6)
0.09090909,3.0,(13|16)
0.09090909,1.0,(22|31)
0.08943089,11.0,(7|14)
0.08928572,10.0,(4|47)
0.08928572,10.0,(4|48)
0.08923077,29.0,(20|31)
0.08823530,15.0,(9|10)
0.08823530,3.0,(22|33)
0.08759843,89.0,(17|19)
0.08695652,2.0,(20|43)
0.08510638,4.0,(6|5)
0.08474576,5.0,(3|6)
0.08474576,5.0,(4|6)
0.08273894,58.0,(21|30)
0.08238929,80.0,(19|31)
0.08000000,2.0,(10|19)
0.07971015,11.0,(14|23)
0.07883818,19.0,(15|22)
0.07692308,1.0,(5|29)
0.07692308,2.0,(17|18)
0.07612456,22.0,(7|18)
0.07594936,6.0,(12|9)
0.07407407,4.0,(5|5)
0.07407407,4.0,(6|6)
0.07407407,10.0,(45|4)
0.07317073,6.0,(12|16)
0.07317073,3.0,(19|33)
0.07228915,12.0,(12|23)
0.07207207,8.0,(9|14)
0.07200000,9.0,(8|14)
0.07142857,14.0,(4|7)
0.07142857,14.0,(16|26)
0.07086615,9.0,(5|15)
0.06934307,19.0,(17|17)
0.06896552,6.0,(19|30)
0.06857143,12.0,(11|22)
0.06808510,16.0,(3|11)
0.06779661,8.0,(47|6)
0.06611570,8.0,(4|26)
0.06597222,19.0,(9|31)
0.06493507,10.0,(0|19)
0.06467662,13.0,(17|22)
0.06451613,2.0,(4|28)
0.06451613,2.0,(17|30)
0.06382979,6.0,(16|19)
0.06329114,15.0,(12|10)
0.06315789,6.0,(9|17)
0.06250000,1.0,(3|8)
0.06250000,1.0,(5|8)
0.06250000,1.0,(26|48)
0.06250000,2.0,(49|34)
0.05964912,17.0,(12|11)
0.05925926,16.0,(13|18)
0.05882353,1.0,(18|31)
0.05769231,15.0,(2|28)
0.05660377,3.0,(14|15)
0.05555556,23.0,(9|18)
0.05555556,3.0,(18|21)
0.05555556,1.0,(30|24)
0.05524862,10.0,(10|27)
0.05402751,55.0,(21|31)
0.05384615,7.0,(1|18)
0.05376344,5.0,(48|34)
0.05357143,12.0,(16|15)
0.05357143,3.0,(25|49)
0.05343511,7.0,(15|20)
0.05263158,1.0,(3|29)
0.05187320,18.0,(11|8)
0.05168986,26.0,(21|34)
0.05100464,33.0,(15|19)
0.05084746,3.0,(13|33)
0.05072464,14.0,(16|20)
0.05042017,6.0,(8|16)
0.05000000,3.0,(13|24)
0.04938272,4.0,(7|27)
0.04918033,3.0,(27|33)
0.04901961,10.0,(10|17)
0.04895105,7.0,(1|7)
0.04895105,7.0,(49|7)
0.04845815,11.0,(4|8)
0.04761905,3.0,(1|12)
0.04761905,3.0,(2|11)
0.04761905,3.0,(2|13)
0.04761905,3.0,(3|12)
0.04761905,2.0,(8|42)
0.04761905,1.0,(10|16)
0.04761905,1.0,(49|45)
0.04716981,5.0,(24|48)
0.04716981,5.0,(25|48)
0.04687500,3.0,(8|25)
0.04687500,3.0,(11|16)
0.04545455,1.0,(7|29)
0.04545455,8.0,(9|30)
0.04545455,1.0,(19|6)
0.04494382,16.0,(22|32)
0.04435484,11.0,(15|23)
0.04424779,5.0,(22|30)
0.04411765,6.0,(2|8)
0.04395605,16.0,(11|7)
0.04395605,4.0,(29|3)
0.04347826,4.0,(8|17)
0.04347826,4.0,(9|19)
0.04347826,1.0,(9|24)
0.04285714,3.0,(12|14)
0.04205608,9.0,(14|18)
0.04166667,1.0,(5|13)
0.04166667,1.0,(6|14)
0.04166667,1.0,(7|13)
0.04166667,2.0,(14|16)
0.04143337,37.0,(23|33)
0.04142012,7.0,(2|2)
0.04137931,6.0,(6|21)
0.04032258,5.0,(16|17)
0.04020979,23.0,(4|10)
0.04000000,1.0,(3|27)
0.04000000,7.0,(13|23)
0.03937008,5.0,(44|5)
0.03896104,9.0,(1|9)
0.03896104,9.0,(2|9)
0.03896104,6.0,(12|21)
0.03883495,4.0,(6|15)
0.03878116,14.0,(1|11)
0.03846154,5.0,(10|24)
0.03846154,19.0,(10|34)
0.03750000,3.0,(11|13)
0.03726708,6.0,(19|23)
0.03703704,4.0,(4|25)
0.03703704,7.0,(6|17)
0.03703704,1.0,(27|28)
0.03686636,8.0,(44|42)
0.03669725,4.0,(10|15)
0.03669725,4.0,(17|16)
0.03649635,5.0,(38|11)
0.03636364,6.0,(14|22)
0.03536346,18.0,(10|21)
0.03529412,3.0,(8|18)
0.03488372,3.0,(7|22)
0.03488372,3.0,(15|14)
0.03461539,9.0,(15|13)
0.03448276,7.0,(3|26)
0.03448276,1.0,(8|41)
0.03448276,5.0,(26|26)
0.03431373,7.0,(15|16)
0.03424658,10.0,(15|26)
0.03389831,2.0,(7|16)
0.03364269,29.0,(19|32)
0.03333334,1.0,(13|25)
0.03333334,2.0,(19|25)
0.03333334,9.0,(24|32)
0.03326810,17.0,(6|28)
0.03289474,5.0,(14|19)
0.03252032,4.0,(1|16)
0.03225806,4.0,(17|15)
0.03196347,14.0,(19|16)
0.03174603,4.0,(1|8)
0.03174603,4.0,(2|7)
0.03174603,6.0,(12|38)
0.03174603,2.0,(23|24)
0.03167421,7.0,(14|31)
0.03125000,2.0,(12|34)
0.03082192,9.0,(6|23)
0.03030303,1.0,(14|37)
0.03012048,5.0,(26|47)
0.02985075,2.0,(10|18)
0.02958580,5.0,(4|19)
0.02941176,1.0,(18|33)
0.02898551,2.0,(43|40)
0.02884615,3.0,(14|29)
0.02857143,4.0,(5|16)
0.02857143,4.0,(5|28)
0.02857143,3.0,(11|28)
0.02857143,1.0,(14|13)
0.02857143,1.0,(15|12)
0.02836879,8.0,(17|25)
0.02816901,2.0,(11|27)
0.02816901,6.0,(15|29)
0.02803738,3.0,(3|49)
0.02777778,3.0,(6|25)
0.02777778,10.0,(8|23)
0.02777778,5.0,(20|7)
0.02752294,3.0,(21|26)
0.02747253,5.0,(0|9)
0.02739726,4.0,(29|48)
0.02717391,10.0,(2|12)
0.02702703,3.0,(9|32)
0.02702703,2.0,(13|20)
0.02692308,7.0,(13|14)
0.02666667,4.0,(16|13)
0.02666667,12.0,(23|34)
0.02631579,10.0,(1|13)
0.02631579,2.0,(21|4)
0.02558140,11.0,(18|29)
0.02547771,8.0,(27|30)
0.02518892,10.0,(13|22)
0.02511415,11.0,(13|31)
0.02500000,1.0,(7|6)
0.02482270,7.0,(11|23)
0.02450980,5.0,(16|31)
0.02439024,1.0,(7|24)
0.02439024,3.0,(8|27)
0.02427184,5.0,(1|10)
0.02427184,5.0,(2|10)
0.02390999,17.0,(14|25)
0.02380952,1.0,(0|6)
0.02380952,3.0,(2|45)
0.02339181,4.0,(8|29)
0.02325581,3.0,(6|8)
0.02325581,4.0,(10|30)
0.02325581,2.0,(47|7)
0.02285714,4.0,(3|17)
0.02266289,8.0,(24|34)
0.02266289,8.0,(25|33)
0.02222222,4.0,(14|30)
0.02222222,1.0,(24|27)
0.02197802,2.0,(13|11)
0.02173913,16.0,(14|24)
0.02173913,1.0,(16|32)
0.02142857,3.0,(6|16)
0.02127660,1.0,(4|49)
0.02083333,2.0,(12|15)
0.02083333,2.0,(16|16)
0.02061856,2.0,(12|30)
0.02061856,6.0,(23|4)
0.02032520,5.0,(12|24)
0.02000000,1.0,(49|6)
0.01960784,3.0,(18|23)
0.01895735,4.0,(27|1)
0.01886792,2.0,(12|22)
0.01865672,5.0,(3|15)
0.01851852,1.0,(3|7)
0.01851852,2.0,(5|46)
0.01845018,5.0,(11|32)
0.01834862,2.0,(31|3)
0.01818182,4.0,(1|22)
0.01818182,1.0,(10|41)
0.01807229,3.0,(5|19)
0.01801802,4.0,(27|29)
0.01794872,14.0,(24|33)
0.01785714,2.0,(8|24)
0.01762114,4.0,(43|37)
0.01758794,7.0,(10|29)
0.01754386,4.0,(1|26)
0.01754386,1.0,(15|17)
0.01754386,1.0,(49|47)
0.01736111,5.0,(11|24)
