Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 366 | Class Action-TrialStrategies (jp:366,idx:203)
Class Probability,Ex Count at BMU,BMU Map Loc
0.5167224,309.0,(20|44)
0.2677596,49.0,(19|45)
0.2631579,10.0,(19|46)
0.2142857,3.0,(20|45)
0.1920530,29.0,(18|45)
0.09523810,4.0,(0|6)
0.09090909,1.0,(24|47)
0.08695652,6.0,(17|43)
0.08000000,4.0,(19|7)
0.07758620,18.0,(8|49)
0.06666667,2.0,(4|42)
0.06250000,2.0,(19|9)
0.06000000,9.0,(19|44)
0.05681818,5.0,(18|44)
0.05555556,1.0,(26|25)
0.04545455,1.0,(9|49)
0.04210526,4.0,(17|11)
0.04109589,3.0,(2|5)
0.04109589,3.0,(12|0)
0.03488372,3.0,(8|0)
0.02739726,10.0,(17|12)
0.02666667,4.0,(16|13)
0.02564103,1.0,(7|0)
0.02380952,4.0,(13|4)
0.02380952,1.0,(16|43)
0.02325581,2.0,(15|14)
0.02290076,6.0,(16|44)
0.02272727,3.0,(18|42)
0.02222222,4.0,(20|7)
0.02056555,8.0,(21|6)
0.02040816,2.0,(49|28)
0.01923077,3.0,(8|1)
0.01923077,3.0,(49|5)
0.01840491,6.0,(17|42)
0.01809955,4.0,(0|4)
0.01769911,2.0,(8|48)
0.01626016,2.0,(7|3)
0.01612903,1.0,(4|45)
0.01587302,1.0,(3|0)
0.01587302,1.0,(3|13)
0.01587302,1.0,(3|48)
0.01515152,2.0,(31|11)
0.01492537,1.0,(5|2)
0.01492537,1.0,(18|16)
0.01470588,1.0,(17|14)
0.01470588,1.0,(23|44)
0.01441441,8.0,(46|5)
0.01441441,8.0,(47|4)
0.01441441,8.0,(47|5)
0.01428571,1.0,(9|0)
0.01315789,1.0,(21|4)
0.01298701,1.0,(17|44)
0.01290323,2.0,(13|5)
0.01277955,4.0,(48|6)
0.01257862,2.0,(24|44)
0.01250000,1.0,(9|45)
0.01224490,3.0,(17|41)
0.01219512,4.0,(18|41)
0.01197605,2.0,(20|6)
0.01149425,1.0,(17|2)
0.01063830,1.0,(49|26)
0.01052632,1.0,(9|48)
0.01047120,2.0,(4|13)
0.009803922,1.0,(19|10)
0.009803922,1.0,(20|10)
0.009433962,1.0,(24|48)
0.009433962,1.0,(25|48)
0.009345794,1.0,(3|49)
0.009345794,2.0,(23|25)
0.009302326,4.0,(19|5)
0.009259259,1.0,(11|47)
0.008928572,2.0,(22|12)
0.008733625,2.0,(14|4)
0.008474576,1.0,(24|1)
0.008403362,1.0,(15|32)
0.007092198,1.0,(12|45)
0.006849315,2.0,(33|42)
0.006666667,1.0,(3|19)
0.006666667,1.0,(19|8)
0.006578947,2.0,(21|47)
0.006116208,2.0,(17|45)
0.006079027,2.0,(23|12)
0.006024096,1.0,(26|47)
0.005813953,2.0,(22|0)
0.005747126,1.0,(1|27)
0.005524862,1.0,(49|27)
0.005509642,2.0,(25|46)
0.005376344,5.0,(14|5)
0.005319149,1.0,(28|23)
0.005305040,2.0,(22|3)
0.005167959,2.0,(26|4)
0.005154639,2.0,(9|5)
0.004975124,1.0,(0|5)
0.004926108,2.0,(19|12)
0.004926108,2.0,(20|12)
0.004926108,1.0,(48|7)
0.004694836,1.0,(25|47)
0.004608295,2.0,(22|27)
0.004566210,1.0,(2|4)
0.004464286,1.0,(24|37)
0.004405286,2.0,(18|15)
0.004357298,2.0,(26|43)
0.004273504,1.0,(21|13)
0.004255319,1.0,(24|3)
0.003968254,1.0,(29|40)
0.003861004,1.0,(5|4)
0.003731343,1.0,(3|15)
0.003636364,1.0,(13|41)
0.003424658,1.0,(15|26)
0.003311258,1.0,(18|6)
0.003164557,1.0,(20|47)
0.003125000,1.0,(13|46)
0.002898551,1.0,(48|47)
0.002865330,1.0,(24|22)
0.002816901,1.0,(0|30)
0.002808989,1.0,(22|32)
0.002732240,1.0,(15|4)
0.002597403,1.0,(3|42)
0.002538071,1.0,(11|2)
0.002531646,1.0,(20|17)
0.002500000,1.0,(23|47)
0.002493766,1.0,(32|3)
0.002481390,1.0,(9|3)
0.002398082,1.0,(21|16)
0.002341920,1.0,(20|8)
0.002283105,1.0,(19|16)
0.002222222,1.0,(20|0)
0.002141328,1.0,(15|44)
0.002132196,1.0,(14|2)
0.002132196,1.0,(22|13)
0.002092050,1.0,(15|46)
0.002024292,1.0,(15|33)
0.002004008,1.0,(14|32)
0.001964637,1.0,(10|21)
0.001792115,1.0,(11|20)
0.001785714,1.0,(0|26)
0.001589825,1.0,(22|41)
0.001572327,1.0,(23|16)
0.001503759,1.0,(35|44)
0.001379310,1.0,(27|0)
0.001209190,1.0,(24|35)
0.001102536,1.0,(29|47)
