Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 376 | Energy-Renewable-Tax (jp:376,idx:213)
Class Probability,Ex Count at BMU,BMU Map Loc
0.4842767,77.0,(18|25)
0.3971631,112.0,(17|25)
0.2500000,15.0,(19|25)
0.2018779,43.0,(19|24)
0.1785714,5.0,(18|24)
0.1206897,14.0,(20|24)
0.06832298,11.0,(19|23)
0.06521739,3.0,(20|23)
0.05500000,11.0,(17|24)
0.04687500,3.0,(12|34)
0.04687500,9.0,(20|25)
0.04255319,2.0,(21|24)
0.03448276,3.0,(18|26)
0.02105263,2.0,(43|44)
0.01941748,4.0,(1|10)
0.01941748,4.0,(2|10)
0.01851852,1.0,(3|7)
0.01785714,2.0,(4|47)
0.01785714,2.0,(4|48)
0.01702128,4.0,(3|11)
0.01562500,1.0,(49|4)
0.01149425,1.0,(20|14)
0.01086957,2.0,(5|6)
0.01069519,2.0,(7|15)
0.009090909,2.0,(26|10)
0.008130081,1.0,(7|14)
0.007936508,1.0,(1|8)
0.007936508,1.0,(2|7)
0.007812500,2.0,(4|18)
0.007751938,1.0,(49|33)
0.007575758,1.0,(22|23)
0.007575758,1.0,(23|23)
0.007407407,1.0,(12|32)
0.006711409,2.0,(49|15)
0.006389776,2.0,(48|6)
0.006269592,2.0,(49|17)
0.005714286,1.0,(19|26)
0.005681818,1.0,(9|30)
0.005235602,1.0,(4|13)
0.005154639,1.0,(4|17)
0.004385965,1.0,(1|26)
0.004347826,1.0,(23|20)
0.004184100,1.0,(44|45)
0.003703704,1.0,(13|18)
0.003205128,1.0,(27|26)
0.003184713,1.0,(29|25)
0.003003003,1.0,(46|16)
0.002816901,1.0,(0|30)
0.002702703,1.0,(42|30)
0.002506266,1.0,(21|22)
0.001945525,1.0,(0|42)
0.001623377,1.0,(49|11)
